UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
roopakgoswami,@roopak1966,2021-07-25T09:57:02.000Z,Confederation of Indian Small Tea Growers Associations says it will not follow the Tea Board rule of paying minimum benchmark price to small tea growers/  Urges Centre to declare Rs 25 per kg as the minimum support price of green leaf produced by small tea growers.,,,1,1,2,['https://pbs.twimg.com/media/E7Ii6uqVcAA1Lx_?format=jpg&name=medium'],https://twitter.com/roopak1966/status/1419235235498057733
Satrajit,@SatrajitBanerji,2021-07-25T14:10:43.000Z,Clash of interest! Interesting 2 c what will b TBOI and ITA approach to this,,,,,,[],https://twitter.com/SatrajitBanerji/status/1419299074423939077
roopakgoswami,@roopak1966,2021-07-23T13:41:48.000Z,"An analysis done by Tea Board India has found that in 2020, 968 tea manufacturers in the country  have not sold 50 per cent of their teas( which is mandatory)  through public #auctions. In 2019, the figure was 981 manufacturers not selling 50 %  through auctions. #teaauctions",,,3,2,3,[],https://twitter.com/roopak1966/status/1418567022594592771
Satrajit,@SatrajitBanerji,2021-07-23T17:01:11.000Z,Is it possible to discourage private buying? I guess not,,,,,,[],https://twitter.com/SatrajitBanerji/status/1418617198931677186
Lochan Tea,@rajiv_lochan,2021-07-22T14:11:44.000Z,When you drink so much tea at a time you feel like flying a 380 ,,🥳,1,,3,['https://pbs.twimg.com/media/E66Ac4iVcAcMiTW?format=jpg&name=small'],https://twitter.com/rajiv_lochan/status/1418212169418625030
Satrajit,@SatrajitBanerji,2021-07-22T14:45:05.000Z,Serious competition to Red Bull,,,,,1,[],https://twitter.com/SatrajitBanerji/status/1418220560794853377
Lochan Tea,@rajiv_lochan,2021-07-29T00:00:50.000Z,"Replying to 
@DRPRADIPBARUAH2",Auction brings down prices because of too much tea at a time at a place ,😭,1,,1,[],https://twitter.com/rajiv_lochan/status/1420534745931214850
Satrajit,@SatrajitBanerji,2021-07-29T03:38:06.000Z,Time to think beyond Tea Board,,,,,1,[],https://twitter.com/SatrajitBanerji/status/1420589425512173568
Satrajit,@SatrajitBanerji,2021-07-26T15:09:43.000Z,#evening #tea,,,,,2,['https://pbs.twimg.com/media/E7O0E6rVkAANqes?format=jpg&name=small'],https://twitter.com/SatrajitBanerji/status/1419676311669207042
Satrajit,@SatrajitBanerji,2021-07-28T16:24:19.000Z,https://instagram.com/p/CN33xHEA2Wi/?utm_medium=share_sheet…,,,,,,[],https://twitter.com/SatrajitBanerji/status/1420419861251985412
Satrajit,@SatrajitBanerji,2021-07-28T16:34:58.000Z,https://instagram.com/p/CRv3LP4AMmS/?utm_medium=share_sheet…,,,,,,[],https://twitter.com/SatrajitBanerji/status/1420422540820770816
Satrajit,@SatrajitBanerji,2021-08-07T10:19:20.000Z,End of days work #teatime #tea #indiatea,,,,,4,['https://pbs.twimg.com/media/E8LkPypVcAEK3XJ?format=jpg&name=small'],https://twitter.com/SatrajitBanerji/status/1423951887288569860
Satrajit,@SatrajitBanerji,2021-08-09T06:49:59.000Z,#Darjeeling blend to be launched soon #indiantea #tea,,,1,,5,['https://pbs.twimg.com/media/E8VH7ayVIAAFA1r?format=jpg&name=small'],https://twitter.com/SatrajitBanerji/status/1424623978325233671
Satrajit,@SatrajitBanerji,2021-08-07T07:39:33.000Z,#Darjeeling #firstflush tasting #tea,,,,,2,['https://pbs.twimg.com/media/E8LAHz8VIAcf1cq?format=jpg&name=small'],https://twitter.com/SatrajitBanerji/status/1423911675426603009
Satrajit,@SatrajitBanerji,2021-08-05T14:36:37.000Z,New product launch testing #tea #indiantea,,,,,,['https://pbs.twimg.com/media/E8CMW0WVoAonCaa?format=jpg&name=small'],https://twitter.com/SatrajitBanerji/status/1423291861603549193
Satrajit,@SatrajitBanerji,2021-08-07T14:19:55.000Z,Which #tea does #NeerajChopra drink? Ans: #indiatea #NeerajGoldChopra #IndiaTodayAtOlympics #Olympicsindia,,,,,,[],https://twitter.com/SatrajitBanerji/status/1424012431894880266
Gopaldhara TeaEstate,@GopaldharaTeas,2021-08-13T05:01:34.000Z,"We don't create fanfare about simple things like Tree Planting. We just planted fifty trees yesterday. It is in our self interest to preserve the natural ecology if we want to survive the next 100 years. One thing is for sure, history will remember us as very selfish.",,,1,1,5,"['https://pbs.twimg.com/media/E8pVd3XVUAcQ3qD?format=jpg&name=small', 'https://pbs.twimg.com/media/E8pVfBvVoAkAG2o?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8pVeVOVcAI0aiy?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E8pVfv9UUAgXW5S?format=jpg&name=small']",https://twitter.com/GopaldharaTeas/status/1426046245760507908
VAHDAM® India,@VahdamTeas,2021-08-08T14:38:44.000Z,"We’re catching clouds and all things dreamy with this month’s #LimitedEdition Blend 

Can you guess what it is? 
Here’s a hint: It’s nostalgia in a cup 

Comment your answers below!",,🌝 🌤 💛,2,1,5,['https://pbs.twimg.com/media/E8Rpp6qUcAsaqkd?format=jpg&name=small'],https://twitter.com/VahdamTeas/status/1424379557243592718
Satrajit,@SatrajitBanerji,2021-08-08T15:52:24.000Z,Tea infused softy,,,,,,[],https://twitter.com/SatrajitBanerji/status/1424398094460866574
Oldtimer,@auldtimer,2021-08-08T04:33:10.000Z,Neeraj Chopra has done more for Indian sports than any cricket star. Young Indians are learning that there are sports other than cricket that can win them stardom.,,,2,3,11,[],https://twitter.com/auldtimer/status/1424227161121067011
Satrajit,@SatrajitBanerji,2021-08-08T15:49:38.000Z,Point to ponder upon,,,,,,[],https://twitter.com/SatrajitBanerji/status/1424397397162029065
LifeIsBetterWithTea,@Better_With_Tea,2021-08-05T09:03:50.000Z,How to Make a Delicious Green Tea Cocktail with Vodka  -,"Tea
Amazing tea post from Life Is Better With Tea
us12.campaign-archive.com",,2,,3,[],https://twitter.com/Better_With_Tea/status/1423208112354435077
Satrajit,@SatrajitBanerji,2021-08-06T14:14:53.000Z,"Tried, Tasted and loving it",,,,,,[],https://twitter.com/SatrajitBanerji/status/1423648778146304000
teacoffeenews,@teacoffeenews2,2021-08-11T13:39:27.000Z,Adding Salt In Coffee To Counteract Bitterness,"Adding Salt In Coffee To Counteract Bitterness
As crazy as this sounds it REALLY works, don't believe me? I suggest that you spend a few minutes reading this article you might be surprised by the results!
beanground.com",,1,,,[],https://twitter.com/teacoffeenews2/status/1425451800983834626
Satrajit,@SatrajitBanerji,2021-08-11T15:06:09.000Z,Worth trying at home,,,,,,[],https://twitter.com/SatrajitBanerji/status/1425473620340482054
teacoffeenews,@teacoffeenews2,2021-08-12T01:10:24.000Z,"ACMS demands separate tea ministry in Assam https://nenow.in/?p=199596 
@pssundarcoonoor","ACMS demands separate tea ministry in Assam
Participating in the 63rd foundation day of the ACMS at its headquarters in Dibrugarh on Monday, ACMS president and former DoNER minister Paban
nenow.in",,1,,2,['https://pbs.twimg.com/card_img/1432502715272163328/1SJ4mlOA?format=jpg&name=small'],https://twitter.com/teacoffeenews2/status/1425625682713870348
Satrajit,@SatrajitBanerji,2021-08-12T04:16:55.000Z,About time,,,,,,[],https://twitter.com/SatrajitBanerji/status/1425672622327537667
Jennifer Petersen,@TeaMentor,2021-08-05T13:05:48.000Z,"Jungpana, Queen of Darj gardens, gets new owner","Jungpana, Queen of Darj gardens, gets new owner - Times of India
India Business News: Kolkata: The brew of Jungpana tea estate, christened as the 'Queen of Darjeeling' and catalogued at the royal grocer Fortnum and Mason’s Diamond Jubil.
timesofindia.indiatimes.com",,1,1,1,['https://pbs.twimg.com/card_img/1430990711147892736/pQ-xwIty?format=jpg&name=small'],https://twitter.com/TeaMentor/status/1423269004773310466
Satrajit,@SatrajitBanerji,2021-08-06T07:35:12.000Z,It will help boost exports,,,,,,[],https://twitter.com/SatrajitBanerji/status/1423548195347460096
Satrajit,@SatrajitBanerji,2021-08-09T03:54:59.000Z,"Replying to 
@darjeelingtea",How to get price quotation?,,,,,[],https://twitter.com/SatrajitBanerji/status/1424579937537650691
Utpal Parashar,@utpal_parashar,2021-08-04T01:50:53.000Z,"Philippines, which sent 19 athletes to Tokyo, has won 4 medals till now. 1 gold in weightlifting, 1 silver in boxing and at least 2 bronze in boxing (reached semis)......................India sent 127 athletes, the biggest ever contingent to Tokyo. We have got 3 medals till now.",,,1,4,28,[],https://twitter.com/utpal_parashar/status/1422736769334726658
Satrajit,@SatrajitBanerji,2021-08-04T14:46:11.000Z,We believe in the spirit of participation,,,,,,[],https://twitter.com/SatrajitBanerji/status/1422931878579904516
Ruchi Thapa,@ruchthapa,2021-08-12T08:00:10.000Z,"Do you have the same problems as me?

1. Weight. Kam nahin ho raha
2. Followers. Badh nahin rahe.",,,3,3,9,['https://pbs.twimg.com/media/E8k0yqiVkA4N-LG?format=png&name=small'],https://twitter.com/ruchthapa/status/1425728804496961539
