UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Sauri,@Sauri1861,2021-05-28T16:12:22.000Z,"A tiny #pinapple for #pixel_dailies 
@Pixel_Dailies
 
#pixelart #ドット絵",,,,1,5,['https://pbs.twimg.com/media/E2fMntGVEAAAhd2?format=png&name=small'],https://twitter.com/Sauri1861/status/1398311195182960642
Sauri,@Sauri1861,2021-05-29T16:53:51.000Z,"A Gothic Lolita for the prompt #Goth 
@Pixel_Dailies
 
#pixel_dailies #pixelart #ゴスロリ #ドット絵 #gothiclolita",,,,1,10,['https://pbs.twimg.com/media/E2kftDwVUAMYp8F?format=png&name=small'],https://twitter.com/Sauri1861/status/1398684022327234563
Sauri,@Sauri1861,2021-05-26T16:52:20.000Z,"Here's a #BloodMoon for my first #pixel_dailies submission.
@Pixel_Dailies
#pixelart #ドット絵こんばーた #ドット絵",,,,1,8,['https://pbs.twimg.com/media/E2VClr4VIAQUX7b?format=png&name=small'],https://twitter.com/Sauri1861/status/1397596476813955074
Sauri,@Sauri1861,2021-05-24T16:09:41.000Z,"Although I cannot participate in Japan with my drawing, I want to show my gratitude for Fruits Basket. I love this show.Thanks! #フルーツバスケット #フルーツバスケットTheFinal #フルバ応援イラスト #フルバ #pixelart #fruitsbasket #tohruhonda.",,,,1,15,['https://pbs.twimg.com/media/E2KlpZ_VUAQkfSR?format=jpg&name=small'],https://twitter.com/Sauri1861/status/1396860968391512069
Sauri,@Sauri1861,2021-05-23T05:18:13.000Z,How I feel watching the new fruits basket episode two days before it officially airs,GIF,,,,,['https://pbs.twimg.com/tweet_video_thumb/E2DG8DnVgAAgz0t.jpg'],https://twitter.com/Sauri1861/status/1396334631390040071
fushiguro,@itsfuruba,2021-05-30T10:07:33.000Z,Here’s them to brighten up your day ,,✨ 💖,3,221,751,"['https://pbs.twimg.com/media/E2oDqHJWYAAGqWn?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E2oDqHIX0AEjegq?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E2oDqHOXMAIscn4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E2oDqHPXMAMwraA?format=jpg&name=360x360']",https://twitter.com/itsfuruba/status/1398944160544182274
Sauri,@Sauri1861,2021-05-30T11:09:01.000Z,It certainly did,,,1,,2,[],https://twitter.com/Sauri1861/status/1398959630496137220
Sauri,@Sauri1861,2021-05-23T14:55:38.000Z,"Replying to 
@itsfuruba",I love how he always makes a grand entrance.,,1,,1,[],https://twitter.com/Sauri1861/status/1396479943563833345
HIDIVE,@HIDIVEofficial,2021-05-28T01:00:16.000Z,"Anime that NEED a second season! Do you agree with this list? What other anime do you think needs a second season? 

Read more: https://loom.ly/CriNzpY",,💙,70,62,354,['https://pbs.twimg.com/media/E2b720CWQAEJ-5U?format=png&name=small'],https://twitter.com/HIDIVEofficial/status/1398081656095977476
Sauri,@Sauri1861,2021-05-28T07:07:09.000Z,"Yona of dawn needs a second season. Without the second season, we will never learn if Su-won will get defeated and if Yona will be capable of retaking the Hiryuu Castle and the throne back.There's plenty of source material left for a second season.",,,1,,3,[],https://twitter.com/Sauri1861/status/1398173985909604354
k,@_mightymendes,2021-05-24T17:32:21.000Z,"Replying to 
@itsfuruba",SHE LOOKS PISSED IN THE THIRD PIC I LOVE IT,,1,,4,[],https://twitter.com/_mightymendes/status/1396881770490916872
Sauri,@Sauri1861,2021-05-25T06:03:53.000Z,Yeah. It's the only moment she ever looks pissed in the anime.,,,,,2,[],https://twitter.com/Sauri1861/status/1397070898809622530
Amanda Cantankerous,@queenofzucks,2021-05-24T15:25:17.000Z,"Replying to 
@Sauri1861
 and 
@funimationUK",Oof this one hits hard,🏴,1,,,[],https://twitter.com/queenofzucks/status/1396849791892541440
Sauri,@Sauri1861,2021-05-24T15:39:24.000Z,Yeah.,,,,,,[],https://twitter.com/Sauri1861/status/1396853343419465732
Andarin101,@andarin101,2021-05-28T13:29:15.000Z,"Replying to 
@Sauri1861
 and 
@HIDIVEofficial",I watched that recently and it blew my mind it was so good,,1,,,[],https://twitter.com/andarin101/status/1398270145374699522
Sauri,@Sauri1861,2021-05-28T13:36:50.000Z,Yeah.The OVA's were pretty good too.,,,,,,[],https://twitter.com/Sauri1861/status/1398272051362754564
Funimation UK & IRE,@funimationUK,2021-05-24T13:00:09.000Z,"What anime has made you cry? Like, flat out sobbing? ",,😭,5.5K,4.8K,15.1K,[],https://twitter.com/funimationUK/status/1396813266849050627
Sauri,@Sauri1861,2021-05-24T13:26:44.000Z,I usually don't cry.But there's a scene in fruits basket that actually made me cry. It's the one with Momiji's backstory.,,,3,1,30,[],https://twitter.com/Sauri1861/status/1396819957741096965
