UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Shirley Matthews,@Shirley63342669,2021-07-16T18:04:35.000Z,"Replying to 
@Chime",Has the winning sweepstakes prize of $500 been given out to everyone or are you still sending away? Fingers crossed ,🤞 😁,,,,[],https://twitter.com/Shirley63342669/status/1416096438698840067
Chime,@Chime,2021-07-20T16:30:00.000Z,RT if you've been building your credit score with Credit Builder ,,💳,175,1.2K,993,[],https://twitter.com/Chime/status/1417522188228472834
Shirley Matthews,@Shirley63342669,2021-07-20T16:58:05.000Z,"I love my credit builder!! I haven't checked my score since opening a credit builder account last year. Obviously it's built up my credit score a few points and continues to do so. If you want to get out of debt and build your credit back up, the credit builder is the way to.go",,😊,,,,[],https://twitter.com/Shirley63342669/status/1417529254900871172
Chime,@Chime,2021-07-20T17:34:37.000Z,"Replying to 
@Shirley63342669",You can learn more about the features of our Credit Builder Card and commonly asked questions on our website at:,,1,,,['https://pbs.twimg.com/card_img/1433404224784982016/4ddCJ7AE?format=png&name=small'],https://twitter.com/Chime/status/1417538448978849792
Shirley Matthews,@Shirley63342669,2021-07-20T17:48:33.000Z,I don't want to know about the credit builder card info bc I already know that info. I wanted to know if a site that's free and don't charge you anything to check your credit score and how many points it's raised since using the credit builder card for a year.,,,,,,[],https://twitter.com/Shirley63342669/status/1417541955370749962
Chime,@Chime,2021-07-20T16:33:22.000Z,Credit score going up like ,"DummyThicc
@DummyThiccDad_
 · Jul 20
Over 100 points with Chime!! twitter.com/Chime/status/1…",🚀 🚀 🚀,16,13,95,['https://pbs.twimg.com/profile_images/1335109204890284032/5pj0s3j__mini.jpg'],https://twitter.com/Chime/status/1417523035397967876
Shirley Matthews,@Shirley63342669,2021-07-20T17:20:12.000Z,Where can I check my credit score for free without it going against my credit score nor charging me anything.,,,3,,,[],https://twitter.com/Shirley63342669/status/1417534820306014209
Chime,@Chime,2021-08-04T16:02:06.000Z,Reply with your best back to school budgeting hack. Go. ,,📚 👇,234,43,243,[],https://twitter.com/Chime/status/1422950986360913922
Shirley Matthews,@Shirley63342669,2021-08-04T17:56:04.000Z," ""The Krazy Lady Coupon App"" love it!!!","0:06
67 views",❤ 🙂,,,,[],https://twitter.com/Shirley63342669/status/1422979664646230022
Shirley Matthews,@Shirley63342669,2021-08-04T17:56:04.000Z," ""The Krazy Lady Coupon App"" love it!!!","0:04
67 views",❤ 🙂,,,,[],https://twitter.com/Shirley63342669/status/1422979664646230022
