UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
SourApple,@SourApp05487273,2021-06-26T20:49:19.000Z,They look so delicious !!!,,,,1,1,['https://pbs.twimg.com/media/E41iEazWQAMk6aB?format=jpg&name=small'],https://twitter.com/SourApp05487273/status/1408890140144062467
Connor,@CDawgVA,2021-07-04T18:13:37.000Z,CHICKEN AND BROCCOLI GANG,,,585,596,25.5K,['https://pbs.twimg.com/media/E5eLMZ9UYAIzVW5?format=jpg&name=small'],https://twitter.com/CDawgVA/status/1411750056005312513
SourApple,@SourApp05487273,2021-07-04T18:46:07.000Z,where's the rice ?,,,,,,[],https://twitter.com/SourApp05487273/status/1411758235074191361
SourApple,@SourApp05487273,2021-07-16T22:48:07.000Z,"Replying to 
@MangaAsura",Awesome cosplay,,,,,[],https://twitter.com/SourApp05487273/status/1416167790852153346
SourApple,@SourApp05487273,2021-07-21T14:16:17.000Z,"Replying to 
@itaparu99",I love the art style,,,,1,[],https://twitter.com/SourApp05487273/status/1417850925734154251
Snuffyスナッフィーちゃん,@snuffyowo,2021-07-22T09:00:21.000Z,do british people really say bloody hell,,🦝,423,128,5.1K,[],https://twitter.com/snuffyowo/status/1418133804892499968
SourApple,@SourApp05487273,2021-07-22T20:31:54.000Z,Yeah we do say bloody hell,,,,,,[],https://twitter.com/SourApp05487273/status/1418307838070464518
SourApple,@SourApp05487273,2021-07-22T20:28:04.000Z,"Replying to 
@par0llel",I love the detail,,,,1,[],https://twitter.com/SourApp05487273/status/1418306876551409666
SourApple,@SourApp05487273,2021-07-19T01:53:21.000Z,"Replying to 
@par0llel",Another awesome drawing,,,,4,[],https://twitter.com/SourApp05487273/status/1416939182488948742
SourApple,@SourApp05487273,2021-07-17T21:01:17.000Z,"Replying to 
@par0llel",That's a awesome drawing,,,,1,[],https://twitter.com/SourApp05487273/status/1416503296668352518
SourApple,@SourApp05487273,2021-08-24T14:57:34.000Z,"I've finally caught up with Tokyo revengers what a roller coaster so far, I can't wait  for the next chapter!!",,,,1,1,[],https://twitter.com/SourApp05487273/status/1430182502027644932
SourApple,@SourApp05487273,2021-08-08T13:52:29.000Z,"Replying to 
@par0llel",The character Looks so awesome,,,,2,[],https://twitter.com/SourApp05487273/status/1424367917186039809
SourApple,@SourApp05487273,2021-08-15T22:04:36.000Z,"Replying to 
@par0llel",The details are so amazing,,,,1,[],https://twitter.com/SourApp05487273/status/1427028476519923717
SourApple,@SourApp05487273,2021-08-12T17:05:21.000Z,"Replying to 
@MastersOfficial",,,,,,['https://pbs.twimg.com/tweet_video_thumb/E8mxkZ3X0AEG2TI.jpg'],https://twitter.com/SourApp05487273/status/1425866003901292553
SourApple,@SourApp05487273,2021-08-24T21:59:09.000Z,"Replying to 
@TheDiceRice",,,,,,['https://pbs.twimg.com/media/E9ln37yWEAEg13H?format=png&name=small'],https://twitter.com/SourApp05487273/status/1430288595701673990
