UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Onyu【FantasticYouth】,@xxonyxxx_new,2021-01-19T11:17:52.000Z,魔法使えるようになりたいな〜,,,19,10,535,[],https://twitter.com/xxonyxxx_new/status/1351489047080759297
しょう油,@Soyasauce2006,2021-01-20T08:14:26.000Z,ブラッククローバーでも見た？笑笑,,♨,,,,[],https://twitter.com/Soyasauce2006/status/1351805270075334657
しょう油,@Soyasauce2006,2021-02-14T12:29:54.000Z,博士から初めて貰ったポケモンはアチャモでした。#アチャモ #オメガルビー,,♨,,,,['https://pbs.twimg.com/media/EuL98oZUYAYqApM?format=jpg&name=small'],https://twitter.com/Soyasauce2006/status/1360929259406061569
しょう油,@Soyasauce2006,2021-02-10T12:43:30.000Z,よっしゃぁぁあああ!!!!,"FantasticYouth_official
@Fantastic_Youth
 · Feb 10
【大発表その1】
FantasticYouth、初のCD発売決定！！
タイトルは「BlueGuns」
詳細はこちらのHPからご覧ください！！
https://universal-music.co.jp/fantasticyouth/news/2021-02-10/…

 #FantasticYouth #BlueGuns

(Staff)",♨,,,1,['https://pbs.twimg.com/profile_images/1338139497603551234/977jQcpM_mini.jpg'],https://twitter.com/Soyasauce2006/status/1359483126636965892
Onyu【FantasticYouth】,@xxonyxxx_new,2021-02-13T14:06:23.000Z,みんなのとっておきの　思い出のアイテムはなんだい？,,,24,6,300,[],https://twitter.com/xxonyxxx_new/status/1360591150738903040
しょう油,@Soyasauce2006,2021-02-13T14:14:54.000Z,ガチャガチャで出たアンパンマンのモグリンのおもちゃ笑笑,,♨,,,1,[],https://twitter.com/Soyasauce2006/status/1360593292111400960
しょう油,@Soyasauce2006,2021-02-24T10:33:25.000Z,"Replying to 
@harenchi877",カレンチさん何やってんすか…笑笑,♨,1,,,[],https://twitter.com/Soyasauce2006/status/1364523821135396866
しょう油,@Soyasauce2006,2021-03-13T11:09:18.000Z,推しの巨人/////,,♨ ❤,,,1,['https://pbs.twimg.com/media/EwWubETVcAIxIw6?format=jpg&name=240x240'],https://twitter.com/Soyasauce2006/status/1370693445036113920
しょう油,@Soyasauce2006,2021-03-18T13:17:02.000Z,"Replying to 
@sooootaaaaaaa",,♨,,,,['https://pbs.twimg.com/media/Eww7myiVkAMYaSI?format=jpg&name=small'],https://twitter.com/Soyasauce2006/status/1372537529178546184
しょう油,@Soyasauce2006,2021-03-21T01:10:35.000Z,"Replying to 
@xxonyxxx_new",おはよんよん,♨ 🎶,,,1,[],https://twitter.com/Soyasauce2006/status/1373441876099919872
しょう油,@Soyasauce2006,2021-03-12T13:01:43.000Z,"Replying to 
@risky_drama",FantasticYouthが主題歌!!!?やばばばば,♨,,,1,[],https://twitter.com/Soyasauce2006/status/1370359348925362176
