UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Last Chance U,@LastChanceUAlum,2021-01-30T01:31:48.000Z,"Jason Martin (
@_CoachMartin_
) named head coach at Indy CC 
@IndyAD_",,,60,273,3.2K,['https://pbs.twimg.com/media/Es8Xd8aU0AAJz-7?format=jpg&name=small'],https://twitter.com/LastChanceUAlum/status/1355327821833334784
Thomas Abich,@TBALift,2021-01-30T02:26:56.000Z,Congratulations Jason!!,,,,,4,[],https://twitter.com/TBALift/status/1355341698054770689
eric sondheimer,@latsondheimer,2021-01-19T18:47:07.000Z,The way forward: 1. Stay-at-home order lifted. 2. Conditioning resumes. 3. Schools return to hybrid. 4. Cases drop. 5. Vaccines accelerate. 6. Protocols followed.,,,19,22,123,[],https://twitter.com/latsondheimer/status/1351602103060336642
Thomas Abich,@TBALift,2021-01-19T19:49:44.000Z,Have to put vaccine before return to classroom...,,,1,,,[],https://twitter.com/TBALift/status/1351617862406848512
Jordan Nelson,@JRNelson17,2021-01-28T19:10:28.000Z,Rewatching the bowl game... I feel good about 53 playing DE this year. Think it will be a very natural fit.,,,8,,35,[],https://twitter.com/JRNelson17/status/1354869468841664513
Thomas Abich,@TBALift,2021-01-28T21:17:45.000Z,He isn't good in space... great fit,,,,,,[],https://twitter.com/TBALift/status/1354901500816809984
Thomas Abich,@TBALift,2021-01-29T20:00:23.000Z,"Replying to 
@THETRUTH_ILIVE","A month ago it was ""why is Blake still DC?"" Now it's ""Manny owns the offseason"" Canes fans are awesome!!",,1,,2,[],https://twitter.com/TBALift/status/1355244419352412160
"Cane Tapes, i’m him.",@CaneTapes,2021-01-11T04:15:34.000Z,This is gonna help Miami a lot.....,"Canes Legacy
@CanesLegacy
 · Jan 11
While all these other teams are putting out branding messages about what they might do when players can get paid for their likenesses, Miami already has a head start. How many college football players have their own athletic department supported logos?  t.co/wlACSUq6k2",,3,4,39,"['https://pbs.twimg.com/profile_images/1158178351951036417/pYhN-KeY_mini.jpg', 'https://pbs.twimg.com/media/ErbFdKSXEAAbQBO?format=jpg&name=small', 'https://pbs.twimg.com/media/ErbFdKSXMAEkJgB?format=jpg&name=small']",https://twitter.com/CaneTapes/status/1348483665894887427
Thomas Abich,@TBALift,2021-01-11T06:55:00.000Z,I'd buy that logo shirt,,,,,,[],https://twitter.com/TBALift/status/1348523788464345091
Marsh,@hurricanesmarsh,2021-01-14T20:50:56.000Z,TATE TRAIN IS BACK,"Christopher Stock
@InsideTheU
 · Jan 14
QB Tate Martell intends to return to Miami after opting out https://247sports.com/college/miami/Article/QB-Tate-Martell-intends-to-return-to-Miami-Hurricanes-football-after-opting-out-159283179/…",,6,1,32,['https://pbs.twimg.com/profile_images/899610069045833729/qqsrJgrw_mini.jpg'],https://twitter.com/hurricanesmarsh/status/1349821324110278658
Thomas Abich,@TBALift,2021-01-09T21:30:36.000Z,"Replying to 
@THETRUTH_ILIVE",Didn't we say Manny would do what was necessary?? Manny being Manny!!,,1,,1,[],https://twitter.com/TBALift/status/1348019366726561792
LON IS GRATEFUL,@THETRUTH_ILIVE,2021-01-05T21:35:14.000Z,"Replying to 
@Smith31Kev",He should already have it.,🙌 🙌,2,,4,[],https://twitter.com/THETRUTH_ILIVE/status/1346570978797748228
Thomas Abich,@TBALift,2021-01-05T21:55:23.000Z,He will make the necessary changes... he did last offseason..he is also the innovator of the portal... how could you not respect a 1st time head coach who openly takes responsibility for performance?,,,,,5,[],https://twitter.com/TBALift/status/1346576052915564544
Bryan Wilson,@FrshYelGrizzly,2021-01-09T07:01:47.000Z,"Replying to 
@TBALift
 and 
@KidCoolBreeze49",I think they had rosters for him it would flow better,,1,,,[],https://twitter.com/FrshYelGrizzly/status/1347800721668804610
Thomas Abich,@TBALift,2021-01-09T07:04:47.000Z,"Yeah, they need to give the guy some rosters or a guy to do it with him who knows all the names",,,,,,[],https://twitter.com/TBALift/status/1347801477465575431
Bryan Wilson,@FrshYelGrizzly,2021-01-09T06:37:36.000Z,"Replying to 
@TBALift",Yeah its a fine line there has to be a rule where everybody plays in the first 3 Qs then the 4th is best on best,,2,,,[],https://twitter.com/FrshYelGrizzly/status/1347794636878671873
Thomas Abich,@TBALift,2021-01-09T06:44:56.000Z,That's where pay to play can be dramatic..,,,1,,,[],https://twitter.com/TBALift/status/1347796482322153473
Bryan Wilson,@FrshYelGrizzly,2021-01-09T06:12:19.000Z,"Replying to 
@TBALift",It can be done especially if games are played outside of California,,1,,,[],https://twitter.com/FrshYelGrizzly/status/1347788273666510849
Thomas Abich,@TBALift,2021-01-09T06:22:53.000Z,"I feel it serves a purpose... but non-profit is the smart thing to do... get some grants, raise money,  but run it honestly and don't get greedy.... it will allow more schools to close down football, which I feel is dying in a lot of schools... problem is that it's unregulated..",,,1,,,[],https://twitter.com/TBALift/status/1347790929881489409
Bryan Wilson,@FrshYelGrizzly,2021-01-09T06:53:22.000Z,"Replying to 
@TBALift
 and 
@KidCoolBreeze49","Yeah, more time real practices a real rollout the product will look better",,1,,,[],https://twitter.com/FrshYelGrizzly/status/1347798603167797249
Thomas Abich,@TBALift,2021-01-09T06:54:38.000Z,I will say the way the product is delivered is better than expected,,,1,,,[],https://twitter.com/TBALift/status/1347798922857598977
Bryan Wilson,@FrshYelGrizzly,2021-01-09T04:49:22.000Z,"Replying to 
@FrshYelGrizzly","To all club leagues, I suggest you go NON PROFIT ASAP 
Tie your league into something educational and helping inner-city kids 
In these times, everybody wants to help underprivileged Black and Brown kids. If you can 150-200k, you can run a stable league and give scholarship $",,1,,,[],https://twitter.com/FrshYelGrizzly/status/1347767395905982471
Thomas Abich,@TBALift,2021-01-09T06:10:25.000Z,A realistic chat about club ball... so unique considering how polarizing the subject is.... it definitely has a niche... why not spring? We don't have jamboree games in CA...,,,1,,,[],https://twitter.com/TBALift/status/1347787792739233793
Thomas Abich,@TBALift,2021-01-09T06:23:52.000Z,"Replying to 
@TBALift
 and 
@FrshYelGrizzly","for it to truly succeed there has to be a boss.. someone who has the final word, I'd hate to see teams fold because kids are switching teams week to week or playing kids not of the correct age or grade just win..",,1,,,[],https://twitter.com/TBALift/status/1347791179702652932
Bryan Wilson,@FrshYelGrizzly,2021-01-09T06:59:14.000Z,"Replying to 
@TBALift
 and 
@KidCoolBreeze49",Agree minus the announcer,,1,,,[],https://twitter.com/FrshYelGrizzly/status/1347800080552611840
Thomas Abich,@TBALift,2021-01-09T07:00:42.000Z,"Lol I can see that... I find it kind of funny but it's not a ""traditional"" style lol Definitely biased for sure...",,,1,,,[],https://twitter.com/TBALift/status/1347800448913219585
Bryan Wilson,@FrshYelGrizzly,2021-01-09T06:24:47.000Z,"Replying to 
@TBALift","Yeah, there has to be a CIF to is with strict rules and compliance. It's the wild west right now",,1,,,[],https://twitter.com/FrshYelGrizzly/status/1347791409965801476
Thomas Abich,@TBALift,2021-01-09T06:31:06.000Z,"My only issue with it is that at it's core, it's not about winning... its about film. I was talking to a coach and he was saying that he really wants to win but he feels he owes it to get all his players reps. Some kids don't come to practice but did pay for play. unique problem.",,,1,,,[],https://twitter.com/TBALift/status/1347793001104379909
Thomas Abich,@TBALift,2021-01-09T06:52:41.000Z,"Replying to 
@KidCoolBreeze49
 and 
@FrshYelGrizzly",It would awesome... I have caught a couple games from elite 10... its sloppy but its understandable why...,,1,,,[],https://twitter.com/TBALift/status/1347798430601543680
LynB,@VazquezYailyn,2021-02-11T04:30:14.000Z,It’s literally the people that you least expect to support you that do compared to those you think would,,,2,1,10,[],https://twitter.com/VazquezYailyn/status/1359721383043891206
Thomas Abich,@TBALift,2021-02-11T06:16:01.000Z,I support u yails!,,,,,1,[],https://twitter.com/TBALift/status/1359748002609438720
eric sondheimer,@latsondheimer,2021-02-17T23:43:12.000Z,It's time for sports parents to leave LAUSD in droves,"Column: It's time for sports parents to leave LAUSD in droves
LAUSD has provided no indication there will be a high school sports season in 2020-21, so parents are left with one option: leave the district.
latimes.com",,38,51,173,['https://pbs.twimg.com/card_img/1430699478013681665/GhtxBFSj?format=jpg&name=small'],https://twitter.com/latsondheimer/status/1362185861945679873
Thomas Abich,@TBALift,2021-02-18T02:16:25.000Z,its the 2nd largest school district in the country.. won't happen..,,,,,,[],https://twitter.com/TBALift/status/1362224420174004227
𝙲𝚕𝚊𝚛,@clarissaas23,2021-02-11T05:27:35.000Z,"Replying to 
@VazquezYailyn",Stop playing cause imma have the bottle nice and Icy for you ,☃,1,,1,[],https://twitter.com/clarissaas23/status/1359735814314364935
Thomas Abich,@TBALift,2021-02-11T06:17:26.000Z,Don't get knocked up!!,,,2,,,[],https://twitter.com/TBALift/status/1359748361385963522
Bryan Wilson,@FrshYelGrizzly,2021-02-16T19:53:04.000Z,"Replying to 
@Coachchoate45",I agree,,1,,1,[],https://twitter.com/FrshYelGrizzly/status/1361765559663087616
Thomas Abich,@TBALift,2021-02-16T20:00:22.000Z,There are a lot of people out there who are risking their lives for sports... I don't think it's worth it..,,,,,,[],https://twitter.com/TBALift/status/1361767397011582976
Thomas Abich,@TBALift,2021-03-06T05:24:46.000Z,"Replying to 
@ChemicalAT",Everyone wants sports back but aren't schools academics 1st.. no need to rush sports back..,,1,,1,[],https://twitter.com/TBALift/status/1368070024569614337
Fred J. Robledo,@SGVNSports,2021-03-30T17:14:35.000Z,"It’s amazing, every sport is playing and haven’t written about a Covid shutdown for two weeks.",,,12,2,62,[],https://twitter.com/SGVNSports/status/1376945968621395968
Thomas Abich,@TBALift,2021-03-30T17:51:29.000Z,I know of a couple,,,,,,[],https://twitter.com/TBALift/status/1376955254562988032
eric sondheimer,@latsondheimer,2021-03-06T02:27:07.000Z,The UTLA vote is in.,,,40,10,57,['https://pbs.twimg.com/media/EvwzxgsU8AEebHn?format=jpg&name=medium'],https://twitter.com/latsondheimer/status/1368025318179545088
Thomas Abich,@TBALift,2021-03-06T03:32:56.000Z,Why should they rush back?? Do it the right way..,,,2,,1,[],https://twitter.com/TBALift/status/1368041882576515073
Masy Bunnell,@MasyBunnell,2021-03-22T20:47:56.000Z,"Replying to 
@TBALift
 and 
@latsondheimer","It doesn’t have to be. Take the plan and scale it. When there is a will, there is a way. 
@ReopenCASchools",,1,,1,[],https://twitter.com/MasyBunnell/status/1374100553395924992
