UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Anthony Procopio Jr.,@ThePROfessor856,2021-01-29T22:39:20.000Z,"Replying to 
@elonmusk",It looks like two big.....,,,,,[],https://twitter.com/ThePROfessor856/status/1355284421184802816
Anthony Procopio Jr.,@ThePROfessor856,2021-01-10T23:02:28.000Z,"if you're not watching this saints/bears wild card game on Nickelodeon, you are 100% missing out",,,,,1,[],https://twitter.com/ThePROfessor856/status/1348404874405416961
Anthony Procopio Jr.,@ThePROfessor856,2021-01-16T22:53:30.000Z,"talk your shit 
@BlessedMMA
.. you earned it #UFCFightIsland #UFC",,,,,,[],https://twitter.com/ThePROfessor856/status/1350576942978912260
Anthony Procopio Jr.,@ThePROfessor856,2021-01-16T20:25:30.000Z,"So serious question 
@NFL
, we doing more games on 
@Nickelodeon
 because that was legit last week #NFLPlayoffs",,,,,1,[],https://twitter.com/ThePROfessor856/status/1350539696368201729
Anthony Procopio Jr.,@ThePROfessor856,2021-01-05T22:36:37.000Z,"Replying to 
@thegoodben
 and 
@_ben_11",You may recognize him from all the stuff he used to do on Sports Center,,,,,[],https://twitter.com/ThePROfessor856/status/1346586428537450503
timthetatman,@timthetatman,2021-01-03T21:58:08.000Z,ok so I’m sitting here still mad... how does mike mccarthy not go for 2 on our TD to make it a 3 pt game?,,👑,106,34,1.7K,[],https://twitter.com/timthetatman/status/1345851968191918080
Anthony Procopio Jr.,@ThePROfessor856,2021-01-03T22:11:56.000Z,I'm more mad that he didn't challenge the clear no catch.. either he's that scared or the guys he has in the booth are blind,,,,,2,[],https://twitter.com/ThePROfessor856/status/1345855440605880322
Anthony Procopio Jr.,@ThePROfessor856,2021-01-16T22:47:13.000Z,"@BlessedMMA
 is putting on a clinic, but 
@CalvinKattar
 is a warrior.. fight of the year? #UFCFightIsland #UFC",,,,,,[],https://twitter.com/ThePROfessor856/status/1350575361185165317
Anthony Procopio Jr.,@ThePROfessor856,2021-01-16T22:27:39.000Z,"@BlessedMMA
 looks crispy.. took a few shots from 
@CalvinKattar
, but he just looks on another level right now #UFCFightIsland #UFC #UFConABC",,,,,,[],https://twitter.com/ThePROfessor856/status/1350570436438994944
Anthony Procopio Jr.,@ThePROfessor856,2021-03-01T23:10:59.000Z,"two months old today.. time is flying with my man 
@timthetatman",,,1,,2,['https://pbs.twimg.com/media/Evbgh10WgAI2BNm?format=jpg&name=small'],https://twitter.com/ThePROfessor856/status/1366526411436154882
Anne,@annemollison_,2021-02-02T01:57:09.000Z,"Replying to 
@dog_rates",Can there be two sheriffs in this town?,,53,107,7.5K,['https://pbs.twimg.com/media/EtL6CqdXYAM7ryg?format=jpg&name=small'],https://twitter.com/annemollison_/status/1356421367638417408
Anthony Procopio Jr.,@ThePROfessor856,2021-02-02T15:32:13.000Z,This town ain't big enough for the two of us,GIF,,,,,['https://pbs.twimg.com/tweet_video_thumb/EtO0l-8XYAAqbNf.jpg'],https://twitter.com/ThePROfessor856/status/1356626483477889031
Anthony Procopio Jr.,@ThePROfessor856,2021-02-08T03:57:03.000Z,"Replying to 
@thegoodben
 and 
@_ben_11",there are so many things wrong with this comparison it's not even funny,,,,,[],https://twitter.com/ThePROfessor856/status/1358625868806053890
FaZe Nickmercs,@NICKMERCS,2021-02-01T14:52:54.000Z,"Replying to 
@JakeSucky",JAKEY BOY!,,10,4,2K,['https://pbs.twimg.com/tweet_video_thumb/EtJiAZSW8AgZ0Fg.jpg'],https://twitter.com/NICKMERCS/status/1356254202562039816
