UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
s.Umar,@Umar_Shiisu,2021-01-23T16:40:35.000Z,This ,"Ham $.
@its_hammadrabiu
 · Jan 23
Pause for a while and stop chasing this world with everything in you and learn or do something that’ll take you closer to your Lord everyday, your worldly fortunes won’t matter to you in the next 70 or 80 years.",,,,,['https://pbs.twimg.com/profile_images/1408436833298653184/aK_vgUZV_mini.jpg'],https://twitter.com/Umar_Shiisu/status/1353019809743691776
s.Umar,@Umar_Shiisu,2021-01-20T08:52:00.000Z,Happy born day sir ,"Innocent_sheikh of Gombe
@Inn_sheikh
 · Jan 20
Alhamdulillah am +1 today
Say a beautiful prayer for me please",🎂 ❌ 🔴 🙏 🙏 🙏,1,2,3,"['https://pbs.twimg.com/profile_images/1425910496876802049/TlBZ6DN9_mini.jpg', 'https://pbs.twimg.com/media/EsIV1oDXIAMq95u?format=jpg&name=small', 'https://pbs.twimg.com/media/EsIV3bEW4AQ7k6T?format=jpg&name=360x360']",https://twitter.com/Umar_Shiisu/status/1351814725068324864
s.Umar,@Umar_Shiisu,2021-01-22T13:00:12.000Z,Is your head working?,"MBAH
@Mbahdeyforyou
 · Jan 22
Is your Oga working? twitter.com/BashirAhmaad/s…",,,,,['https://pbs.twimg.com/profile_images/1391723195040997377/2dF1tRIW_mini.jpg'],https://twitter.com/Umar_Shiisu/status/1352601963154862081
s.Umar,@Umar_Shiisu,2021-01-30T18:39:07.000Z,Second frame u dey form Ninja sir ,"Bashir Ahmad
@BashirAhmaad
 · Jan 30
In Bauchi, for my good friend, @IbrahimRabo08’s wedding fatiha to his beautiful wife, Maimuna. May Allah bless their union with peace, understanding, love and beautiful children. Allah ya ba su zaman lafiya da fahimtar juna.",😂,,,,"['https://pbs.twimg.com/profile_images/1395402449121390594/okK7vFU7_mini.jpg', 'https://pbs.twimg.com/media/Es_XEIQW8AIz6Gl?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Es_XEIZXAAMCGSg?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Es_XEIXW4AAjtOM?format=jpg&name=small', 'https://pbs.twimg.com/media/Es_XEIRXUAABovz?format=jpg&name=360x360']",https://twitter.com/Umar_Shiisu/status/1355586354969792514
s.Umar,@Umar_Shiisu,2021-01-22T22:00:34.000Z,This can never happen in my North ,"TOYIN ABRAHAM AJEYEMI
@toyin_abraham1
 · Jan 22
This is what we go through every time we are filming",🙂,,,,"['https://pbs.twimg.com/profile_images/1257415730330550274/7IA2BUC8_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1352614417272348673/pu/img/gmEZVTrGLVqjZelE.jpg']",https://twitter.com/Umar_Shiisu/status/1352737951072088079
FUTURE BILLIONAIRE,@MeetHajaar,2021-01-20T21:03:34.000Z,Me  my media.,,🤝,2,3,18,[],https://twitter.com/MeetHajaar/status/1351998827809669125
s.Umar,@Umar_Shiisu,2021-01-20T21:10:45.000Z,That second pose is ,,🔥,,,,[],https://twitter.com/Umar_Shiisu/status/1352000636880105472
Ibrahim’,@Mr_Emmcap__,2021-01-29T15:34:36.000Z,"2k secured, Alhamdulillah. If i no have fun tonight let me bend.",,,3,7,2,[],https://twitter.com/Mr_Emmcap__/status/1355177533835247620
s.Umar,@Umar_Shiisu,2021-01-29T18:20:57.000Z,Take me with you sir ,,🥺,,,,[],https://twitter.com/Umar_Shiisu/status/1355219395832909825
Bashir Ahmad,@BashirAhmaad,2021-01-22T12:20:28.000Z,I think my MTN is not working..,,,1.7K,1.2K,6K,[],https://twitter.com/BashirAhmaad/status/1352591963338534912
