UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Vince Mick,@VinceMsn,2021-01-08T13:40:33.000Z,"Replying to 
@realDonaldTrump",While I can say that I'm saddened by this news. I'm proud to have called you my President. And will still and always be a support of you. May GOD bless you in everything that you do.,,,,1,[],https://twitter.com/VinceMsn/status/1347538686754230272
CINDY FULLY VACCINATED,@CindySensual,2021-01-24T14:51:17.000Z,"Replying to 
@VinceMsn",Thankyou,🌹 🌹 🌹,1,,,[],https://twitter.com/CindySensual/status/1353354693183987712
Vince Mick,@VinceMsn,2021-01-24T14:53:22.000Z,"You are very welcome, thanks for replying back.",,🙂 🌹 ❤ 💚,1,,1,[],https://twitter.com/VinceMsn/status/1353355216754679808
Vince Mick,@VinceMsn,2021-01-24T13:30:41.000Z,"Replying to 
@CindySensual",Happy Birthday Beautiful Lady. Hope that it's a great one.,🌹 🎉 🎈 🎂 🍻,1,,1,[],https://twitter.com/VinceMsn/status/1353334408296550402
CINDY FULLY VACCINATED,@CindySensual,2021-01-24T15:00:55.000Z,"Replying to 
@VinceMsn",My pleasure,🌹 🌹 🌹,1,,,[],https://twitter.com/CindySensual/status/1353357117718200320
Vince Mick,@VinceMsn,2021-01-24T15:03:22.000Z,"And you also wished me a happy birthday on my birthday last year in April, which was very nice ",,🙂,1,,1,[],https://twitter.com/VinceMsn/status/1353357734750482433
Vince Mick,@VinceMsn,2021-03-12T01:26:21.000Z,Yum!! Burger Porn. ,"French's
@Frenchs
 · Mar 11
A burger = good. A burger with yellow mustard = way better ",😊 🍔 😉,,,,"['https://pbs.twimg.com/profile_images/1290998299516862464/lGoVFlAP_mini.jpg', 'https://pbs.twimg.com/media/EwOl6gGXMAMQFIz?format=jpg&name=small']",https://twitter.com/VinceMsn/status/1370184352378753026
Vince Mick,@VinceMsn,2021-03-31T02:58:30.000Z,"Replying to 
@ModelBonnieLynn",Very nice.,😸 🌹 ❤,,,1,[],https://twitter.com/VinceMsn/status/1377092914300428289
U.S. Army,@USArmy,2021-03-18T13:01:08.000Z,"#ThrowbackThursday 

Do you remember going through basic training?

Let's remind you!

Make sure to shout out where and when you went to basic training.

#TrainedAndReady #ArmyLife",,,211,220,720,['https://pbs.twimg.com/media/Eww391HWgAA3rsH.jpg'],https://twitter.com/USArmy/status/1372533528035012614
Vince Mick,@VinceMsn,2021-03-19T00:37:35.000Z,"Ft Bliss,1988. Echo Company. 2nd platoon, Mohawks. Rock the hill!! Oooagh!!",,,,,,[],https://twitter.com/VinceMsn/status/1372708795575455744
CINDY FULLY VACCINATED,@CindySensual,2021-03-14T03:10:51.000Z,"Replying to 
@VinceMsn",I will pray for you.Try to have a nice week .,🌹 🌹 🌹,1,,,[],https://twitter.com/CindySensual/status/1370935428912668673
Vince Mick,@VinceMsn,2021-03-14T03:17:14.000Z,"Thank you,and prayers for you also",,,,,1,[],https://twitter.com/VinceMsn/status/1370937034370510849
CINDY FULLY VACCINATED,@CindySensual,2021-03-14T03:03:06.000Z,"Replying to 
@VinceMsn",Feel better hopefully things will get better.,🌹 🌹 🌹 🙏 🙏 🙏 💙 💙 💙,1,,,[],https://twitter.com/CindySensual/status/1370933477340819463
Vince Mick,@VinceMsn,2021-03-14T03:09:02.000Z,"Thank you,it was very kind of you to send this well whis to me.",,😸 ❤ 🌹,1,,1,[],https://twitter.com/VinceMsn/status/1370934972974964741
Vince Mick,@VinceMsn,2021-04-04T09:36:38.000Z,"Happy Birthday to me today , And tomorrow my 5th Wedding Anniversary . Off to Las Vegas to celebrate.",,😸 🍻 ❤ 🌹,,,1,[],https://twitter.com/VinceMsn/status/1378642657887412226
Vince Mick,@VinceMsn,2021-04-15T17:19:05.000Z,"Replying to 
@vickiesweet83","I say no, but do what makes you happy.",,,,,[],https://twitter.com/VinceMsn/status/1382745303585984514
French's,@Frenchs,2021-04-17T17:15:10.000Z,"How do you top your bratwurst: spicy brown or yellow mustard?  
 IG: mylittlebuffalowing",,🌭 📷,10,2,19,['https://pbs.twimg.com/media/EzMRzw_VEAU0qA9?format=jpg&name=small'],https://twitter.com/Frenchs/status/1383469093253091331
Vince Mick,@VinceMsn,2021-04-17T23:04:38.000Z,"Depends on what kind it is, so basically put. Both.",,😸,,,,[],https://twitter.com/VinceMsn/status/1383557041235456005
Vince Mick,@VinceMsn,2021-04-15T10:22:26.000Z,"Replying to 
@WitmeShes","Wow, camping must be really fun with you.",😸,,,1,[],https://twitter.com/VinceMsn/status/1382640453133094924
Rep. Lauren Boebert,@RepBoebert,2021-04-29T01:17:54.000Z,I miss President Trump.,,,1.4K,804,6.9K,[],https://twitter.com/RepBoebert/status/1387576847093968902
