UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Wilda Morales,@WildaMo36243784,2021-01-15T20:37:13.000Z,"Replying to 
@WildaMo36243784
 and 
@SecHacienda",He escrito a Suri y no me responden,,,,,[],https://twitter.com/WildaMo36243784/status/1350180258662768642
Francisco Parés Alicea,@SecHacienda,2021-01-04T01:18:16.000Z,"#2daRonda | Estamos coordinando con nuestros recursos para hacer el martes un 2do FB live sobre orientación de los $600. Queremos tocar los siguientes temas:

- Qué deben hacer aquellos que recibieron los $1,200 por Planilla 2018

- Qué deben hacer los “non-filers”

#StayTuned",,,52,40,201,[],https://twitter.com/SecHacienda/status/1345902334526844928
Wilda Morales,@WildaMo36243784,2021-01-05T04:34:14.000Z,Espero que abran una opción nueva para solicitar y borren nuestros datos,,,,,,[],https://twitter.com/WildaMo36243784/status/1346314039501197313
Francisco Parés Alicea,@SecHacienda,2021-01-15T01:50:53.000Z,"En Hacienda, estamos para servirle. https://twitter.com/Magyfl/status/1349895983157694466…",This Tweet is unavailable.,,26,2,50,[],https://twitter.com/SecHacienda/status/1349896806864474112
Wilda Morales,@WildaMo36243784,2021-01-15T20:35:53.000Z,Como hago para solicitar a mis hijos porque mi esposo debe ASUME y mis hijos no pudieron recibir nada. Ellos no tienen nada que ver con esa deuda.  Ayuda,,,1,,1,[],https://twitter.com/WildaMo36243784/status/1350179923923767298
Dpto. de Hacienda,@DptoHacienda,2021-01-04T22:51:50.000Z,"¿Aún tienes dudas sobre el incentivo de $600? ¿Qué debes hacer si recibiste los $1,200 por Planilla 2018? ¿Qué debes hacer si no radicas planilla (non-filers)? 

¡Conéctate mañana a la 1:00 pm! Conversa con el 
@SecHacienda
 y su equipo de trabajo con tus comentarios y preguntas.",,📢,67,100,245,['https://pbs.twimg.com/media/Eq7DHMDXEAADPaQ?format=jpg&name=small'],https://twitter.com/DptoHacienda/status/1346227871317159944
Wilda Morales,@WildaMo36243784,2021-01-05T04:30:06.000Z,Y ahora también los enviaran a ASUME??  Si hay deuda??,,,,,,[],https://twitter.com/WildaMo36243784/status/1346312997040496640
Dpto. de Educación,@EDUCACIONPR,2021-02-08T23:37:07.000Z,Conoce algunas de las principales medidas que se implementarán para la transición a las clases presenciales:,"9 medidas que implementará Educación para el regreso “paulatino” de las clases presenciales
En la primera fase solamente regresarán a las escuelas los estudiantes de kínder a tercer grado y los de duodécimo grado. Se destacó, además, que los padres, madres o encargados no podrán entrar a...
elnuevodia.com",,8,9,8,['https://pbs.twimg.com/card_img/1434443873347153921/ObXxXqBl?format=jpg&name=small'],https://twitter.com/EDUCACIONPR/status/1358922839513067522
Wilda Morales,@WildaMo36243784,2021-02-09T03:08:11.000Z,"Mis hijos se quedan en mi casa, yo protejo a mi familia",,,,1,2,[],https://twitter.com/WildaMo36243784/status/1358975957932072964
Depto De La Familia,@DeptoFamiliaPR,2021-02-07T15:45:06.000Z,"Avanzado el proceso de vacunación  de los adultos mayores residentes en hogares de larga duración y a tenor con las directrices de la Orden Ejecutiva del 
@GovPierluisi
 nos preparamos para una nueva fase que incluye las visitas bajo estrictos protocolos.",,,1,4,9,"['https://pbs.twimg.com/media/Etone2wXMAECESg?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EtonfSQWgAEh4A4?format=jpg&name=small']",https://twitter.com/DeptoFamiliaPR/status/1358441664315076608
Wilda Morales,@WildaMo36243784,2021-02-08T12:34:19.000Z,"Qué pasa con el depósito?  Para que lo anuncian si no lo van a dar??? tanto bla, bla, bla, para nada",,😡,,,,[],https://twitter.com/WildaMo36243784/status/1358756043224993793
Depto De La Familia,@DeptoFamiliaPR,2021-02-01T15:12:02.000Z,"Más de 12 mil familias de sectores de San Juan y Guaynabo han sido apoyadas en el mes de enero por el programa TEFAP 
@DeptoFamiliaPR
 con alimentos de alta calidad. Continuamos cubriendo toda la isla asegurando el sustento alimentario a toda familia que lo necesite. 
@fortalezapr",,,17,5,21,['https://pbs.twimg.com/ext_tw_video_thumb/1356258905958076416/pu/img/ZkUsQPVy9hDBQ0fC.jpg'],https://twitter.com/DeptoFamiliaPR/status/1356259019296530433
Wilda Morales,@WildaMo36243784,2021-02-01T23:41:49.000Z,Y el dinero del PAN para alimentos de estudiantes???  Cuando llegan???,,,,,1,[],https://twitter.com/WildaMo36243784/status/1356387310129074178
