UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Alyssa Chilton,@amichelec,2021-01-20T04:58:10.000Z,"Thank you George Springer for being an incredible team player. We will miss you in Houston! Always and forever a fan! This one was for the city, World Series Champions 2017! #fortheH",,🌲,,,1,['https://pbs.twimg.com/media/EsJmzqAXEAAEc-h?format=jpg&name=small'],https://twitter.com/amichelec/status/1351755878584737795
Alyssa Chilton,@amichelec,2021-01-28T15:30:59.000Z,It’s hard being a Houston sports fan. ,,🌲 🥺,,,3,[],https://twitter.com/amichelec/status/1354814235692339201
Alyssa Chilton,@amichelec,2021-01-20T16:00:53.000Z,This.,"Vernon Maxwell
@VernonMaxwell11
 · Jan 20
Houston do what you need to do to hang on to Deshaun Watson and Carlos Correa.",🌲,,,,['https://pbs.twimg.com/profile_images/607935370538254336/xPEbPLqc_mini.jpg'],https://twitter.com/amichelec/status/1351922658414362624
Alyssa Chilton,@amichelec,2021-01-20T21:36:31.000Z,Uncle Mike is back! ,"FOX Sports: MLB
@MLBONFOX
 · Jan 20
Michael Brantley is returning to the Astros on a 2-year, $32M deal.

(via @MarkBermanFox26)",🌲 🔥,,,,"['https://pbs.twimg.com/profile_images/1351632023547482114/Cey9cLde_mini.jpg', 'https://pbs.twimg.com/media/EsNFk4QXEAID5rV?format=jpg&name=small']",https://twitter.com/amichelec/status/1352007122452684810
Alyssa Chilton,@amichelec,2021-01-23T20:06:07.000Z,"Thank you, George! I’ll forever wear your Astros jersey proudly!","Houston Astros
@astros
 · Jan 23
Thank you for six years of #SpringerDingers and countless memories, George.

You will be greatly missed. 

#4everAstro",🌲,,,,"['https://pbs.twimg.com/profile_images/1415334431116578821/MrIhsyk4_mini.jpg', 'https://pbs.twimg.com/media/Esb23lMW8AA80K6.jpg']",https://twitter.com/amichelec/status/1353071534215028743
Alyssa Chilton,@amichelec,2021-01-28T20:15:41.000Z,"I’m ready for some 
@astros
 baseball!",,🌲,,,1,[],https://twitter.com/amichelec/status/1354885881593810949
Alyssa Chilton,@amichelec,2021-01-24T04:20:27.000Z,"I can’t.  Going to miss him in H-Town! Astros legend, and forever World Series Champion and MVP!",,🌲 😥,,,4,[],https://twitter.com/amichelec/status/1353195936667865088
karlie,@kmiddyo,2021-01-30T20:46:44.000Z,i really just wanna choose a house out of my friends and just deep clean and organize the hell out of it. cleaning is so therapeutic for me and calms my anxiety so any takers? oh it’s free too.,,,2,2,1,[],https://twitter.com/kmiddyo/status/1355618473565683714
Alyssa Chilton,@amichelec,2021-01-30T21:01:52.000Z,"Come over lol  yes, we can play tennis.",,🌲 😂,1,,1,[],https://twitter.com/amichelec/status/1355622282237009923
Alyssa Chilton,@amichelec,2021-02-16T22:15:09.000Z,When this movie becomes real life. ,,🌲 🥶,,,3,['https://pbs.twimg.com/media/EuYXDiqVIAIboxF?format=jpg&name=small'],https://twitter.com/amichelec/status/1361801317778292737
Alyssa Chilton,@amichelec,2021-02-01T21:43:09.000Z,So much this!,"Sadie Robertson Huff
@sadierob
 · Feb 1
to all the girls out there who have yet to say “i do”",🌲 ❣,,,1,"['https://pbs.twimg.com/profile_images/1375106443096035332/SEvOGxXK_mini.jpg', 'https://pbs.twimg.com/media/EtK4HLGXEAYUVGI?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EtK4J6-XUAARkq0?format=jpg&name=small']",https://twitter.com/amichelec/status/1356357446059642880
Alyssa Chilton,@amichelec,2021-02-12T15:05:51.000Z,Thank you JJ! Always will be a fan wherever you end up. Houston will miss you!,"JJ Watt
@JJWatt
 · Feb 12
Houston, I wanted you to hear this directly from me...",🌲,,,,"['https://pbs.twimg.com/profile_images/1414233188633821185/7yh_0bG8_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1360239012326367238/pu/img/ZyBD49skx4jbzvth.jpg']",https://twitter.com/amichelec/status/1360243729131577352
Alyssa Chilton,@amichelec,2021-02-27T19:22:36.000Z,That’s a freaking bar routine! ,"#TokyoParalympics
@NBCOlympics
 · Feb 27
SUNILEE: A name you are going to want to remember.

@sunii567 | #WinterCup 

 NBC
 http://bit.ly/3sAJkRA",🌲 🌟 👏 👏 📺 💻,,,1,"['https://pbs.twimg.com/profile_images/1304113565356482560/Ca7AVlFB_mini.jpg', 'https://pbs.twimg.com/media/EvQXJDZWgAQy8gr.jpg']",https://twitter.com/amichelec/status/1365744157743063043
Alyssa Chilton,@amichelec,2021-02-07T17:09:53.000Z,"Replying to 
@JJWatt",It’s a no for me ,🌲 😂 😂 😂,,,,[],https://twitter.com/amichelec/status/1358463004254339079
karlie,@kmiddyo,2021-02-16T05:07:06.000Z,this cold weather shit gotta go,,,1,,4,[],https://twitter.com/kmiddyo/status/1361542599828508674
Alyssa Chilton,@amichelec,2021-02-16T05:13:09.000Z,It was fun until we lost power. ,,🌲 😅,1,,2,[],https://twitter.com/amichelec/status/1361544119676514306
Alyssa Chilton,@amichelec,2021-02-13T03:50:01.000Z,"I had just received 
@JJWatt
 jersey for Christmas before this game. Not many people even knew who he was, my dad said he bought JJ Watts jersey for me because he’s a special player, he’s going to wreck the league and be around for a long time. My dad was right, a true legend! ","Nick Scurfield
@NickScurfield
 · Feb 12
This play changed everything. @JJWatt would just do things that other people couldn’t
0:28
26.3K views",🌲 ♥,,,1,['https://pbs.twimg.com/profile_images/3521637385/c1a1bcfea669535e3182da583ac6f75e_mini.jpeg'],https://twitter.com/amichelec/status/1360436036371943426
Alyssa Chilton,@amichelec,2021-02-13T03:50:01.000Z,"I had just received 
@JJWatt
 jersey for Christmas before this game. Not many people even knew who he was, my dad said he bought JJ Watts jersey for me because he’s a special player, he’s going to wreck the league and be around for a long time. My dad was right, a true legend! ","Nick Scurfield
@NickScurfield
 · Feb 12
This play changed everything. @JJWatt would just do things that other people couldn’t
0:24
26.3K views",🌲 ♥,,,1,['https://pbs.twimg.com/profile_images/3521637385/c1a1bcfea669535e3182da583ac6f75e_mini.jpeg'],https://twitter.com/amichelec/status/1360436036371943426
Alyssa Chilton,@amichelec,2021-03-30T02:15:14.000Z,"Keep dancing, Houston! #ForTheCity","Houston Men's Hoops
@UHCougarMBK
 · Mar 30
Houston, we did it #ForTheCity!

For the sixth time in school history, the Cougars are headed to the Final Four!

#MarchMadness",🌲 🏀 🐾,,,,"['https://pbs.twimg.com/profile_images/1223014584581349384/_ocmlzHz_mini.jpg', 'https://pbs.twimg.com/media/ExsLt9TWQAE5WAF?format=jpg&name=small']",https://twitter.com/amichelec/status/1376719635882639364
Alyssa Chilton,@amichelec,2021-03-16T02:23:36.000Z,Literally just said this!,"Ashley Iaconetti
@ashleyiaco
 · Mar 16
Everyone is talking about how much Matt’s brother looks like Colin Kaepernick, right?",🌲,,,,['https://pbs.twimg.com/profile_images/860383090287529984/jOVlhJKo_mini.jpg'],https://twitter.com/amichelec/status/1371648314853240832
Alyssa Chilton,@amichelec,2021-03-14T21:11:15.000Z,"Replying to 
@kmiddyo
 and 
@BlazePizza","Go to rewards, when you’re at Blaze in line hit redeem.",🌲,,,1,[],https://twitter.com/amichelec/status/1371207319539834886
Alyssa Chilton,@amichelec,2021-03-14T21:14:52.000Z,,"NFL
@NFL
 · Mar 14
BREAKING: Drew Brees announces retirement after 20 seasons.",🌲 🥺 🥺 🥺,,,,"['https://pbs.twimg.com/profile_images/1410617801182646282/epdq7utS_mini.jpg', 'https://pbs.twimg.com/media/EweCCQ9XMAIMSCv?format=jpg&name=small']",https://twitter.com/amichelec/status/1371208230060318727
Alyssa Chilton,@amichelec,2021-04-09T04:22:02.000Z,This is ,"Alex Bregman
@ABREG_1
 · Apr 8
H-Town where the H stands For Hustle! It’s good to be home! Let’s get it! @paulwallbaby
2:01
249.2K views",🌲 🔥 🔥 🔥,,,,['https://pbs.twimg.com/profile_images/1278150764381306881/8m_4XboB_mini.jpg'],https://twitter.com/amichelec/status/1380375424899936256
Alyssa Chilton,@amichelec,2021-04-20T17:36:00.000Z,"Replying to 
@Krislynalyssa",“This would be cute if it would go over my chest” I say this every time I go shopping. ,🌲 😅,,,1,[],https://twitter.com/amichelec/status/1384561499331391492
karlie,@kmiddyo,2021-04-18T05:20:49.000Z,half of my camera roll consist of my dog but the other half is videos of alyssa hahaha,,,1,,3,[],https://twitter.com/kmiddyo/status/1383651711781203968
Alyssa Chilton,@amichelec,2021-04-19T02:17:32.000Z,I’m probably doing something dumb.,,🌲,1,,1,[],https://twitter.com/amichelec/status/1383967973392543748
Alyssa Chilton,@amichelec,2021-04-09T04:22:02.000Z,This is ,"Alex Bregman
@ABREG_1
 · Apr 8
H-Town where the H stands For Hustle! It’s good to be home! Let’s get it! @paulwallbaby
249.2K views
0:03 / 2:03",🌲 🔥 🔥 🔥,,,,['https://pbs.twimg.com/profile_images/1278150764381306881/8m_4XboB_mini.jpg'],https://twitter.com/amichelec/status/1380375424899936256
Alyssa Chilton,@amichelec,2021-05-21T21:07:49.000Z,This is absolutely insane gymnastics!  I can’t wait for the Olympic Games!,"SportsCenter
@SportsCenter
 · May 21
NEXT LEVEL @Simone_Biles 

(via @FloGymnastics)
0:07
2M views",🌲 🤯 🔥,,,3,['https://pbs.twimg.com/profile_images/1062155885911425024/EMf90GZI_mini.jpg'],https://twitter.com/amichelec/status/1395848830898298889
Alyssa Chilton,@amichelec,2021-05-21T21:07:49.000Z,This is absolutely insane gymnastics!  I can’t wait for the Olympic Games!,"SportsCenter
@SportsCenter
 · May 21
NEXT LEVEL @Simone_Biles 

(via @FloGymnastics)
0:05
2M views",🌲 🤯 🔥,,,3,['https://pbs.twimg.com/profile_images/1062155885911425024/EMf90GZI_mini.jpg'],https://twitter.com/amichelec/status/1395848830898298889
Alyssa Chilton,@amichelec,2021-06-08T01:03:41.000Z,You LOVE to see it!!! ,"DBU Baseball
@DBU_Baseball
 · Jun 8
ANDREW BENEFIELD!! 

Benny hits a grand slam on the first pitch of his at bat and DBU has the LEAD!
0:34
159.1K views",🌲 ⚾,,,2,['https://pbs.twimg.com/profile_images/1351625677670404099/pgqiwyhs_mini.jpg'],https://twitter.com/amichelec/status/1402068781585817600
Alyssa Chilton,@amichelec,2021-06-11T04:52:13.000Z,"Replying to 
@kmiddyo",,🌲,1,,1,['https://pbs.twimg.com/tweet_video_thumb/E3k3M1DWQAETySp.jpg'],https://twitter.com/amichelec/status/1403213457865031682
