UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Blanca,@blancabb25,2021-04-18T08:29:01.000Z,"Replying to 
@AlmudenaPrezGa3", evet,,,,1,[],https://twitter.com/blancabb25/status/1383699072566001673
Blanca,@blancabb25,2021-04-05T19:38:12.000Z,"Replying to 
@paugasol",Siempre The show must go on ,,,,,[],https://twitter.com/blancabb25/status/1379156436131975172
Blanca,@blancabb25,2021-04-13T20:02:05.000Z,"Replying to 
@Cmvc_hanker
 @AlmudenaPrezGa3
 and 
@KeremBursin",Evet,,1,,4,[],https://twitter.com/blancabb25/status/1382061549360144384
Blanca,@blancabb25,2021-04-20T06:18:27.000Z,#kerembursinXmeanshealth,,,,,,[],https://twitter.com/blancabb25/status/1384390989964525569
Blanca,@blancabb25,2021-04-28T22:36:57.000Z,Nuestra primera sala chispas #Mojabragas,,,,,4,[],https://twitter.com/blancabb25/status/1387536340359712773
Blanca,@blancabb25,2021-04-13T21:59:47.000Z,España Solidaria SÇK,"España Solidaria SÇK | Kadın Dayanışma Vakfı
El equipo de Sen Çal Kapimi nos enseñó que el amor todo lo puede, por eso unimos fuerzas para en su nombre, ayudar a quienes mas lo necesitan.Ayuda con tu donación a que las mujeres y las niñas en...
fonzip.com",,,1,,['https://pbs.twimg.com/card_img/1433731600399937543/-3CYXBVV?format=jpg&name=small'],https://twitter.com/blancabb25/status/1382091169929310213
Blanca,@blancabb25,2021-04-07T19:12:55.000Z,"Kerem Bürsin, criticado y alabado por su mensaje a quienes no llevan la mascarilla | Cine y Televisión | LOS40","Kerem Bürsin, criticado y alabado por su mensaje a quienes no llevan la mascarilla
El actor turco se convirtió en tendencia en Twitter en España
los40.com",,,7,2,['https://pbs.twimg.com/card_img/1432111059012399105/Adnw0ehc?format=jpg&name=small'],https://twitter.com/blancabb25/status/1379874849661804552
Blanca,@blancabb25,2021-04-11T07:17:01.000Z,"Replying to 
@AlmudenaPrezGa3
 and 
@KeremBursin",Quien se meta con las Españolas se las verá conmigo #EdSer,,1,2,7,['https://pbs.twimg.com/tweet_video_thumb/EyrPW9QWUAAfy44.jpg'],https://twitter.com/blancabb25/status/1381144236679135233
Blanca,@blancabb25,2021-04-16T19:15:35.000Z,"Replying to 
@bolat_edser",,,,,,[],https://twitter.com/blancabb25/status/1383137012337741828
Blanca,@blancabb25,2021-04-19T13:40:55.000Z,"Replying to 
@AlmudenaPrezGa3",,😍,,,,[],https://twitter.com/blancabb25/status/1384139951978127381
