UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Chefbake14,@chefbake14,2021-01-12T15:38:23.000Z,Let's Go Buffa-lo! #BudLightCelly #BillsCelly,"0:34
Tweet #BrownsCelly
Tweet #BillsCelly
Tweet #BucsCelly",,,,,[],https://twitter.com/chefbake14/status/1349017891967012872
dAvE,@uknosheshuldve,2021-01-05T16:30:01.000Z,Yes blame him because other ppl didn’t stay home.,,,4,,3,[],https://twitter.com/uknosheshuldve/status/1346494169209040897
Chefbake14,@chefbake14,2021-01-05T21:50:37.000Z,"He closed zones. The people in the high infection zones were forced to go to other towns and cities for good and seevices, thus spreading the virus further into other areas.  It's not brain surgery to figure out what happened. #Cuomo should be in handcuffs",,,1,,,[],https://twitter.com/chefbake14/status/1346574850769432583
Wade Davis,@hubcub1970,2021-01-10T17:10:48.000Z,"Replying to 
@yuuuungdenzel
 @dan10017
 and 2 others",No. It's not his right to request a trade. He signed a no trade contract.,,8,,4,[],https://twitter.com/hubcub1970/status/1348316371084599299
Chefbake14,@chefbake14,2021-01-10T19:02:41.000Z,"A no trade clause contract, is a contract for the player to void any trade.  Not the team.",,,,,1,[],https://twitter.com/chefbake14/status/1348344531171815426
Words matter; Choose them wisely,@ken_petronis,2021-01-11T18:12:54.000Z,"Seriously, does anyone know what 
@getnickwright
 problem is with Josh Allen? Did Josh spurn his advances or something.

Geez, what an idiot.",,,25,,47,[],https://twitter.com/ken_petronis/status/1348694389606924289
Chefbake14,@chefbake14,2021-01-12T03:10:19.000Z,"#BillsMafia needs to stop giving Nicky Nonuts any type of viewership or tune in.  He baits the fan base with his terrible takes to draw you in.  Stop, ignore him.  He is terrible",,,,,2,[],https://twitter.com/chefbake14/status/1348829635870662658
Chefbake14,@chefbake14,2021-01-09T21:41:51.000Z,My mom has been gone almost 5 years.  1 of the biggest #Bills diehard there was.    This win put me to tears because I miss her and because she lived for games like this.  Man she would have loved this team. And then scream at me for not having faith in the Bills drafting Allen.,,,,,,[],https://twitter.com/chefbake14/status/1348022198968201218
Diggin Allen for 6,@Billsbabe17,2021-01-10T21:45:42.000Z,"If you could bring back ANY Buffalo Bill to help us get to the super bowl, who would it be? I think mine would be Freddie Jackson and Kyle Williams. Tough call though as I have loved many of our past players.",,🔥,196,12,123,[],https://twitter.com/Billsbabe17/status/1348385553230786560
Chefbake14,@chefbake14,2021-01-11T01:55:02.000Z,Bruce Smith,,,,,1,[],https://twitter.com/chefbake14/status/1348448300039626752
Sal Maiorana,@salmaiorana,2021-01-15T19:02:14.000Z,"Well, I was inside the warm press box, so it wasn't bad for me. Outside, I don't know why anyone would subject themselves to that kind of misery.","Chris, The Preseason Bills Fan
@ChrisKBills
 · Jan 15
@salmaiorana 27 years ago today: the last Bills home divisional game and the coldest game in team history. I can’t imagine what it was like covering this frozen spectacle:

https://youtu.be/uVxPis9_lGE",,5,,3,['https://pbs.twimg.com/profile_images/1403263238368894977/Ua0zDX3A_mini.jpg'],https://twitter.com/salmaiorana/status/1350156354585993218
Chefbake14,@chefbake14,2021-01-15T19:03:37.000Z,"In all the years of covering the Bills, who had the best press box food?",,,,,,[],https://twitter.com/chefbake14/status/1350156704017747971
LyndaG,@LyndaSGayle1,2021-01-09T00:17:09.000Z,"When Sue came to our facility, she told everyone to call her “Aunt Sue” because “everybody does”.  She’s recovering from Covid (although not out of the woods yet) and today is her birthday. She’s 101 and beat me at dominoes. Any chance I could get some birthday wishes for her? ",,❤,25.9K,15.9K,232.5K,['https://pbs.twimg.com/media/ErP8-x1W4AEMrsf?format=jpg&name=small'],https://twitter.com/LyndaSGayle1/status/1347698890389282816
Chefbake14,@chefbake14,2021-01-09T20:38:41.000Z,Happy Birthday,,,,,,[],https://twitter.com/chefbake14/status/1348006298739212290
Chefbake14,@chefbake14,2021-01-13T04:30:59.000Z,"Replying to 
@CheapFunBreaks",Lol yeah my son,,,,,[],https://twitter.com/chefbake14/status/1349212322640891908
Ian Rapoport,@RapSheet,2021-01-06T14:07:13.000Z,The #Dolphins announce that OC Chan Gailey has resigned. Miami will need a new OC.,,,179,525,3.6K,[],https://twitter.com/RapSheet/status/1346820620529577985
