UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Dian Tri Nurhayati,@dian_dethe,2021-01-14T06:47:32.000Z,Hello,"CALLING ALL BLINKS: CLIMATE ACTION IN YOUR AREA! #COP26
To all BLINKs across the planet.WATCH our video with @UKinKorea on our journey to learn more about #ClimateChange ahead of next year’s UN Climate Summit in U...
youtube.com",,,,,['https://pbs.twimg.com/card_img/1431010393594359813/35XZLY_g?format=jpg&name=240x240'],https://twitter.com/dian_dethe/status/1349609072379641864
Dian Tri Nurhayati,@dian_dethe,2021-01-14T04:45:49.000Z,Without,"Meghan Trainor - Title (Audio)
Audio copyrighted to respective owners. No copyright infringement intended.Follow My Twitter : http://twitter.com/IzharrHakimi
youtube.com",,,,,[],https://twitter.com/dian_dethe/status/1349578443617312771
Dian Tri Nurhayati,@dian_dethe,2021-01-12T06:09:12.000Z,I love you God !,,,,,,[],https://twitter.com/dian_dethe/status/1348874650328055808
Dian Tri Nurhayati,@dian_dethe,2021-01-15T04:16:25.000Z,So I can love you x_x,,,,,,[],https://twitter.com/dian_dethe/status/1349933430771838977
Dian Tri Nurhayati,@dian_dethe,2021-01-15T04:20:39.000Z,Must that,"BTSChartDaily⁷
@BTSChartDailyx
 · Jan 14
 @BTS_twt’s RM, JIN, YOONGI & JHOPE x #GalaxyS21

#GalaxyxBTS",📸 📱,,,1,"['https://pbs.twimg.com/profile_images/1431235530633760769/XGeALFXX_mini.jpg', 'https://pbs.twimg.com/media/EruMqLyW8AMZtIP?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EruMrFzXcAIXUaU?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EruMqt_W4AgiTw9?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EruMre8XIAMxlpn?format=jpg&name=360x360']",https://twitter.com/dian_dethe/status/1349934496557142016
Dian Tri Nurhayati,@dian_dethe,2021-01-12T06:32:51.000Z,I hope my √,"Harris
@HarrisJOfficial
 · Nov 30, 2020
Heaven is filled with sinners who never lost hope",,,,,['https://pbs.twimg.com/profile_images/1394648778498523139/m4X0_aaE_mini.jpg'],https://twitter.com/dian_dethe/status/1348880604637450240
Dian Tri Nurhayati,@dian_dethe,2021-01-12T19:07:31.000Z,I want (don't),"Dunkin'
@dunkindonuts
 · Jan 12
Don’t spill the tea, but it’s #NationalHotTeaDay and everyone’s ordering hot Oatmilk Chai Lattes.",,,,,['https://pbs.twimg.com/profile_images/1410566893790973953/pop_xuFg_mini.jpg'],https://twitter.com/dian_dethe/status/1349070521233641473
Dian Tri Nurhayati,@dian_dethe,2021-01-14T05:19:30.000Z,Will jars of salad sell at a doughnut shop? Farmer’s Fridge is trying that at Dunkin’.,"Will jars of salad sell at a doughnut shop? Farmer’s Fridge is trying that at Dunkin’.
Farmer’s Fridge, best known for selling jars of fresh salads out of vending machines, is now hawking its healthy fare through an unlikely partner: doughnut titan Dunkin’.
chicagotribune.com",,,,,['https://pbs.twimg.com/card_img/1433198813452423177/50Y37dVr?format=jpg&name=small'],https://twitter.com/dian_dethe/status/1349586921786228736
Dian Tri Nurhayati,@dian_dethe,2021-01-12T02:39:18.000Z,Shoppers complain over 'rip off' Cadbury Mini Eggs,"Shoppers complain over 'rip off' Cadbury Mini Eggs
Angry shoppers have labelled the products a 'con'
liverpoolecho.co.uk",,,,,[],https://twitter.com/dian_dethe/status/1348821829792632834
Dian Tri Nurhayati,@dian_dethe,2021-01-14T01:21:15.000Z,"I tried an $11 lipstick that claims to be smudge-proof, and it worked so well that I had trouble taking it off https://insider.com/nyx-shine-loud-smudge-proof-lipstick-lip-gloss-review-photos-2021-1?utmSource=twitter&utmContent=referral&utmTerm=topbar&referrer=twitter… lewat 
@thisisinsider",,,,,,[],https://twitter.com/dian_dethe/status/1349526961547186176
