UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Tammi L holmes,@ellolovely31,2021-06-26T05:30:20.000Z,Need me a sugar mama frfr,"Cash App
@CashApp
 · Jun 25
6.29.2021
@theestallion
0:12
212.6K views",,2,,,['https://pbs.twimg.com/profile_images/971494919901712384/xIU67qs9_mini.png'],https://twitter.com/ellolovely31/status/1408658869556072448
pouty girl,@CorinnaKopf,2021-06-26T02:15:40.000Z,"someone wife me up god damnit, i’ll pay your bills",,,3.9K,2.2K,74.6K,[],https://twitter.com/CorinnaKopf/status/1408609879166787584
Tammi L holmes,@ellolovely31,2021-06-28T03:41:13.000Z,Guys only???,,,,,,[],https://twitter.com/ellolovely31/status/1409356184952487938
Buy Me a Coffee,@buymeacoffee,2021-06-19T12:29:57.000Z,Check my pinned if you want $100 or not,,,24,19,209,[],https://twitter.com/buymeacoffee/status/1406227753267982341
Tammi L holmes,@ellolovely31,2021-06-19T14:36:28.000Z,100 would be nice,,,,,,[],https://twitter.com/ellolovely31/status/1406259591780999175
Tammi L holmes,@ellolovely31,2021-06-22T17:23:43.000Z,"@CashApp
 TamLHolmes1
Sugar mamas out there???I need a chick and cash  ","Cash App
@CashApp
 · Jun 16
Send cash. Send bitcoin. Switch with a tap.",😆,,,1,"['https://pbs.twimg.com/profile_images/971494919901712384/xIU67qs9_mini.png', 'https://pbs.twimg.com/ext_tw_video_thumb/1405248543753793540/pu/img/8k62IYjEh21tZ7dH.jpg']",https://twitter.com/ellolovely31/status/1407388847424606215
Tammi L holmes,@ellolovely31,2021-06-16T22:10:08.000Z,"Replying to 
@CashApp",100$ plz,,3,,,[],https://twitter.com/ellolovely31/status/1405286598313345031
Tammi L holmes,@ellolovely31,2021-06-16T22:29:57.000Z,"Replying to 
@grateful648
 and 
@CashApp",TammiLHolmes1@cashapp,,2,,2,[],https://twitter.com/ellolovely31/status/1405291586703876097
Tammi L holmes,@ellolovely31,2021-06-26T05:30:20.000Z,Need me a sugar mama frfr,"Cash App
@CashApp
 · Jun 25
6.29.2021
@theestallion
212.6K views
0:03 / 0:12",,2,,,['https://pbs.twimg.com/profile_images/971494919901712384/xIU67qs9_mini.png'],https://twitter.com/ellolovely31/status/1408658869556072448
Tammi L holmes,@ellolovely31,2021-08-13T16:43:51.000Z,"Replying to 
@HiddenCash",Pertane,,,,,[],https://twitter.com/ellolovely31/status/1426222980451946501
Tammi L holmes,@ellolovely31,2021-08-13T16:44:09.000Z,"Replying to 
@HiddenCash",Zoltane,,,,,[],https://twitter.com/ellolovely31/status/1426223059049013255
Tammi L holmes,@ellolovely31,2021-08-13T16:43:16.000Z,"Replying to 
@HiddenCash",Octane,,,,,[],https://twitter.com/ellolovely31/status/1426222835551309826
Tammi L holmes,@ellolovely31,2021-08-24T02:30:54.000Z,Featty Quill Pen Calligraphy Set Giveaway https://swee.ps/sGxfM_VRcSZfr,,,,,,[],https://twitter.com/ellolovely31/status/1429994594884796418
Tammi L holmes,@ellolovely31,2021-08-18T07:10:04.000Z,"Replying to 
@brummy5300
 and 
@tiredoflifee22","11,14,16",,,,,[],https://twitter.com/ellolovely31/status/1427890525693169664
