UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Amr,@Bianconeriiiii,2021-01-08T14:32:17.000Z,حوار انكم مستسهلين الترجي ده اكبر شئ يبين ان الزملكاوية ال عالتايم لاين كلهم صغيرين في السن مشافوش الزمالك ٤ سنين مثلا,,,4,10,66,[],https://twitter.com/Bianconeriiiii/status/1347551703567118336
Ahmad Emam,@emam_dr,2021-01-08T14:37:26.000Z,رأيي انها اصعب مجموعة .. ربنا يعديها علي خير,,,,,,[],https://twitter.com/emam_dr/status/1347553002673086472
✪ rajabShaaban,@rajab_Shaaban14,2021-02-10T09:40:39.000Z,"صفقة ندمت انها لعبت للزمالك
كهربا
حسام حسن
احمد حسن 
الحضرى 
اسلام الشاطر",,,486,73,493,[],https://twitter.com/rajab_Shaaban14/status/1359437113264111616
Ahmad Emam,@emam_dr,2021-02-10T14:39:31.000Z,كلهم ماعدا حسام حسن كلاعب,,,,,1,[],https://twitter.com/emam_dr/status/1359512324286132225
MO'men™⁦⁦,@Golden_Knight14,2021-02-08T11:54:32.000Z,"Memories 
الفيسبوك طلعتلي الصورة دي

زي النهاردة 2017 ",,🥰,21,22,340,['https://pbs.twimg.com/media/Ets8UDNXEAAf7v1?format=jpg&name=small'],https://twitter.com/Golden_Knight14/status/1358746029869432888
Ahmad Emam,@emam_dr,2021-02-08T13:31:18.000Z,من احلي الديزاينات الي اتعملت بصراحة.حاجة عظمة,,,,,2,[],https://twitter.com/emam_dr/status/1358770382996660224
Sarah Abdelbaky,@SarahAbdelbaky1,2021-02-10T11:14:11.000Z,"أربع شركات تتنافس على حق تصميم زي #الزمالك الجديد، وهم:

أمبرو الإنجليزية، وكابا الإيطالية، وأوفسايد السعودية، وكيلمي الإسبانية.

ويقوم مسئولو الزمالك حالياً بدراسة العروض، قبل الاستقرار على الأنسب منهم، الذي سيحصل النادي من خلاله على أكبر قدر من الامتيازات.",,,29,18,759,[],https://twitter.com/SarahAbdelbaky1/status/1359460652939640834
Ahmad Emam,@emam_dr,2021-02-10T14:35:09.000Z,امبرو او كابا يكون احسن و حاجة تليق باسم نادي الزمالك و تاريخه مع احترامي للشركتين التانيين,,,,,2,[],https://twitter.com/emam_dr/status/1359511227584581632
Ahmad Emam,@emam_dr,2021-03-06T14:37:23.000Z, var ,"Gunners
@Gunnersc0m
 · Mar 6
If this isn't a handball, then what is?!",🤔,,,,"['https://pbs.twimg.com/profile_images/1362785572503363594/YqaHhwEc_mini.jpg', 'https://pbs.twimg.com/media/EvzZjuOXEAMUxuq?format=jpg&name=small']",https://twitter.com/emam_dr/status/1368209099150798851
Hisham rashad مارشاليات,@hishamrashad40,2021-03-27T18:40:02.000Z,من الاجدر بقياده منتخب مصر بعيدا عن الترتيب والاقدميه ؟!,,,58,4,53,['https://pbs.twimg.com/media/Exgb1qJXMAEaFr_?format=jpg&name=small'],https://twitter.com/hishamrashad40/status/1375880305081466883
