UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Francisco Silveira,@fasevolution85,2021-01-01T02:15:02.000Z,Acabou de publicar uma foto em Fortaleza - Ceará - Brasil https://instagram.com/p/CJfDfgZj2q-/?igshid=fi0dcmyt8n4h…,,,,,,[],https://twitter.com/fasevolution85/status/1344829455466946560
Francisco Silveira,@fasevolution85,2021-01-06T23:48:11.000Z,Acabou de publicar uma foto em Mart Fit Academia https://instagram.com/p/CJuPdLyDqQb/?igshid=1879qlbpq4y2w…,,,,,,[],https://twitter.com/fasevolution85/status/1346966825620410370
Francisco Silveira,@fasevolution85,2021-01-22T23:56:21.000Z,"Torço São Paulo, em qualquer momento, mas não aceito anos de desastres, vexames e vergonhas!
.
Precisamos de mudanças! https://instagram.com/p/CKXdHBmDTf4/?igshid=1k1xu3db2jyld…",,,,,,[],https://twitter.com/fasevolution85/status/1352767089401065473
Francisco Silveira,@fasevolution85,2021-01-17T20:39:44.000Z,"Eu só queria aliviar a minha tensão com o 
@SaoPauloFC
 vencendo a tralha dessa partida contra o 
@AthleticoPR
 no 
@Brasileirao",,,,,,[],https://twitter.com/fasevolution85/status/1350905668685991937
Francisco Silveira,@fasevolution85,2021-01-24T01:41:54.000Z,"Como o resultado contra o 
@Coritiba
 foi empate, a nota oficial do 
@SaoPauloFC
 deveria ser a demissão da comissão técnica, que nada fez para mudar o cenário. #ForaDiniz!",,,,,1,[],https://twitter.com/fasevolution85/status/1353156037679972353
André Hernan,@andrehernan,2021-01-21T17:21:03.000Z,"Contei no 
@sportv
 : Haverá uma cobrança forte nos Jogadores do SP q terão q mostrar confiança no trabalho feito até aqui. Comissão Técnica tem que fazer auto crítica e mudar, buscar alternativas de jogo e até peças do time titular. “Nada está perdido” foi oq + escutei hj apurando",,,84,75,856,[],https://twitter.com/andrehernan/status/1352305220211118084
Francisco Silveira,@fasevolution85,2021-01-21T17:23:03.000Z,"Infelizmente está, perdemos 03 das 04 partidas no Brasileirão, com atuações patéticas, um elenco modorrento e que não ousou dar a resposta necessária depois da vexatória eliminação na Copa do Brasil",,,,,1,[],https://twitter.com/fasevolution85/status/1352305721422065664
Francisco Silveira,@fasevolution85,2021-01-07T01:25:59.000Z,"Hoje estou tendo ""nojo"" e ""ojeriza"" do 
@SaoPauloFC
 com uma atuação patética e ridícula. Depois da eliminação na Copa do Brasil, não poderia mais perder, via-se obrigado a vencer. Agora a pressão aumentará e a vida do elenco, bem como do técnico, está sob risco!",,,,,,[],https://twitter.com/fasevolution85/status/1346991439851319302
Francisco Silveira,@fasevolution85,2021-02-17T09:52:27.000Z,"01) O Brasil passou de 240.000 mortes decorrentes da #COVID_19, mostrado em dados pela coordenação das secretarias estaduais de saúde.",,,1,,,[],https://twitter.com/fasevolution85/status/1361976796070240256
Francisco Silveira,@fasevolution85,2021-02-16T10:58:58.000Z,"Replying to 
@fasevolution85
 @zehdeabreu
 and 2 others",#BolsonaroBustema vamos apoiar a ideia,,,,1,[],https://twitter.com/fasevolution85/status/1361631149529985026
José de Abreu,@zehdeabreu,2021-02-16T10:52:57.000Z,"Se eu postar que Bolsonaro é um filhodaputa o 
@Twitter
 vai me cancelar?",,,491,535,7.9K,[],https://twitter.com/zehdeabreu/status/1361629636354957317
Francisco Silveira,@fasevolution85,2021-02-16T10:55:48.000Z,"Dessa vez, eu vou apoiar, mas seria melhor dizer que ele é um ""bustema"".",,,1,,3,[],https://twitter.com/fasevolution85/status/1361630352889040898
Francisco Silveira,@fasevolution85,2021-02-04T02:06:09.000Z,"Vou ser sincero comigo mesmo, as vezes costumo pensar nisso de outra forma, mas vendo essa análise (comparação), entendo que estou longe de ser uma pessoa que faça acontecer em um país devastado como o Brasil.",,,,,,[],https://twitter.com/fasevolution85/status/1357148408792907776
Francisco Silveira,@fasevolution85,2021-02-19T23:12:54.000Z,"O final da saga de Hades, em #SaintSeiya sem o anime (ainda tentando entender o #NextDimension) #MaisGeekNaLoading",,,,,1,[],https://twitter.com/fasevolution85/status/1362903013816418305
