UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
mSELL,@getmsell,2021-06-24T17:32:30.000Z,"Upgrade to mSELL and stop being a Minimum Organization 

#FMCG #SaaS #Amazon #AmazonPrime #FamilyMan #India #Salesforce #getmsell #msell #solution #retailindustry #retail #beverage",,😇,,3,7,['https://pbs.twimg.com/media/E4qht5eUUAMKKd6?format=jpg&name=small'],https://twitter.com/getmsell/status/1408115832488488965
mSELL,@getmsell,2021-06-21T12:58:47.000Z,"What you think, you become. What you feel, you attract. What you imagine, you create - Buddha. 
Incorporating these precious words by Yoga Guru into our daily lives. Happy International Yoga Day everyone
#InternationalYogaDay #yoga #YogaDay2021 #FMCG #india #SaaS #getmsell #msell",,,,6,8,['https://pbs.twimg.com/media/E4aGYkUVoAco5ws?format=jpg&name=small'],https://twitter.com/getmsell/status/1406959787007352832
mSELL,@getmsell,2021-06-14T13:36:19.000Z,"‘A single pint can save three lives; a single gesture can create a million smiles. Donate Blood’ – Happy World Blood Donation Day from mSELL entire family. 
.
.
#worldblooddonorday #fmcg #cpgindustry #india #saas #sfa #getmsell",,,,6,9,['https://pbs.twimg.com/media/E32L66bUYAMHNpv?format=jpg&name=small'],https://twitter.com/getmsell/status/1404432516077948937
mSELL,@getmsell,2021-06-17T18:02:33.000Z,"Yes, we know that our key features surpass or are at par with every other SFA software present in the market right now, but still, we would like to ask a question that “Is that Enough? “
#FMCG  #cpgindustry #india #sfa #getmsell #sales #software #SaaS #msell",,,,7,10,['https://pbs.twimg.com/media/E4GlllOVUAQJ1A4?format=jpg&name=small'],https://twitter.com/getmsell/status/1405586677649739779
mSELL,@getmsell,2021-06-10T18:10:04.000Z,"FMCG industry thrives on sales and while talking about its operations there are few problems that kills the success of companies and stops them from becoming a bigger brand. Kindly go through our post and get to know about those problems.
#sales #FMCG #msell #SaaS #problem",,,2,8,8,"['https://pbs.twimg.com/media/E3ijZ2YVoAAZ-fy?format=jpg&name=small', 'https://pbs.twimg.com/media/E3ija_LVIAEdtOn?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E3ijbtvUcAECNLH?format=jpg&name=360x360']",https://twitter.com/getmsell/status/1403051854506840064
mSELL,@getmsell,2021-06-05T10:49:37.000Z,""" Reimagining, Recreating, Restoring "", just like the slogan for this year World Environment Day we at mSELL focus on Reimagining your sales automation needs, Recreating your brand through our expertise and Restoring your faith in sales channel efficiency at all times.
#saas #sfa",,,,3,9,['https://pbs.twimg.com/media/E3HPdLyVEAIYh5i?format=jpg&name=small'],https://twitter.com/getmsell/status/1401129073645015054
mSELL,@getmsell,2021-06-19T16:49:57.000Z,"Covid is going on, but attendance must go on too. What to do?
Introducing complete contactless attendance marking with 
@getmsell
 
To know more: https://msell.in 

#coronavirus #CoronaPandemic #COVID19 #Covid_19 #COVID #India #selfie #attendance #getmsell
#FMCG #cpg",,,,9,9,['https://pbs.twimg.com/media/E4QoL8sVcAcBm4i?format=jpg&name=small'],https://twitter.com/getmsell/status/1406293184850788352
mSELL,@getmsell,2021-06-29T06:32:21.000Z,"#COVID19 induced bane also brings a boon for #fmcg sector largely for startups as the demand increases in covid drastically
#Sales #AUTOMATION #india #getmsell #SaaS #beverage #Retail #Salesforce #tuesdayvibe #tuesdaymotivations
https://financialexpress.com/industry/sme/cafe-sme/covid-induced-fmcg-opportunities-not-only-for-biggies-startups-pivoting-to-tap-long-term-potential/2066942/… via 
@FinancialXpress","‘Covid-induced FMCG opportunities not only for biggies; startups pivoting to tap long term potent...
Being fundamentally nimble, flexible and adaptable, the focus area of start-ups would now shift to being mindful and being more efficient while addressing the new consumer mindset and requirements.
financialexpress.com",,,7,9,['https://pbs.twimg.com/card_img/1431953127457050627/pxHrZRIW?format=jpg&name=small'],https://twitter.com/getmsell/status/1409761636961832960
mSELL,@getmsell,2021-06-23T16:27:38.000Z,"Totally agree 
@MAPATWARDHAN
, Surely there is a revolution going on and our solution can only fuel it.

#FMCG #SaaS #ConsumerGoods #getmsell #msell #REVOLUTION #India #solution","Mayank Patwardhan
@MAPATWARDHAN
 · Jun 21
‘There is a silent kirana revolution happening in India’
#QandA #Marico #SagutaGupta #Packaging #Dabur #court #earning #results #growth #covid #pandemic #secondwave #Kiranas #FMCG #markets -Viveat Susan Pinto",,1,2,3,"['https://pbs.twimg.com/profile_images/1321414152032837632/_bPiV1bb_mini.jpg', 'https://pbs.twimg.com/media/E4X6ZzSVcAMN4OW?format=jpg&name=900x900']",https://twitter.com/getmsell/status/1407737117988380681
mSELL,@getmsell,2021-07-07T11:43:28.000Z,"Are you making multiple #reports on a daily basis? Is making reports taking a lot of your time? Is too much paper work and excel making killing your #productivity?
DM us and check out mSELL SFA App for the cure.
#FMCG #SaaS #India #Salesforce #getmsell #retailindustry #beverages",GIF,,1,6,13,[],https://twitter.com/getmsell/status/1412739036540674054
mSELL,@getmsell,2021-07-27T14:57:23.000Z,"Okay, Something really cool is coming and we would love you to have a taste of it. 

But you have to wait for it because "" Sabar ka phal meetha hota h ""

#FMCG  #SaaS  #India #getmsell #growthmantra #retailers #RetailTech",,,,8,11,['https://pbs.twimg.com/media/E7T61Z0VEAIQqe8?format=jpg&name=small'],https://twitter.com/getmsell/status/1420035596131606533
mSELL,@getmsell,2021-07-08T13:12:15.000Z,"mSELL's Circular Notification feature makes sure your communication with your team shouldn’t get compromised. It gives a #seamless one click notification sharing without any hassle and keeps you remain #productive round the clock
#FMCG #SaaS #getmsell #Sales #retail #India #msell",,,,3,8,"['https://pbs.twimg.com/media/E5xsa8yVkAc6Wri?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E5xsa9fVEAAELvW?format=jpg&name=360x360']",https://twitter.com/getmsell/status/1413123766847115271
mSELL,@getmsell,2021-07-22T12:57:32.000Z,"Biometric ? Touch? Contactless or not? Covid is there !
Fret not, We understand that in this unprecedented situation everyone is scared for their health and we ensure we can give an assurance and a sense of relief to them.

#fmcg #SaaS #getmsell #India #Retail #health #COVID19",,,,2,5,['https://pbs.twimg.com/media/E65vUrbUYAUfTbV?format=jpg&name=small'],https://twitter.com/getmsell/status/1418193495647342594
mSELL,@getmsell,2021-07-05T11:09:33.000Z,"Yes 
@sureshpprabhu
, it is a big relief that Industry is getting on its toes again and Corporates sure are investing into new tech to facilitate the recovery like one such tech is Salesforce Automation Solution
Check:
@getmsell
 and DM us.
#FMCG #getmsell #SaaS #sales #India #Retail","Suresh Prabhu
@sureshpprabhu
 · Apr 6
Nice meeting with Shri Sanjiv Puri, Chairman & Managing Director of ITC &Anil Rajput.Glad to know industry is moving fast on recovery path,how rural area,farmers are adopting new innovations,technologies with Corporates investing in new frontier ideas,propel in higher growth",,,3,9,"['https://pbs.twimg.com/profile_images/1176081776579530752/vce33bJq_mini.jpg', 'https://pbs.twimg.com/media/EySComoVIAIdnmH?format=jpg&name=small']",https://twitter.com/getmsell/status/1412005727464427524
mSELL,@getmsell,2021-06-30T11:49:42.000Z,"All those extra Paneer must be keeping your sales team hands full #HatsunAgro. Try our Salesforce Automation Solution and add as many products you want without affecting your efficiency.
#fmcg #SaaS #Retail #getmsell #India #Sales 
Source:
@FinancialXpress","Hatsun Agro expands dairy products portfolio; to sell paneer under Arokya brand
Its portfolio includes: Arun Icecreams, Arokya Milk, Ibaco - a premium chain of ice cream outlets, and Santosa - a fast-growing cattle feed brand.
financialexpress.com",,,6,9,['https://pbs.twimg.com/card_img/1433292359282802688/DhOA-GJJ?format=jpg&name=small'],https://twitter.com/getmsell/status/1410203891661111301
mSELL,@getmsell,2021-07-16T06:53:11.000Z,#India #getmsell #fmcg #saas #retailtech #Salesforce #AUTOMATION,,,,5,11,['https://pbs.twimg.com/media/E6Zhp8xVcAMvCs2?format=jpg&name=small'],https://twitter.com/getmsell/status/1415927477352812548
mSELL,@getmsell,2021-07-12T13:11:54.000Z,#FMCG #SaaS #India #Salesforce #getmsell #msell #solution #retailindustry #retail #beverage #Trends #Retail #Sales,"Gregg Katz
@GreggKatzCRE
 · Jul 12
Some interesting trends. 
#retail #retailsales #commercialrealestate #growth

2021 Top 100 Retailers https://nrf.com/blog/2021-top-100-retailers…",,,2,8,['https://pbs.twimg.com/profile_images/1117856670380691456/p2tzsrOS_mini.jpg'],https://twitter.com/getmsell/status/1414573231231553546
mSELL,@getmsell,2021-08-22T02:46:35.000Z,"Happy Raksha Bandhan to all from mSELL fam.

#Fmcg #Rakhi2021 #Rakshabandhan #HappyRakshaBandhan #SaaS #India #Retail #growthmantra #getmsell",,,1,3,3,['https://pbs.twimg.com/media/E9XM51ZVUAA5QLv?format=jpg&name=small'],https://twitter.com/getmsell/status/1429273766568153088
mSELL,@getmsell,2021-08-25T13:05:01.000Z,"You : What  are the Components of a Successful Business?

Us: Say no More !

#Components #saas #fmcg #getmsell #growthmantra #India #Retail #retailX2021 #retailproblems #consumer #goods #cpgindustry #business",,,,3,4,['https://pbs.twimg.com/media/E9o2MXgWYAk4-D0?format=jpg&name=small'],https://twitter.com/getmsell/status/1430516564667760644
mSELL,@getmsell,2021-08-27T13:19:01.000Z,"Salesforce Automation is the Next big thing in Retail. It is already being practiced and will gain more popularity with time. It is the Future of Retail in our Opinion. What are your thoughts regarding Future of Retail? Comment Below !
#Fmcg #SaaS #getmsell #india #Retail #Sales",,,,2,1,['https://pbs.twimg.com/media/E9zNjhLWUAI6b5l?format=jpg&name=small'],https://twitter.com/getmsell/status/1431244864268771334
mSELL,@getmsell,2021-08-23T12:40:51.000Z,"What would you Prefer?
#getmsell #growthmantra #FMCG #SaaS #Retail #India  #Poll #automation #salesforce","Higher Productivity
57.1%
Higher Revenue
42.9%
7 votes
·
Final results",,1,3,5,[],https://twitter.com/getmsell/status/1429785706851938304
mSELL,@getmsell,2021-08-14T04:34:10.000Z,"Okay Okay Okay! It is Official, we are launching our new Website. 
And yes our Website may be new but we are that same old Trustworthy Chaps who are working day and night to become "" Your Growth Mantra""
#fmcg #SaaS #growthmantra #getmsell #Website #launch #India #retailnews",,,,2,4,['https://pbs.twimg.com/media/E8uYpnkVkAAs941?format=jpg&name=small'],https://twitter.com/getmsell/status/1426401740471955459
mSELL,@getmsell,2021-08-28T10:16:18.000Z,"If you haven't yet bought Salesforce Automation Solution are you even a Smart Organization?

#AreYouEven #fmcg #SaaS #getmsell #growthmantra #Sales #Salesforce #Retail #consumer #India #automation #solution","Britannia Industries
@BritanniaIndLtd
 · Aug 28
#AreYouEven",,,2,5,"['https://pbs.twimg.com/profile_images/1026457228260167682/eT24imw2_mini.jpg', 'https://pbs.twimg.com/media/E922YJSVQAEmq_F?format=jpg&name=small']",https://twitter.com/getmsell/status/1431561269597949952
mSELL,@getmsell,2021-08-24T12:56:24.000Z,"Hmm, Automation is the Holy Grail of all Success and Retail having a potential of 52%, Just Amazing!
Have a look at the article below from 
@McKinsey
 for more info.

#fmcg #SaaS #automation #getmsell #growthmantra #India #Retail #potentialunlocked","McKinsey & Company
@McKinsey
 · Aug 23
McKinsey research found that 52 percent of retail activities could be automated, at least partially. 

In the face of this, retailers need to adjust their operating model to become future-ready  https://mck.co/3y6Q9wi",➡,,2,2,"['https://pbs.twimg.com/profile_images/1410679639647850498/KfDlJXpi_mini.png', 'https://pbs.twimg.com/media/E9eVLd4WUAA4BMz?format=jpg&name=small']",https://twitter.com/getmsell/status/1430152009114607621
mSELL,@getmsell,2021-08-23T12:41:34.000Z,"PS: We ensure both
#salesforceautomation #Productivity #revenue",,😎,,,3,[],https://twitter.com/getmsell/status/1429785889497096192
mSELL,@getmsell,2021-08-07T12:40:41.000Z,"Golden boy with his Golden throw, Giving India its First Gold.
@getmsell
 (mSELL) family congratulates you on your historic win.
#Tokyo2020 #NeerajChopra #goldmedal #Gold #getmsell #olympischespelen","0:32
169.1K views
Tokyo 2020
Neeraj Chopra wins India's first gold medal at the Tokyo Olympics ",🥇,,3,4,[],https://twitter.com/getmsell/status/1423987457977065474
mSELL,@getmsell,2021-08-07T12:40:41.000Z,"Golden boy with his Golden throw, Giving India its First Gold.
@getmsell
 (mSELL) family congratulates you on your historic win.
#Tokyo2020 #NeerajChopra #goldmedal #Gold #getmsell #olympischespelen","0:30
169.1K views
Tokyo 2020
Neeraj Chopra wins India's first gold medal at the Tokyo Olympics ",🥇,,3,4,[],https://twitter.com/getmsell/status/1423987457977065474
