UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Gretchen,@gretchenhilary,2021-01-03T21:45:35.000Z,"In all my decade playing 
@YahooFantasy
 I always dreamed of this day. 
@KingJames
 knew it could happen and now the 
@Browns
 have done it again. Kudos to them!! ","Cleveland Browns
@Browns
 · Jan 3
Guys",👏 👏 👏 🧡 🤎,,1,1,['https://pbs.twimg.com/profile_images/1370020823063531520/ZjpLR-hJ_mini.jpg'],https://twitter.com/gretchenhilary/status/1345848808060583937
Gretchen,@gretchenhilary,2021-03-01T16:47:48.000Z,,"The Daily Show
@TheDailyShow
 · Mar 1
Presidential corruption is only a crime if it happens in France; in America it's a Sparkling Oopsie-Daisy twitter.com/guardian/statu…",🥂 🥂 🥂,,,,['https://pbs.twimg.com/profile_images/1299421580989267970/VhmsZ1xE_mini.jpg'],https://twitter.com/gretchenhilary/status/1366429977684504577
Jason Kander,@JasonKander,2021-03-14T23:53:50.000Z,"If COVID were 100% gone right now, and you could go to any live show, concert, sporting event, whatever --- what would it be?",,,1.6K,379,1.1K,[],https://twitter.com/JasonKander/status/1371248233788411909
Gretchen,@gretchenhilary,2021-03-17T20:31:21.000Z,"Opening day of the 
@SFGiants
 or 
@sfoutsidelands",,,,,,[],https://twitter.com/gretchenhilary/status/1372284443071684608
Gretchen,@gretchenhilary,2021-04-21T03:09:08.000Z,Just posted a photo @ Disneyland https://instagram.com/p/CN6ZHsuJHch/?igshid=18q0tow8166yb…,,,,,1,[],https://twitter.com/gretchenhilary/status/1384705734869323776
Gretchen,@gretchenhilary,2021-05-15T23:45:57.000Z,Just posted a photo @ CPC Fremont https://instagram.com/p/CO6ZvZjpTnG/?igshid=1ujz5qnrhyxa2…,,,,,,[],https://twitter.com/gretchenhilary/status/1393714298971693057
Gretchen,@gretchenhilary,2021-05-03T18:08:13.000Z,"@hallmarkchannel
 Getting rid of all of the #hallmarkmovies in one day is pretty rough. #NotABigFan #WheresMyMovies?",,,,,,[],https://twitter.com/gretchenhilary/status/1389280649173823491
Gretchen,@gretchenhilary,2021-05-03T19:29:56.000Z,"Replying to 
@Wendys",You had me at the #biggiebuckethat please link me the merch page for that!,,1,,,[],https://twitter.com/gretchenhilary/status/1389301215473799170
Hallmark Channel,@hallmarkchannel,2021-05-06T16:20:03.000Z,"We're celebrating the dashing 
@tyler_hynes
' birthday today!  #Hallmarkies, be sure to send him your best wishes for the year ahead!",,🤗 🎂,106,46,749,['https://pbs.twimg.com/media/E0t7ZxNXEAIdkqA?format=jpg&name=small'],https://twitter.com/hallmarkchannel/status/1390340594401153025
Gretchen,@gretchenhilary,2021-05-06T17:36:38.000Z,"Yay! HBD 
@tyler_hynes
 and thank you for returning movies to the weekday programming 
@hallmarkchannel
! Maybe a Tyler marathon is in order? ",,🤔 🎊 🎂 🎉 🎁,1,,4,[],https://twitter.com/gretchenhilary/status/1390359865160126467
Gretchen,@gretchenhilary,2021-05-04T20:11:45.000Z,Just posted a photo https://instagram.com/p/COdse9FJ23L/?igshid=gcp7x4fy6ipt…,,,,,1,[],https://twitter.com/gretchenhilary/status/1389674127318044677
Gretchen,@gretchenhilary,2021-06-10T05:23:34.000Z,"Just posted a photo @ Fremont, California https://instagram.com/p/CP7YQJypLml/?utm_medium=twitter…",,,,,,[],https://twitter.com/gretchenhilary/status/1402858958935793674
Gretchen,@gretchenhilary,2021-06-20T17:23:03.000Z,"Happy Father’s Day and (late) bday to these two guys. 30 years later and changing the world in their own awesome ways. #HappyFathersDay #HappyBirthday #HangingWithDaddo @ Napa, California https://instagram.com/p/CQWaioLpRn1/?utm_medium=twitter…",,,,,,[],https://twitter.com/gretchenhilary/status/1406663901371060227
Gretchen,@gretchenhilary,2021-06-21T02:32:05.000Z,"Happy Father’s Day to our rock and favorite guy. In this adventure we call life, I’m glad we’re in it together raising this amazing small human. #HappyFathersDay2021 #BestDadInTheBizz #TeamWorkMakesTheDreamWork https://instagram.com/p/CQXZX2CJR0-/?utm_medium=twitter…",,,,,,[],https://twitter.com/gretchenhilary/status/1406802070875803652
Gretchen,@gretchenhilary,2021-06-13T04:47:52.000Z,"Replying to 
@Wendys",#wendysfrostyccinoiscoldbrewwithfrostycreamer ,,,,,[],https://twitter.com/gretchenhilary/status/1403937137951576064
McDonald’s,@McDonalds,2021-08-24T17:17:17.000Z,show and tell: the best happy meal toy you've ever gotten,,,861,310,4.9K,[],https://twitter.com/McDonalds/status/1430217662634893320
Gretchen,@gretchenhilary,2021-08-26T00:39:55.000Z,"The 
@McDonalds
 fries / chicken McNuggets etc. that turned into robots circa early 1990s ",,🔥 👏 🤖,,,,[],https://twitter.com/gretchenhilary/status/1430691440879837187
Izzy Dahlke,@izzydahlke,2021-08-24T17:23:13.000Z,"Replying to 
@McDonalds",,,5,,146,['https://pbs.twimg.com/media/E9kouKfXsAIBgcY?format=jpg&name=small'],https://twitter.com/izzydahlke/status/1430219153856684034
Gretchen,@gretchenhilary,2021-08-26T00:40:32.000Z,Yessssss!!!! ,,💯,,,,[],https://twitter.com/gretchenhilary/status/1430691595628605440
