UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Shall We Begin,@itsfisayomi5413,2021-01-19T20:29:21.000Z,Omo president wan kill them   #LayconOnJimmyJumpOff,"sTAcIeE
@StacyEloho
 · Jan 19
"" I'm not even at the top Yet..and they all wanna cry""

#LayconOnJimmyJumpOff",🐺 ❤ 💡 😹 😹 😹 😹,,11,9,['https://pbs.twimg.com/profile_images/1347995922341441536/uvxkjAy4_mini.jpg'],https://twitter.com/itsfisayomi5413/status/1351627829285330944
Shall We Begin,@itsfisayomi5413,2021-01-24T22:28:59.000Z,Congrats my president  #900KTwitteriCONs,,🐺 ❤ 💡 😎 ☺,,5,1,[],https://twitter.com/itsfisayomi5413/status/1353469874815852544
Shall We Begin,@itsfisayomi5413,2021-01-16T13:17:35.000Z,"No cap  

Laycon the Artiste","Tunde Ednut
@TundeEddnut
 · Jan 16
Laycon's 2nd verse on Nobody remix is a Legendary status kinda verse.",🐺 ❤ 💡 🧢,,2,,['https://pbs.twimg.com/profile_images/1327888890179579905/20fUOcE7_mini.jpg'],https://twitter.com/itsfisayomi5413/status/1350432009848582145
Shall We Begin,@itsfisayomi5413,2021-01-24T08:49:13.000Z,Amen ,"Tunde Ednut
@TundeEddnut
 · Jan 24
If you're reading this, your testimony is on its way.",🐺 ❤ 💡 🙏,,,1,['https://pbs.twimg.com/profile_images/1327888890179579905/20fUOcE7_mini.jpg'],https://twitter.com/itsfisayomi5413/status/1353263575511527424
Shall We Begin,@itsfisayomi5413,2021-01-21T11:12:52.000Z,Laycon,"Unorthodox Reviews
@OfficialBlog_UR
 · Jan 21
______________ is the musician I defend like my life depends on it.",🐺 ❤ 💡,,,,['https://pbs.twimg.com/profile_images/1035654255775023104/Jde8AsEF_mini.jpg'],https://twitter.com/itsfisayomi5413/status/1352212563736584192
Shall We Begin,@itsfisayomi5413,2021-01-22T08:25:59.000Z,Nah you sabi,"UncLe SARM
@Uncle_sarm
 · Jan 22
Your ex texts you, ""I'm dating someone better than you"".
Reply with 3 words, let's go 
Show this thread",🐺 ❤ 💡 🤣 🤣 🤣 😂 😂,,,,['https://pbs.twimg.com/profile_images/1432058351194619905/4IWXMln1_mini.jpg'],https://twitter.com/itsfisayomi5413/status/1352532951368675329
Shall We Begin,@itsfisayomi5413,2021-01-24T22:08:38.000Z,Nice one president ,"Laycon
@itsLaycon
 · Jan 24
900k iCONs on @Twitter!!!! See as God get me for mind  Speechless

I love love love you guys!!",🐺 ❤ 💡 💡 🐺 🤯,,,,['https://pbs.twimg.com/profile_images/1377495136008081409/STDBqFqf_mini.jpg'],https://twitter.com/itsfisayomi5413/status/1353464754904264706
Shall We Begin,@itsfisayomi5413,2021-01-13T22:30:46.000Z,"Don’t feel too important , it leads to disappointment ",,🐺 ❤ 💡 💯,,,,[],https://twitter.com/itsfisayomi5413/status/1349484058858942465
SHALL WE BEGIN....,@wolfseasn,2021-01-27T12:09:05.000Z,"How many retweets can I get. Let’s take space 1 and 2. 

LAYCON ON SHOWMAX
#LayconDubaiTour 

Icons, we can actually run both tags you know ",,🔥 🔥 🔥 🔥,13,130,81,[],https://twitter.com/wolfseasn/status/1354401036837023744
Shall We Begin,@itsfisayomi5413,2021-01-27T12:36:06.000Z,Already at 1 and 2,,🐺 ❤ 💡 😊 😊 🤗,,,1,['https://pbs.twimg.com/media/EsvSvl4XAAI78Nj?format=jpg&name=900x900'],https://twitter.com/itsfisayomi5413/status/1354407836479070214
Legit.ng | Leading the way,@legitngnews,2021-01-20T11:09:52.000Z,"BBNaija's Laycon has been praised by his fans on social media after his praiseworthy performance on DJ Jimmy Jatt's show.

The reality star cleverly addressed issues that fans have been seeking answers to in his session on Jimmy's Jump Off.","BBNaija's Laycon wows fans with rap performance on DJ Jimmy Jatt's show
BBNaija's Laycon has received accolades from fans online following his performance on DJ jimmy Jatt's Jimmy's Jump Off show. He rapped for over three minutes.
legit.ng",😎,30,156,640,['https://pbs.twimg.com/card_img/1433471793197629440/XSWOwIng?format=jpg&name=small'],https://twitter.com/legitngnews/status/1351849418325172226
Shall We Begin,@itsfisayomi5413,2021-01-20T11:55:29.000Z,Are you people okay sha? Which one is Bbn Laycon  you cannot use rapper or singer Laycon,,🐺 ❤ 💡 🙄 🙄 🙄,,,7,[],https://twitter.com/itsfisayomi5413/status/1351860898923761668
eelive.ng,@eeliveblog,2021-01-20T16:26:50.000Z,LISTEN: BBNaija’s Laycon Performs on ‘Jimmy’s Jump Off’,"LISTEN: BBNaija's Laycon Performs on 'Jimmy's Jump Off' - eelive
Rapper and Big Brother Naija Season 5 winner Laycon performed on DJ Jimmy Jatt's freestyle show Jimmy's Jump Off. During Jimmy Jatt's freestyle show,
eelive.ng",,8,34,119,[],https://twitter.com/eeliveblog/status/1351929186735321089
Shall We Begin,@itsfisayomi5413,2021-01-20T16:37:59.000Z,Are you people mad with your bbn thing,,🐺 ❤ 💡 🙄 🙄,,,,[],https://twitter.com/itsfisayomi5413/status/1351931993068601344
Laycon,@itsLaycon,2021-01-28T08:09:03.000Z,"YKB dropped yesterday
Baba Fela is tomorrow
JoeJoe is coming with that fire

Omo X 2021 ",,💡 🐺 💡 💡 💡 💡,297,1.4K,10.9K,[],https://twitter.com/itsLaycon/status/1354703019263320066
Shall We Begin,@itsfisayomi5413,2021-01-28T08:13:23.000Z,"My president 

LAYCON ON BABA FELA REMIX",,🐺 ❤ 💡,1,,2,[],https://twitter.com/itsfisayomi5413/status/1354704110965182469
Laycon,@itsLaycon,2021-01-15T09:12:36.000Z,"Recording nights, Recording days! Working on iCONic music that my fans will be proud of. No matter how long it takes, it will be worth the wait. ",,💡 🐺 🐺,847,2.8K,23K,[],https://twitter.com/itsLaycon/status/1350007970587959297
Shall We Begin,@itsfisayomi5413,2021-01-15T11:06:57.000Z,We trust and believe in you presido ,,🐺 ❤ 💡 ❤,,,,[],https://twitter.com/itsfisayomi5413/status/1350036745149100033
Shall We Begin,@itsfisayomi5413,2021-01-24T22:09:27.000Z,Nice one  bro #900KTwitteriCONs,,🐺 ❤ 💡,,3,,[],https://twitter.com/itsfisayomi5413/status/1353464962124046336
Shall We Begin,@itsfisayomi5413,2021-01-16T10:28:21.000Z,"Replying to 
@RealSnowlove",Trending at number 5,🐺 ❤ 💡,,1,,['https://pbs.twimg.com/media/Er2MA-NXMAAElCR?format=jpg&name=900x900'],https://twitter.com/itsfisayomi5413/status/1350389421057716224
