UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-26T23:29:12.000Z,"Replying to 
@iirudex
 and 
@iiMonkey_D",run it back,,,,,[],https://twitter.com/izeiks_/status/1431036034410819591
Skk joud .,@_9vlx,2021-08-26T04:41:18.000Z,"Replying to 
@izeiks_",كلزق,🙄,1,,,[],https://twitter.com/_9vlx/status/1430752189006364675
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-26T21:07:05.000Z,هههههههههههههههههههههه,,,,,,[],https://twitter.com/izeiks_/status/1431000268989157376
Skk joud .,@_9vlx,2021-08-25T21:19:52.000Z,"مافي احترام ؟ 
@izeiks_",,🙄,1,,1,['https://pbs.twimg.com/media/E9qoffAXMAEdEbT?format=jpg&name=medium'],https://twitter.com/_9vlx/status/1430641098322497543
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-26T00:41:19.000Z,ما دخلت الانستا,,,,,,[],https://twitter.com/izeiks_/status/1430691795340570624
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-26T23:15:32.000Z,"Replying to 
@iiMonkey_D",هههههههههههههههههههه هههههههههههههههههههه,,,,,[],https://twitter.com/izeiks_/status/1431032595299643401
Y,@helloxdifn,2021-08-25T20:25:29.000Z,"Replying to 
@g1ntl",٤ اتيام ولله مبزره,,1,,,[],https://twitter.com/helloxdifn/status/1430627413399150595
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-25T20:26:13.000Z,3 التيم الرابع مو لعبه,,,,,,[],https://twitter.com/izeiks_/status/1430627597805817856
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-26T23:26:02.000Z,"Replying to 
@iirudex","@1R0ll
 @0u9h_",,,,,[],https://twitter.com/izeiks_/status/1431035235001671683
SAQR OUTLAW,@OutLawFTW_,2021-08-26T23:08:30.000Z,"Replying to 
@1R0ll",اوميقاد ,😛 😛 😋 😋 😋 😋 😋 😋,24,,53,[],https://twitter.com/OutLawFTW_/status/1431030823457853448
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-26T23:09:55.000Z,لا أثقل هههههههههههههههههههه,,,,,,[],https://twitter.com/izeiks_/status/1431031181739495429
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-23T19:03:07.000Z,"Replying to 
@3mW4si
 and 
@Azzx_fn",,,,,1,['https://pbs.twimg.com/tweet_video_thumb/E9f2At0WYAMpMBJ.jpg'],https://twitter.com/izeiks_/status/1429881908134092800
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-15T00:20:35.000Z,,,🔥 😎,,,,[],https://twitter.com/izeiks_/status/1426700311230652417
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-25T21:32:22.000Z,"Replying to 
@_9vlx",كنك طفله طالعه من الروضه,,1,,,[],https://twitter.com/izeiks_/status/1430644242322448384
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-26T17:37:33.000Z,"Replying to 
@xt4rek",يا فرحه ما تمت,,,,,[],https://twitter.com/izeiks_/status/1430947537142358027
,@11Alpa_,2021-08-21T18:03:11.000Z,القراند بدون سوريانو كأنه ماي بدون بحر ,,😔,6,,,[],https://twitter.com/11Alpa_/status/1429142050411323394
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-21T18:05:24.000Z,هي حكمه بس ما تدري وين,,,,,1,[],https://twitter.com/izeiks_/status/1429142608660647949
Falcon 6A,@Big6A_,2021-08-18T02:30:01.000Z,صباح الخير ٥ ونص الف نفر,,,16,1,76,[],https://twitter.com/Big6A_/status/1427820047360266245
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-18T04:07:10.000Z,ونص الا واحد,,,1,,,[],https://twitter.com/izeiks_/status/1427844493617897475
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-22T15:21:58.000Z,"Replying to 
@hulks88_
 and 
@iKeroFN",هنا,,,,,['https://pbs.twimg.com/media/E9Z5z4PWQAACj9a?format=jpg&name=small'],https://twitter.com/izeiks_/status/1429463866413658112
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-21T13:18:22.000Z,"Replying to 
@CHAHINEx
 @louaiiiiiiiii
 and 
@iirudex",اتصير الصباح ,😭 😭,,,,[],https://twitter.com/izeiks_/status/1429070371316195334
3ziz ,@im3ziz_,2021-08-21T10:44:57.000Z,مساء الخير ,,😘,12,,12,[],https://twitter.com/im3ziz_/status/1429031764241141762
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-21T17:25:03.000Z,من الخير عزيز,,🤍,,,,[],https://twitter.com/izeiks_/status/1429132451687841793
Skk joud .,@_9vlx,2021-08-24T04:15:48.000Z,"Replying to 
@izeiks_",حسابي الي طار ورجع طار مره ثانيه تدري ؟,🙄,1,,,[],https://twitter.com/_9vlx/status/1430020994387922946
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-24T19:02:34.000Z,انت كل شي عندك متبند,,,1,,,[],https://twitter.com/izeiks_/status/1430244156753027076
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-21T02:12:40.000Z,"Replying to 
@l2veto",؟؟,,,,,[],https://twitter.com/izeiks_/status/1428902846066479108
Monkey,@iiMonkey_D,2021-08-18T00:09:59.000Z,"@iirudex
 
نزلوا قرينك ",,🤣,50,6,273,['https://pbs.twimg.com/media/E9CCoBpXMAA5XB5?format=jpg&name=small'],https://twitter.com/iiMonkey_D/status/1427784807782694918
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-18T00:10:32.000Z,ههههههههههههههههههههه ههههههههههههههههههههه,,,,,,[],https://twitter.com/izeiks_/status/1427784943623675905
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-23T19:08:29.000Z,"Replying to 
@iirudex",Vv,,,,,[],https://twitter.com/izeiks_/status/1429883258729345030
Falcon Spy,@spyerfrog,2021-08-23T22:53:06.000Z,"Replying to 
@DRaFTell_
 @ContextNobrain
 and 2 others",يقول صارت اسهل ,🤣 👆,116,5,193,[],https://twitter.com/spyerfrog/status/1429939785578262531
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-23T22:53:49.000Z,هههههههههههههههههههه هههههههههههههههههههه,,,,,,[],https://twitter.com/izeiks_/status/1429939964888899588
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-24T02:19:15.000Z,"Replying to 
@iiMonkey_D","@g1ntl
 @vNasir_
 @spyerfrog
 ",🥺,,,,[],https://twitter.com/izeiks_/status/1429991665889124353
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-23T21:18:27.000Z,"Replying to 
@linjy78
 @FNCompetitive
 and 
@FortniteME",,,,,,['https://pbs.twimg.com/profile_images/1426966793504100361/h4Mf-HGr_mini.jpg'],https://twitter.com/izeiks_/status/1429915964917882880
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-23T17:22:59.000Z,"Replying to 
@izeiks_
 and 
@_9vlx",خلاص عرفتك (زيتونه),,1,,,[],https://twitter.com/izeiks_/status/1429856710026481666
3ziz ,@im3ziz_,2021-08-24T20:08:30.000Z,دعواتكم ,,🤒,6,1,3,[],https://twitter.com/im3ziz_/status/1430260750447218694
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-24T20:27:44.000Z,ما تشوف شر,,,,,,[],https://twitter.com/izeiks_/status/1430265589340180480
Fncs for Abufal7,@0pingerBB,2021-08-24T08:34:29.000Z,صباح الخير بس للي يقدرون يردون ,,👑 🥰,28,,27,[],https://twitter.com/0pingerBB/status/1430086094578667536
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-24T19:54:52.000Z,مساء النور,,😭 😭,1,,1,[],https://twitter.com/izeiks_/status/1430257320844529668
3z,@1DeMonAZ,2021-08-27T02:18:53.000Z,"Replying to 
@g1ntl
 and 
@02Mhnd",نام وراك مصارعه بمسيتي بكرا,,2,,1,[],https://twitter.com/1DeMonAZ/status/1431078737383149569
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-27T02:28:37.000Z,كون مستي,,,2,,,[],https://twitter.com/izeiks_/status/1431081184457633795
oTnxx,@oTnxx_,2021-08-19T03:18:46.000Z,هاه مشلشلين ولا نايمين؟ ,,🦦,5,,47,[],https://twitter.com/oTnxx_/status/1428194705125298177
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-19T03:28:33.000Z,نبي بث ,,🦦 🐒,1,,1,[],https://twitter.com/izeiks_/status/1428197164816142341
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-23T01:18:06.000Z,"Replying to 
@Nachiirifn","@linjy78
  باقي انت كيف ب تموت",,,,,[],https://twitter.com/izeiks_/status/1429613888018976768
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-24T19:02:05.000Z,"Replying to 
@iiMonkey_D",@spyerfrog,,,,,[],https://twitter.com/izeiks_/status/1430244035755716608
Monkey,@iiMonkey_D,2021-08-25T19:37:14.000Z,"تحدي الكبار بكرة الجوائز فيها علوم رجاجيل 
@souriano
 vs 
@OutLawFTW_
 ",,😂 ⚔,14,1,330,[],https://twitter.com/iiMonkey_D/status/1430615270104633345
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-25T19:37:58.000Z,هنا مين؟؟؟؟؟؟؟؟,,,2,,,[],https://twitter.com/izeiks_/status/1430615454616330244
Acidic,@oldacidic,2021-08-24T19:37:16.000Z,"مين افضل ستريمر بنظرك؟
مو شرط السيزون هاذا حتى السيزنات الماضية؟",,,61,,70,[],https://twitter.com/oldacidic/status/1430252888417259531
𝚉𝙴𝙸𝙺𝚂,@izeiks_,2021-08-25T19:49:42.000Z,"حقوق 
@iiMonkey_D
 و افضل استريمر 
@iiMonkey_D",,,,,,[],https://twitter.com/izeiks_/status/1430618406215110663
