UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Jenna Carter,@jnncrtr,2021-01-22T00:32:37.000Z,1/21/21. Onward.,,,,,18,"['https://pbs.twimg.com/media/EsS9NDHXUAEePuP?format=jpg&name=small', 'https://pbs.twimg.com/media/EsS9NDKW4AIrbfn?format=jpg&name=small']",https://twitter.com/jnncrtr/status/1352413827548196872
Jenna Carter,@jnncrtr,2021-01-15T18:56:02.000Z,*sets countdown*,"President Biden
@POTUS
United States government official
 · Jan 15
Folks — This will be the account for my official duties as President. At 12:01 PM on January 20th, it will become @POTUS. Until then, I'll be using @JoeBiden. And while you're here, follow @FLOTUSBiden @SenKamalaHarris @SecondGentleman and @Transition46.",,,,10,"['https://pbs.twimg.com/profile_images/1380530524779859970/TfwVAbyX_mini.jpg', 'https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig']",https://twitter.com/jnncrtr/status/1350154796460896259
Alex Osberg,@AlexOsberg,2021-01-21T22:32:21.000Z,"Today marks 7 years @ Twitter 

Each and every day of the past 2,555 days has been 

 Incredibly warm and talented people 
 A platform that gives everyone a chance to be heard 
 Products that move our partner’s business 

THANK YOU!

#LoveWhereYouWork",,🚀 💯 ✔ ✔ ✔,33,,183,[],https://twitter.com/AlexOsberg/status/1352383560733356039
Jenna Carter,@jnncrtr,2021-01-22T04:26:47.000Z,Alex! Happy 7!  So lucky to get to work with you.,GIF,🥳,1,,,['https://pbs.twimg.com/tweet_video_thumb/EsTyycnXEAEBGeU.jpg'],https://twitter.com/jnncrtr/status/1352472755690733576
Shelby Clayton,@shelbyclayton,2021-01-26T20:00:54.000Z,"The secret is out! After 5 years in NYC, I am officially back in the city that raised me, ATL. Today I bought  my first home, my dream townhome! A huge thank you to my friends, family, amazing realtor, and Twitter for supporting me through this process. I’m back y’all! ",,🏠 🍑,95,18,702,"['https://pbs.twimg.com/media/Esru9zPXUAAF0Z6?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Esru9zMXMAYJluR?format=jpg&name=360x360']",https://twitter.com/shelbyclayton/status/1354157387565981697
Jenna Carter,@jnncrtr,2021-01-26T21:21:16.000Z,CONGRATS!!! So happy for you!,,,1,,1,[],https://twitter.com/jnncrtr/status/1354177612982190080
Jenna Carter,@jnncrtr,2021-01-15T01:43:17.000Z,"Replying to 
@bskgtk
 and 
@LASNYC1","Happy 2 years, 
@LASNYC1
!! ",💙,,,2,[],https://twitter.com/jnncrtr/status/1349894895230734339
Allie Ellman,@allieellz,2021-01-22T15:47:07.000Z,"3 years at Twitter today! Through all the crazy of the past year, Twitter (and team cpg) has been a stable home and I am forever grateful. So proud to be a tweep, today and everyday. #LoveTwitter #LoveWhereYouWork and missing you all IRL",,,16,1,72,"['https://pbs.twimg.com/media/EsWOg6fXIAMfgjX?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EsWOg_EWMAEgwMZ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EsWOg7bXEAABMKy?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EsWOg_NXEAMQXdL?format=jpg&name=360x360']",https://twitter.com/allieellz/status/1352643965892362242
Jenna Carter,@jnncrtr,2021-01-22T18:06:09.000Z,HAPPY 3 YEARS TO MY PIC  Beyond grateful for you.,,💕 💕,1,,1,[],https://twitter.com/jnncrtr/status/1352678955774570496
Jenna Carter,@jnncrtr,2021-01-26T22:58:44.000Z, #MTNDEWMAJORMELON,"Mountain Dew®
@MountainDew
 · Jan 26
Something life changing is coming to Super Bowl LV… #MTNDEWMAJORMELON
0:14
1.5M views",👀,,,3,['https://pbs.twimg.com/profile_images/1402312697883025423/HghkG5gR_mini.png'],https://twitter.com/jnncrtr/status/1354202138591768578
Jenna Carter,@jnncrtr,2021-01-27T19:37:43.000Z,"Replying to 
@TwitterOneTeam",!,👋,1,,,[],https://twitter.com/jnncrtr/status/1354513940244557824
Jenna Carter,@jnncrtr,2021-01-26T22:58:44.000Z, #MTNDEWMAJORMELON,"Mountain Dew®
@MountainDew
 · Jan 26
Something life changing is coming to Super Bowl LV… #MTNDEWMAJORMELON
1.5M views
0:03 / 0:15",👀,,,3,['https://pbs.twimg.com/profile_images/1402312697883025423/HghkG5gR_mini.png'],https://twitter.com/jnncrtr/status/1354202138591768578
Jenna Carter,@jnncrtr,2021-02-02T18:22:07.000Z,"Let's do this, #SuperbowlWeeknd 

#PepsiHalftime
#SBLV","The Weeknd
@theweeknd
 · Feb 2
we’re so close. #SuperBowlWeeknd
0:29
8.1M views",🔥 🔥,,1,7,['https://pbs.twimg.com/profile_images/1423364560447102978/9wilq_Ax_mini.jpg'],https://twitter.com/jnncrtr/status/1356669240049356806
Jenna Carter,@jnncrtr,2021-02-08T01:26:35.000Z,LET'S GO #PepsiHalftime,,,1,,10,[],https://twitter.com/jnncrtr/status/1358588003317407744
Jenna Carter,@jnncrtr,2021-03-01T22:37:01.000Z,I feel seen,"The Independent
@Independent
 · Mar 1
Gillian Anderson’s accent confuses Golden Globe viewers https://independent.co.uk/arts-entertainment/tv/news/gillian-anderson-accent-golden-globes-speech-b1808996.html?utm_term=Autofeed&utm_medium=Social&utm_content=Echobox&utm_source=Twitter#Echobox=1614570174…",,,,11,['https://pbs.twimg.com/profile_images/1410564543361716226/gfgxZ-kN_mini.jpg'],https://twitter.com/jnncrtr/status/1366517862718922755
Jenna Carter,@jnncrtr,2021-02-08T01:43:12.000Z, if #blindinglights will be stuck in your head for ever and ever #superbowlweeknd,,,,,4,[],https://twitter.com/jnncrtr/status/1358592182316371971
Shala Girolami,@shalagirolami,2021-02-01T00:39:44.000Z,"Replying to 
@allieellz","thoughts and wine to you and 
@jnncrtr
  inching to the finish!",♥,1,,1,[],https://twitter.com/shalagirolami/status/1356039497406943235
Jenna Carter,@jnncrtr,2021-02-01T00:49:56.000Z,So close!,GIF,,,,2,['https://pbs.twimg.com/tweet_video_thumb/EtGhEKcW8AMSGV3.jpg'],https://twitter.com/jnncrtr/status/1356042062609715202
Jenna Carter,@jnncrtr,2021-02-08T00:30:22.000Z,"Second time’s the charm. There are [483] bottles of #MTNDEWMAJORMELON in this ad. Think you can count better? Go to the pinned tweet on 
@MountainDew
. #MyPromotionEntry Rules: http://lifechangingdew.com","Tap to enter 
Tweet #MTNDEWMAJORMELON",👇,1,,3,['https://pbs.twimg.com/amplify_video_thumb/1351239403864272901/img/uLxnC2TFR08VQ_ey.jpg'],https://twitter.com/jnncrtr/status/1358573855829327874
Marc Cassimus,@mgcassimus,2021-02-20T23:07:38.000Z,"I don’t think I’m supposed to tweet this but 
@lcostakos
 said yes and I couldn’t wait another second.",,,74,4,216,['https://pbs.twimg.com/media/EutJcZhXUAInNxs?format=jpg&name=small'],https://twitter.com/mgcassimus/status/1363264077057908738
Jenna Carter,@jnncrtr,2021-02-20T23:52:30.000Z,yayy CONGRATS!,,,,,1,[],https://twitter.com/jnncrtr/status/1363275367063166976
Jenna Carter,@jnncrtr,2021-02-08T02:29:05.000Z,"#TakeHomeHalftime  
#Sweepstakes","Pepsi
@pepsi
 · Feb 8
If you wanna hang with @TheWeeknd you need to look the part.

Follow @Pepsi and RT using #TakeHomeHalftime and #Sweepstakes for your chance to win this iconic look. Stay tuned for the final drop.

Rules: http://PepsiHalftime.com/rules.pdf",,,1,2,"['https://pbs.twimg.com/profile_images/1255241280856227841/Pcm8Xpj4_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1358600994586820610/pu/img/hCf8ChB7A9obnM3l.jpg']",https://twitter.com/jnncrtr/status/1358603731827310592
Jenna Carter,@jnncrtr,2021-02-08T03:01:28.000Z,,"Siobhan Murphy
@siobhan
 · Feb 8
The last minute of @theweeknd's performance was the most Tweeted minute of the entire Super Bowl so far #PepsiHalftime #SuperBowl #TheWeeknd",🔥 🚨 📈 📈 🚨,,1,5,['https://pbs.twimg.com/profile_images/1431648576573222919/h6huc1Nn_mini.jpg'],https://twitter.com/jnncrtr/status/1358611880647004162
Jenna Carter,@jnncrtr,2021-02-09T00:59:21.000Z,"Replying to 
@BodiWanKenobi",,👏 👏 👏,,,1,[],https://twitter.com/jnncrtr/status/1358943536377389061
Tiffany Flowers (she/her),@MsFlowersTweets,2021-03-27T20:41:05.000Z,"Replying to 
@MsFlowersTweets",The shots have to be used by 6 PM. The location is in Northwest.,,6,14,13,[],https://twitter.com/MsFlowersTweets/status/1375910770320506889
Jenna Carter,@jnncrtr,2021-03-27T21:20:29.000Z, thank you for sharing! Any left available?,,,,,,[],https://twitter.com/jnncrtr/status/1375920684648521734
Annie Martin,@anniem,2021-03-11T18:17:54.000Z,"And just like that it's my last day of class 
@ChicagoBooth
 - time flies! 

Couldn't have done it without all the support ","Adam Carpenter
@adamput
 · Jul 9, 2018
I would like to announce that one of Twitter's best, @anniem, has been accepted to @ChicagoBooth. Amazing, amazing accomplishment that couldn't happen to a better person. Congrats, Annie!
GIF",🙏 🙏,28,,86,"['https://pbs.twimg.com/profile_images/1362580747828232194/3UHWGjTf_mini.jpg', 'https://pbs.twimg.com/tweet_video_thumb/Dhryl55XUAAMAJY.jpg']",https://twitter.com/anniem/status/1370076529460445188
