UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
johnathan griggs,@johnathangrigg4,2021-01-26T15:20:21.000Z,I'm sending all the love to one of my favorite wrestlers of all time #HappyBirthdaySashaBanks hope it's a great one Boss,,,,1,,"['https://pbs.twimg.com/media/EsquPtbXAAAqG8B?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EsquP0uW8AEkal-?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EsquPvlWMAA4pXJ?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EsquP4OXIAIOOE6?format=jpg&name=360x360']",https://twitter.com/johnathangrigg4/status/1354086783655542787
FITE,@FiteTV,2021-01-23T18:28:51.000Z,Favorite entrance song of all time?,,,251,66,191,[],https://twitter.com/FiteTV/status/1353047055250427905
johnathan griggs,@johnathangrigg4,2021-01-23T22:13:12.000Z,Slow Chemical,GIF,,,,,['https://pbs.twimg.com/tweet_video_thumb/EscweI0XYAADTnz.jpg'],https://twitter.com/johnathangrigg4/status/1353103517066653701
johnathan griggs,@johnathangrigg4,2021-01-30T14:59:48.000Z,Happy birthday to one of my absolute favorite wrestlers of all time gender be dammed one of the best to do this a true inspiration to so many of us who showed us if you work hard enough you make the impossible very much possible happy birthday Becky!!!,,,,,,"['https://pbs.twimg.com/media/Es_PFEOXAAMAFz-?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Es_PhEmWMAI03vf?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Es_PFGFXMAU86Me?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Es_PhHEXYAAaA4i?format=jpg&name=360x360']",https://twitter.com/johnathangrigg4/status/1355531162979082241
johnathan griggs,@johnathangrigg4,2021-01-26T16:24:59.000Z,"Replying to 
@StrictlyHotties",I Love me some Jen ,😍 😍 😍,,,5,"['https://pbs.twimg.com/media/Esq9ho9XAAIWUJR?format=jpg&name=small', 'https://pbs.twimg.com/media/Esq9hvYXIAAX8Qn?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Esq9h31W8AM2WXL?format=png&name=360x360']",https://twitter.com/johnathangrigg4/status/1354103050730876930
johnathan griggs,@johnathangrigg4,2021-01-27T14:28:21.000Z,"Replying to 
@Era_Of_Bliss
 and 
@AlexaBliss_WWE",I've Missed Little Miss Bliss even if it was just for a moment it was nice to see again lol,,,,1,['https://pbs.twimg.com/tweet_video_thumb/Esvsb9CW4AI7eHt.jpg'],https://twitter.com/johnathangrigg4/status/1354436085032615937
johnathan griggs,@johnathangrigg4,2021-01-27T05:26:23.000Z,"Replying to 
@TheShiniestDan",I Think so and I'm grateful for that ,😍 😍 😍 🤤 🤤 🤤,,,,[],https://twitter.com/johnathangrigg4/status/1354299695179436034
johnathan griggs,@johnathangrigg4,2021-01-25T05:22:22.000Z,"Replying to 
@MelinasQueendom",Scary botch I'm glad it wasn't worse than it looked Charlotte could have broken Sasha's neck right there yikes.,,,,,[],https://twitter.com/johnathangrigg4/status/1353573909707321344
Anita Lois,@LoisAnita,2021-01-25T12:58:00.000Z,I will suck your dick if you like this tweet,,,355,272,5K,[],https://twitter.com/LoisAnita/status/1353688570842775554
johnathan griggs,@johnathangrigg4,2021-01-25T14:15:54.000Z,I'm waiting on ya ,,😍 😂,,,3,[],https://twitter.com/johnathangrigg4/status/1353708176915501064
johnathan griggs,@johnathangrigg4,2021-01-27T16:32:10.000Z,"Replying to 
@StrictlyHotties",Oh yeah ,☺ 😍,,,1,[],https://twitter.com/johnathangrigg4/status/1354467245230067714
johnathan griggs,@johnathangrigg4,2021-01-30T20:07:30.000Z,"Replying to 
@MelinasQueendom",I know it gets rough but you gotta keep pushing forward alright Ash your cared about.,,1,,,[],https://twitter.com/johnathangrigg4/status/1355608599351975939
johnathan griggs,@johnathangrigg4,2021-01-29T05:03:41.000Z,"Replying to 
@TheShiniestDan",Awesome ,😂,,,,[],https://twitter.com/johnathangrigg4/status/1355018759472349187
johnathan griggs,@johnathangrigg4,2021-01-30T20:10:36.000Z,"Replying to 
@MelinasQueendom",Your welcome I pray things get better for you soon.,,,,,[],https://twitter.com/johnathangrigg4/status/1355609376770416642
johnathan griggs,@johnathangrigg4,2021-01-30T05:22:11.000Z,"Replying to 
@Era_Of_Bliss",It's ok tho not like either one is actually gonna win so #30 isn't going to WM confirmed lol,,,,,[],https://twitter.com/johnathangrigg4/status/1355385800117149697
HerTwistedKing920,@TwistedKing920,2021-01-29T14:29:29.000Z,Who do you think of when you see this title?,,❤ ❤ ❤ ❤,54,10,64,['https://pbs.twimg.com/media/Es5_4TRXMAQ3rdY?format=jpg&name=small'],https://twitter.com/TwistedKing920/status/1355161145137627136
johnathan griggs,@johnathangrigg4,2021-01-29T14:58:54.000Z,Stone Cold Steve Austin,,,1,,1,[],https://twitter.com/johnathangrigg4/status/1355168550407839747
johnathan griggs,@johnathangrigg4,2021-01-28T14:40:29.000Z,"Replying to 
@StrictlyHotties",Hot as hell,,,,,[],https://twitter.com/johnathangrigg4/status/1354801528096219142
johnathan griggs,@johnathangrigg4,2021-01-30T18:31:08.000Z,"Replying to 
@ProducerBTW",Castlevania Bloodlines,,,,,[],https://twitter.com/johnathangrigg4/status/1355584348427329537
