UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
BeastMr,@MrBeastExtra,2021-04-15T23:18:43.000Z,Who do you want to see in our Minecraft videos on the gaming channel? :),,,8.3K,873,141.4K,[],https://twitter.com/MrBeastExtra/status/1382835809691258880
Lazy,@lazythefox,2021-04-17T04:25:59.000Z,Fundy,,,,,,[],https://twitter.com/lazythefox/status/1383275524668067841
YouTube Creators,@YouTubeCreators,2021-04-08T18:46:55.000Z,"To make YouTube safe for everyone, some content isn’t allowed - including anything that promotes violence or hatred against individuals or groups. Learn more about our hate policy → http://yt.be/policy-hate",,,86,35,330,[],https://twitter.com/YouTubeCreators/status/1380230695138758656
Lazy,@lazythefox,2021-04-13T15:48:01.000Z,and i mean it take it down,,,,,,[],https://twitter.com/lazythefox/status/1381997609431134208
Lazy,@lazythefox,2021-04-13T15:46:49.000Z,"Replying to 
@YouTubeCreators",movies or shows in real life,,,,,[],https://twitter.com/lazythefox/status/1381997308871516163
Ranboo,@Ranboosaysstuff,2021-04-23T20:46:33.000Z,"Replying to 
@Ranboosaysstuff",When i say AROUND i mean AROUND. Depends on when other streams end ;),,256,288,43.4K,[],https://twitter.com/Ranboosaysstuff/status/1385696618012241923
Lazy,@lazythefox,2021-04-27T18:47:05.000Z,"hey 
@Ranboosaysstuff
 have you heard the news about dream smp",,,,,,[],https://twitter.com/lazythefox/status/1387116105919918080
Lazy,@lazythefox,2021-04-13T15:47:36.000Z,"Replying to 
@YouTubeCreators",also plz take down the coppa rule it is breaking the law and it is very stupid please take the law down,,,,,[],https://twitter.com/lazythefox/status/1381997507782209538
YouTube Creators,@YouTubeCreators,2021-04-09T17:29:58.000Z,Are your goods good? Stay up-to-date on what you can and cannot sell on your channel. → http://yt.be/policy-sale,,,21,7,109,['https://pbs.twimg.com/amplify_video_thumb/1380573690312720395/img/u9IbwnH4VgQyZEUp.jpg'],https://twitter.com/YouTubeCreators/status/1380573715335892996
Lazy,@lazythefox,2021-04-13T15:46:33.000Z,excuse my potty mouth but fuck you coppa i am forcing you to turn youtube back to the way it was in 2015 or you will be forced to pay me a fine of $1000000000 dollars also i am 13 and i am able to watch and play what ever i want cause i know not to do the things i see in games,,,,,,[],https://twitter.com/lazythefox/status/1381997244061085699
Tails,@TAILSROCKS,2021-03-19T17:46:16.000Z,"Replying to 
@MShenjosh
 and 
@sonicGAMING06","Oh rlly?
Then i will UNO REVERSE CARD 
@sonicGAMING06
 AND PERISH HIM
MUAHAHHAHAHAHAH
IM A GENIOUS",,3,,1,[],https://twitter.com/TAILSROCKS/status/1372967674863570946
Lazy,@lazythefox,2021-04-13T16:11:43.000Z,"hey 
@TAILSROCKS
 follow me because i am very good boy and i know not to do the things that i see in games movies and shows in real life",,,,,,[],https://twitter.com/lazythefox/status/1382003574964580353
