UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Dave Woodrow,@OWUwoody,2021-03-06T15:59:35.000Z,"@CharlieDayQuote
 I found it! The ""finisher car"" and ""the transporter of gods -- the GOLDEN God!""",,,1,,2,['https://pbs.twimg.com/media/Evztu9ZWQAI34tN?format=jpg&name=small'],https://twitter.com/OWUwoody/status/1368229782765375493
Eminem from the 2011 Brisk Iced Tea Commercial,@mad_squimpin,2021-03-08T12:27:36.000Z,Glorious,,,,,1,[],https://twitter.com/mad_squimpin/status/1368901210535833604
FX Networks,@FXNetworks,2021-03-24T19:30:00.000Z,"tell us: what are your questions for dennis reynolds, the golden god?",,,186,49,461,[],https://twitter.com/FXNetworks/status/1374805717740257282
Eminem from the 2011 Brisk Iced Tea Commercial,@mad_squimpin,2021-03-24T20:25:13.000Z,I do not question the golden god,,,,,1,[],https://twitter.com/mad_squimpin/status/1374819611762380812
Eminem from the 2011 Brisk Iced Tea Commercial,@mad_squimpin,2021-03-23T17:00:27.000Z,"Replying to 
@alwayssunny",F,,,,1,[],https://twitter.com/mad_squimpin/status/1374405692979703817
Eminem from the 2011 Brisk Iced Tea Commercial,@mad_squimpin,2021-03-25T01:14:34.000Z,"Replying to 
@Dax7567
 and 
@IGN",@this_vid,,,,,[],https://twitter.com/mad_squimpin/status/1374892433062952962
Eminem from the 2011 Brisk Iced Tea Commercial,@mad_squimpin,2021-04-18T22:06:30.000Z,"Replying to 
@SpongeBob","Times up 
@SpongeBob",,,,,['https://pbs.twimg.com/media/EzSeE-pVoAMadEj?format=jpg&name=small'],https://twitter.com/mad_squimpin/status/1383904799746265093
Eminem from the 2011 Brisk Iced Tea Commercial,@mad_squimpin,2021-04-17T22:30:21.000Z,"Replying to 
@SpongeBob",You have 24 hours to delete this,,1,,9,['https://pbs.twimg.com/media/EzNZ8lfUcAEoJ1A?format=jpg&name=900x900'],https://twitter.com/mad_squimpin/status/1383548412616843265
Perfectly Paused SpongeBob Frames,@PausedSponge,2021-04-23T18:36:29.000Z,OHHHOO MY COCK,,,4,9,138,['https://pbs.twimg.com/media/Ezrd9kYUYAAfoNZ?format=jpg&name=240x240'],https://twitter.com/PausedSponge/status/1385663887047991299
Eminem from the 2011 Brisk Iced Tea Commercial,@mad_squimpin,2021-04-28T01:20:37.000Z,GODDAMN SQUIDDY GOT THE DIAPER DUMPY,,,,,,[],https://twitter.com/mad_squimpin/status/1387215139506581505
