UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Leigh Law,@momto4laws,2021-01-26T23:54:33.000Z,"Now I have new car fever!
I built a Volvo for #VolvoSafety Sunday and am rooting for safety during the big game for a chance to win. To enter, visit","Celebrating 1 million lives saved by Volvo safety innovations
NO PURCH. NEC. Open to legal res of 50 US/DC, 18+ only. Valid United States driver’s license required to claim a prize. Begins 1/20/20 and ends 2/2/20. For Rules, visit [PROMOTION RULES URL]. Void...
volvosafetysunday.com",,,,,['https://pbs.twimg.com/card_img/1419244869994827776/phxMQfUv?format=jpg&name=small'],https://twitter.com/momto4laws/status/1354216186217721859
Leigh Law,@momto4laws,2021-01-06T13:27:17.000Z,#CountdownEntry YAY!,,,,,,[],https://twitter.com/momto4laws/status/1346810572915007489
Leigh Law,@momto4laws,2021-02-07T23:52:25.000Z,"This recipe from 
@AvosFromMexico
 will go down in history as being one of the most delicious guacamoles of all time.  #GuacFood #GuacFromMexico #Sweepstakes","Championship Guac | Bacon Guacamole Recipe
This is Troy Aikman’s favorite guacamole, and it looks scrumptious! Grocery store, here I come. @AvosFromMexico #GuacFood #GuacFromMexico #Sweepstakes https://bit.ly/2Mmg3Kv
avocadosfrommexico.com",🏆,,,,['https://pbs.twimg.com/card_img/1432361618185375747/n7PjaauS?format=jpg&name=small'],https://twitter.com/momto4laws/status/1358564303624929281
Leigh Law,@momto4laws,2021-02-07T23:58:30.000Z,Ugh #TUMSBingoSweepstakes,,,,,,[],https://twitter.com/momto4laws/status/1358565835246346240
Leigh Law,@momto4laws,2021-02-07T23:48:20.000Z,#TUMSBingoSweepstakes,,,,,,[],https://twitter.com/momto4laws/status/1358563275361955841
Leigh Law,@momto4laws,2021-02-09T15:05:34.000Z,#TailgatingWithOtterbox,"Dallas Cowboys
@dallascowboys
 · Jan 23
#CowboysNation  @Otterbox has the ultimate tailgating/home gating pack for YOU

To enter, follow both accounts, then RT using hashtag #TailgatingWithOtterbox
 
Official Rules → http://bit.ly/34Gc0yN",🗣,,,,"['https://pbs.twimg.com/profile_images/1372568603501936650/WZ_u6Zsr_mini.jpg', 'https://pbs.twimg.com/media/EsYsyG7XYAUQ0GI?format=jpg&name=small']",https://twitter.com/momto4laws/status/1359156492600021006
Leigh Law,@momto4laws,2021-02-08T01:07:22.000Z,2Q #TUMSBingoSweepstakes,,,,,,[],https://twitter.com/momto4laws/status/1358583163480645632
Leigh Law,@momto4laws,2021-03-23T14:12:18.000Z,"Big Boat Sweepstakes! https://rivertravelmagazine.com/giveaways/big-boat-sweepstakes/?lucky=12332… via 
@RiverTravelMag","Big Boat Sweepstakes!
In celebration of the Great River Road, the storied Mississippi River, and the history of the steamboats that owned the river, River Travel Magazine and USA River Cruises have partnered for the Big...
rivertravelmagazine.com",,,,1,[],https://twitter.com/momto4laws/status/1374363377158475777
AT&T Explore,@ATTexplore,2021-03-26T15:02:14.000Z,"Enter for a chance to win 2 Microsoft Surface Duos!
 
RT or reply to this post by 3/28/21
Include either “for work” “for school” or “for fun”
And http://go.att.com/surfaceduo and “tax time savings”
and #attexplore and #sweepstakes
 
No purch necessary. Rules: http://bit.ly/taxtimesurfaceduosweeps…",,,1K,1K,913,['https://pbs.twimg.com/amplify_video_thumb/1375463052754178051/img/Ma70AYlWXgBA4rql.jpg'],https://twitter.com/ATTexplore/status/1375463109603815426
Leigh Law,@momto4laws,2021-03-29T12:52:08.000Z,"FOR FUN!  
http://go.att.com/surfaceduo 
“tax time savings”
#attexplore  #sweepstakes","Microsoft Surface Duo - Price, Specs & Reviews - AT&T
Buy the Microsoft Surface Duo 128 GB in Glacier from AT&T.
att.com",,,,1,['https://pbs.twimg.com/card_img/1432726850065911812/G_KFFq17?format=png&name=small'],https://twitter.com/momto4laws/status/1376517531654053889
Leigh Law,@momto4laws,2021-03-22T14:51:40.000Z,"Enter now & you could be cruising the streets in 
@carsdotcom
's Best Value of 2021, the Hyundai Venue! #Bestof2021Sweepstakes",,,,,,[],https://twitter.com/momto4laws/status/1374010898864541696
