UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Robert Silomba,@mrsanitysilz,2021-08-21T17:28:17.000Z,Africa my continent ,,🤣 🤣,,,2,['https://pbs.twimg.com/media/E9VNH3tWQAUV8_O?format=jpg&name=small'],https://twitter.com/mrsanitysilz/status/1429133264963477515
Robert Silomba,@mrsanitysilz,2021-08-28T14:40:10.000Z,Thought I was the the only one ,"D
@urDreamluv
 · Aug 27
do you ever just sit with your laptop open but just use your phone 
Show this thread",🤣 🤣 🦄 😂,,,,['https://pbs.twimg.com/profile_images/1426775609284333569/PyuUNECO_mini.jpg'],https://twitter.com/mrsanitysilz/status/1431627674762584066
The Distro ➐,@DemobreyPilDash,2021-08-25T16:56:50.000Z,Shocking rumours you heard about yourself?,,,13,53,53,[],https://twitter.com/DemobreyPilDash/status/1430574902592090116
Robert Silomba,@mrsanitysilz,2021-08-26T06:21:59.000Z,That I am a satanist,,,,1,,[],https://twitter.com/mrsanitysilz/status/1430777525421105153
Lovie,@SChitonka,2021-08-20T20:05:58.000Z,Comment with a  and I'll reply you with one of these ,,😘 💕 ❤ 😊 😊 👇,90,1,71,['https://pbs.twimg.com/media/E9QnoOgXMAI4dUT?format=jpg&name=small'],https://twitter.com/SChitonka/status/1428810562402586633
Robert Silomba,@mrsanitysilz,2021-08-21T13:56:33.000Z,Here we go,,,,,,[],https://twitter.com/mrsanitysilz/status/1429079984551907329
Pretty Dark,@PrettyDark6,2021-08-21T13:49:38.000Z,What's you favorite bemba proverb,,🎤 🎤 📢,101,26,148,[],https://twitter.com/PrettyDark6/status/1429078241546014723
Robert Silomba,@mrsanitysilz,2021-08-22T14:48:18.000Z,Chipongwe te maka,,,,,1,[],https://twitter.com/mrsanitysilz/status/1429455392543854600
Yummy Mummy,@Ms_Nammy,2021-08-25T17:30:53.000Z,This man puts his phones face down...he thinks i'm an idiot ai?,,,21,5,122,[],https://twitter.com/Ms_Nammy/status/1430583473312567305
Robert Silomba,@mrsanitysilz,2021-08-26T20:27:03.000Z,I just did that a few hours ago I never wanted trouble ,,😂,,,,[],https://twitter.com/mrsanitysilz/status/1430990193151074307
Thanos ,@Slim_Thanos,2021-08-26T15:10:19.000Z,Light Skin Niggas will embarrass you,,,37,31,313,[],https://twitter.com/Slim_Thanos/status/1430910486757871620
Robert Silomba,@mrsanitysilz,2021-08-27T09:15:40.000Z,But you tried so hard to look like one on do how do we trust that,,,1,,1,[],https://twitter.com/mrsanitysilz/status/1431183623336742916
Chichi Love ZM,@NSyaminwe,2021-08-21T07:05:47.000Z,Have a great weekend y'all,,🌍 ❤,18,6,216,"['https://pbs.twimg.com/media/E9S-exNXIAU-z6J?format=jpg&name=small', 'https://pbs.twimg.com/media/E9S-nSYXsAY-lQ8?format=jpg&name=small', 'https://pbs.twimg.com/media/E9S-pCEX0AMHV_W?format=jpg&name=small']",https://twitter.com/NSyaminwe/status/1428976608388517890
Robert Silomba,@mrsanitysilz,2021-08-21T14:04:05.000Z,You are beautiful ,,❤,1,,1,[],https://twitter.com/mrsanitysilz/status/1429081878246666244
Mrs. Optimus Prime,@zoehikachila,2021-08-25T18:39:27.000Z,Approximately how much do you use for airtime in a month?,,,93,40,192,[],https://twitter.com/zoehikachila/status/1430600727630655496
Robert Silomba,@mrsanitysilz,2021-08-26T06:21:01.000Z,I spend al ot I think I use almost 30 everyday that's nearly 900,,,,,1,[],https://twitter.com/mrsanitysilz/status/1430777284378648579
.,@Chimwemw3_,2021-08-23T07:03:37.000Z,So ifwe we are following you imwe tamuletukonkako,,,21,48,281,[],https://twitter.com/Chimwemw3_/status/1429700841997541378
Robert Silomba,@mrsanitysilz,2021-08-23T15:26:40.000Z,Anyone to follow,,,1,,1,[],https://twitter.com/mrsanitysilz/status/1429827435252551687
Robert Silomba,@mrsanitysilz,2021-08-26T20:32:36.000Z,"Replying to 
@keishachilufya
 and 
@JBsuniverse1",Let me check,,,,2,[],https://twitter.com/mrsanitysilz/status/1430991588998668294
O,@ProudlyZambian,2021-08-25T11:25:59.000Z,"Replying to 
@Teks_tequila
 @mrsanitysilz
 and 2 others",Thank you so much ,✨,1,,1,[],https://twitter.com/ProudlyZambian/status/1430491642381979648
Robert Silomba,@mrsanitysilz,2021-08-26T06:18:17.000Z,You are welcome,,,,,,[],https://twitter.com/mrsanitysilz/status/1430776594415636480
Robert Silomba,@mrsanitysilz,2021-08-26T20:34:29.000Z,"Replying to 
@keishachilufya
 and 
@JBsuniverse1",,,,1,2,['https://pbs.twimg.com/media/E9vnsTvWYAoIAWt?format=jpg&name=medium'],https://twitter.com/mrsanitysilz/status/1430992064481841152
Robert Silomba,@mrsanitysilz,2021-08-20T12:04:02.000Z,"Replying to 
@kopalaguy",Luapula,,,,13,[],https://twitter.com/mrsanitysilz/status/1428689276947124230
Robert Silomba,@mrsanitysilz,2021-08-25T10:12:46.000Z,"Replying to 
@NSyaminwe",,❤,,,27,[],https://twitter.com/mrsanitysilz/status/1430473215852400640
Robert Silomba,@mrsanitysilz,2021-08-23T16:02:52.000Z,"Replying to 
@mrschiloh",Utusongole that's bemba,,2,1,4,[],https://twitter.com/mrsanitysilz/status/1429836545071136770
Robert Silomba,@mrsanitysilz,2021-08-23T16:14:51.000Z,"Replying to 
@OdogwuSc
 and 
@OfficialTwiza",,🤣 🤣,1,,1,[],https://twitter.com/mrsanitysilz/status/1429839560813555714
Robert Silomba,@mrsanitysilz,2021-08-28T16:54:34.000Z,"Replying to 
@EkponoAkwaowo
 @RitaMilandu
 and 
@DominicMboo_",,🤣 🤣,,,2,[],https://twitter.com/mrsanitysilz/status/1431661495977447424
Robert Silomba,@mrsanitysilz,2021-08-26T06:18:29.000Z,"Replying to 
@MacGenesi
 @Mutale_Sitali
 and 
@Electric_Dre",,😂 😂,,,,[],https://twitter.com/mrsanitysilz/status/1430776646014017536
