UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
| المجهول,@anonymous_FPJ,2021-01-23T21:16:10.000Z,كان اديتك مليار دين على شرط ترجعو لي في سنة حا تثتثمر المبلغ د كيف؟,,🔥,155,15,166,[],https://twitter.com/anonymous_FPJ/status/1353089164519084032
ramzi_#,@ramzy_25,2021-01-24T18:55:03.000Z,زراعة فقط ولا دايرة ليها فلسفة,,,,,,[],https://twitter.com/ramzy_25/status/1353416039158198272
𝐴 𝑆 𝐾 ⁩ اسأل السـودانيـين⁦,@Sudanese_Spt,2021-01-25T07:00:35.000Z," في واحد مستاجر مني بيت وكلمتو قبل خمسة شهور علشان يطلع وحتى الآن لم يطلع وكل ما اكلمو يقول بطلع وما يطلع وما بيننا عقد ، وأربعة شهور لم آخذ منه الإيجار..
 علشان يطلع في هذه الحالة ماذا أفعل؟ أفيدوني",,📩,32,1,28,[],https://twitter.com/Sudanese_Spt/status/1353598626656890880
ramzi_#,@ramzy_25,2021-01-25T07:04:27.000Z,اعملي ليه اخطار مكتوب من المحامي  بالاخلاء خلي يمضي عليه,,,,,,[],https://twitter.com/ramzy_25/status/1353599599458578432
ramzi_#,@ramzy_25,2021-05-16T13:37:40.000Z,لما تتذكر علاقتك بي زول كيف كانت حلوة و هسي ما عارفين عن  بعض ولا شئ بتزعل بالجد,,,,,,[],https://twitter.com/ramzy_25/status/1393923607076687873
المروه,@MarwaAlbashier,2021-05-20T17:12:06.000Z,والله تريس شارع ال ٦٠ دا حاجه في منتهى الواي وحقيقي  حاجه تزهج,,,3,2,4,[],https://twitter.com/MarwaAlbashier/status/1395427122794176517
ramzi_#,@ramzy_25,2021-05-24T15:06:00.000Z,منتهي الواي عديل كدا ,,🤔 😂 😂 😂,,,,[],https://twitter.com/ramzy_25/status/1396844941289132032
.,@070Lonz,2021-05-24T17:09:20.000Z,"Replying to 
@ramzy_25",اديني حسابه,,1,,,[],https://twitter.com/070Lonz/status/1396875979214176264
ramzi_#,@ramzy_25,2021-05-25T11:31:54.000Z,ماعنده والله. ادخلي علي  DM,,,,,,[],https://twitter.com/ramzy_25/status/1397153447078678530
𝐒𝐜𝐚𝐫𝐟𝐚𝐜𝐞 𝐁𝐚𝐛𝐲,@JustWudd,2021-05-25T11:33:03.000Z,ما عارفة بس عاوزة اكون هنا ,"باكينام اللي حياتها مش تمام “Maro”
@Bakinam95
 · May 23
هوباا 
Show this thread",😂 😃 😂 😂,3,6,22,"['https://pbs.twimg.com/profile_images/1433323104374300672/XO8cq-mY_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1396564208901402625/pu/img/y8-XT97hY77dgPUv.jpg']",https://twitter.com/JustWudd/status/1397153737727258626
ramzi_#,@ramzy_25,2021-05-25T11:35:15.000Z,وهي دي وين دي ,,😀 😂 😂,,,,[],https://twitter.com/ramzy_25/status/1397154289898991618
.,@070Lonz,2021-05-20T17:10:05.000Z,وين الناس البيتزوجوا زواج المصلحه ياخوانا لموني في واحد عنده جواز كويس انا جاده ياخي,,,4,1,9,[],https://twitter.com/070Lonz/status/1395426613232381953
ramzi_#,@ramzy_25,2021-05-24T15:08:20.000Z,عندي صاحبي عايش في ukوعايز يتزوج خشي علي خاص    اذا جادة,,,1,,,[],https://twitter.com/ramzy_25/status/1396845526327480332
مسنتر في اوروبا,@Mem3996,2021-05-11T23:55:52.000Z,"سحب على 1000 ريال كاش  
بدون شروط والإختيار من الرتويت 

• السحب مُوثق بالفيديو .",,🌍 ✈ 💵,1K,6.9K,1.4K,[],https://twitter.com/Mem3996/status/1392267245154443265
ramzi_#,@ramzy_25,2021-05-12T00:35:58.000Z,يارزاق ارزقني,,,,,,[],https://twitter.com/ramzy_25/status/1392277334556909570
Mohmmed Ezzadden,@Ezoo_180,2021-06-09T01:30:47.000Z,رحم الله ميتاً أمات من بعده جُزء من الحياة وقلبًا لو فنت الدنيا ما أتت بمثله، اللهم أبدل حبنا له في قلوبنا صبراً، وأبدل مرارة شوقنا له أجراً واجعل قبره روضة من رياض الجنة يارب العالمين,,,3,6,11,[],https://twitter.com/Ezoo_180/status/1402437988022431744
ramzi_#,@ramzy_25,2021-06-09T13:21:06.000Z,الف رحمه ونور تنزل عليه ياصديقي.  ربنا يصبركم ويصبرنا علي فراقه يارب,,,1,1,1,[],https://twitter.com/ramzy_25/status/1402616746482278404
ايمان.,@mimiiiiii1999,2021-06-07T13:23:42.000Z,الحاجة الخلت اقتصاد لبنان يصل المرحلة دي شنو؟,,,20,1,23,[],https://twitter.com/mimiiiiii1999/status/1401892624504606724
ramzi_#,@ramzy_25,2021-06-07T14:02:29.000Z,التدخلات الخارجية سحب  المملكة دعمها  ازمة كورونا اوقفت  السياحة في لبنان ومعروف تعتمد لبنان علي دخلها علي ٨٠الي٩٠ ٪علي السياحة وظي اتوقفت بسبب كورونا بس ليه السؤال ؟؟!!!,,,,,3,[],https://twitter.com/ramzy_25/status/1401902386982047744
ramzi_#,@ramzy_25,2021-06-05T09:09:48.000Z,"Replying to 
@stayggolden",nic ,💜,,,,[],https://twitter.com/ramzy_25/status/1401103953400680448
مَــآب,@mvvbb_,2021-06-09T21:15:25.000Z,يا رب اموت ارتاح من القرف دا,,,6,1,1,[],https://twitter.com/mvvbb_/status/1402736111223463940
ramzi_#,@ramzy_25,2021-06-10T00:25:25.000Z,لم يبقي جد حتنطي فوق  قربي من ربنا حاتحبي الحياة.,,,,,,[],https://twitter.com/ramzy_25/status/1402783927690014721
ramzi_#,@ramzy_25,2021-05-31T08:39:20.000Z,"Replying to 
@nahedmed
 @stukoayat
 and 
@melaa_twa",,😂 😂 😂 😂,,,1,[],https://twitter.com/ramzy_25/status/1399284348294205440
ramzi_#,@ramzy_25,2021-06-10T00:24:27.000Z,"Replying to 
@JustWudd",اخوك درس معانا في الرباط ياهو ؟؟,,,,,[],https://twitter.com/ramzy_25/status/1402783686127501322
