UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
𝚂𝚊𝚛𝚊𝚑 𝚂𝚎𝚗𝚜𝚒𝚗 𝙰𝙼𝙰𝙽𝙸𝙼,@sarahanker25,2021-01-29T17:16:36.000Z,"Ep 01  Ep 29 and to be continued in ep 30 
. 
#EdSer #sençalkapımı #hanker #handeerçel #kerembürsin",,💫 💫 🤝,,,5,['https://pbs.twimg.com/media/Es6mIVNXUAABUvT?format=jpg&name=small'],https://twitter.com/sarahanker25/status/1355203203323801602
𝚂𝚊𝚛𝚊𝚑 𝚂𝚎𝚗𝚜𝚒𝚗 𝙰𝙼𝙰𝙽𝙸𝙼,@sarahanker25,2021-01-29T20:29:37.000Z,"Please Edacim mess with her until loses her mind 
. 
#EdSer #sençalkapımı #hanker #handeerçel #kerembürsin",,💫 💫 😏,1,1,5,['https://pbs.twimg.com/media/Es7STpDWMAI-nSV?format=jpg&name=small'],https://twitter.com/sarahanker25/status/1355251776442798094
𝚂𝚊𝚛𝚊𝚑 𝚂𝚎𝚗𝚜𝚒𝚗 𝙰𝙼𝙰𝙽𝙸𝙼,@sarahanker25,2021-01-30T14:24:22.000Z,"Do you really believe that ( if Serkan and Selin will really get engaged and throw a engagement party) Eda would go there wearing her engagement dress ..no way this party is probably the ending scene that Y talked about
. 
#EdSer #sençalkapımı #hanker #handeerçel #kerembürsin",,💫 💫,,,3,['https://pbs.twimg.com/media/Es_ITEAXAAEWBIT?format=jpg&name=small'],https://twitter.com/sarahanker25/status/1355522245481951232
𝑫𝒉𝒐𝒖𝒉𝒂,@Onlyy_bursin,2021-01-29T16:02:16.000Z,Asena and gunfer right now ,GIF,😂,2,2,106,['https://pbs.twimg.com/tweet_video_thumb/Es6VHLiW4AITM1C.jpg'],https://twitter.com/Onlyy_bursin/status/1355184497365540866
𝚂𝚊𝚛𝚊𝚑 𝚂𝚎𝚗𝚜𝚒𝚗 𝙰𝙼𝙰𝙽𝙸𝙼,@sarahanker25,2021-01-29T16:04:26.000Z,Meanwhile us ,,💫 💫 🤣 🤣 🤣 🤣 🤣,,,,['https://pbs.twimg.com/media/Es6VnHWXIAALpDF?format=jpg&name=small'],https://twitter.com/sarahanker25/status/1355185039894581259
𝚂𝚊𝚛𝚊𝚑 𝚂𝚎𝚗𝚜𝚒𝚗 𝙰𝙼𝙰𝙽𝙸𝙼,@sarahanker25,2021-01-30T14:38:59.000Z,I made my peace with tonight s ep I am not going to feel depressed but tbh I am worried as hell about the ratings more than anything else if the ep gets 4.00 I ll call it a miracle,,💫 💫,,,,[],https://twitter.com/sarahanker25/status/1355525923781677063
𝒏𝒊𝒏𝒆𝒍𝒍𝒆,@locurainefable,2021-01-30T14:15:13.000Z,"where do they get these spoilers from? and most importantly, gimme one valid reason i should believe in this engagement plot twist when it has absolutely no logic.",,,7,4,48,[],https://twitter.com/locurainefable/status/1355519944788762627
𝚂𝚊𝚛𝚊𝚑 𝚂𝚎𝚗𝚜𝚒𝚗 𝙰𝙼𝙰𝙽𝙸𝙼,@sarahanker25,2021-01-30T14:33:00.000Z,The girl who talked about the end of ep 29 has been right before with ep 28 and 27 but she didn't mention any engagement but another girl said that Serkan will propose to Selin in that restaurant anyway even if this is true it won't last Serkan will remember everything in ep 30,,💫 💫,,,,[],https://twitter.com/sarahanker25/status/1355524420144607235
𝚂𝚊𝚛𝚊𝚑 𝚂𝚎𝚗𝚜𝚒𝚗 𝙰𝙼𝙰𝙽𝙸𝙼,@sarahanker25,2021-01-29T20:34:24.000Z,"Replying to 
@Onlyy_bursin",It s not about sck I think,💫 💫,,,1,[],https://twitter.com/sarahanker25/status/1355252978433798146
𝚂𝚊𝚛𝚊𝚑 𝚂𝚎𝚗𝚜𝚒𝚗 𝙰𝙼𝙰𝙽𝙸𝙼,@sarahanker25,2021-01-29T15:00:47.000Z,"Replying to 
@L_Laraaa",What happened? ,💫 💫 😲,,,1,[],https://twitter.com/sarahanker25/status/1355169020845158400
𝒏𝒊𝒏𝒆𝒍𝒍𝒆,@locurainefable,2021-01-30T14:30:21.000Z,"idk how trustworthy it is, idk how it ends up, but i just try to think about the things that could lead us to such nonsense. i keep my head cold and i still can’t understand.","𝒏𝒊𝒏𝒆𝒍𝒍𝒆
@locurainefable
 · Jan 30
where do they get these spoilers from? and most importantly, gimme one valid reason i should believe in this engagement plot twist when it has absolutely no logic.",,2,,5,['https://pbs.twimg.com/profile_images/1430455192131080192/O1mbaaWA_mini.jpg'],https://twitter.com/locurainefable/status/1355523752424054785
𝚂𝚊𝚛𝚊𝚑 𝚂𝚎𝚗𝚜𝚒𝚗 𝙰𝙼𝙰𝙽𝙸𝙼,@sarahanker25,2021-01-30T14:36:25.000Z,Selin brainwashed him I can see everything happening but really try not to think about it a lot it will just one sad ep Everything will better in ep 30,,💫 💫,1,,,[],https://twitter.com/sarahanker25/status/1355525277649141762
𝑫𝒉𝒐𝒖𝒉𝒂,@Onlyy_bursin,2021-01-29T13:13:14.000Z,"Replying to 
@sarahanker25",Maybe they're just so busy.. But i miss them really ,💔,1,,1,[],https://twitter.com/Onlyy_bursin/status/1355141957870350337
𝚂𝚊𝚛𝚊𝚑 𝚂𝚎𝚗𝚜𝚒𝚗 𝙰𝙼𝙰𝙽𝙸𝙼,@sarahanker25,2021-01-29T13:15:40.000Z,I miss them too,,💫 💫,,,,[],https://twitter.com/sarahanker25/status/1355142568519020551
joddie,@itsjoddiex,2021-01-29T18:09:46.000Z,why is everyone suddenly talking about eda's graduation,,,7,,19,[],https://twitter.com/itsjoddiex/status/1355216579986927617
𝚂𝚊𝚛𝚊𝚑 𝚂𝚎𝚗𝚜𝚒𝚗 𝙰𝙼𝙰𝙽𝙸𝙼,@sarahanker25,2021-01-29T18:15:13.000Z,I am confused too,,💫 💫,,,,[],https://twitter.com/sarahanker25/status/1355217954061889539
Fatima Ben ama Chronically tired.,@Peakyboymiyy,2021-01-29T13:10:17.000Z,"Exactly, i am more disappointed than ever hateful. like please. don't ruin the core of characters it is the worst thing you can do :|","Andreea Crăciun
@not_a_funkiller
 · Jan 29
I know some of you think I hate Eda & the show, but I'm actually hurt cause I was really into SCK for the storyline. I love the cast with all my heart & I'm still watching for them, but I felt the need to say this.
Sçk is a show that made many people's pandemic time better...
Show this thread",,1,,3,['https://pbs.twimg.com/profile_images/1434082722016899072/RA_QhnLZ_mini.jpg'],https://twitter.com/Peakyboymiyy/status/1355141214606143490
