UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Shoaib Ali Bhatti,@shoaibalibhati,2021-01-11T08:48:04.000Z,"Replying to 
@NationalITBoard
 @ShabahatAShah
 and 8 others",Thanks for updating us.,,,,1,[],https://twitter.com/shoaibalibhati/status/1348552243818201088
Shoaib Ali Bhatti,@shoaibalibhati,2021-01-04T20:02:33.000Z,"Replying to 
@GentlemanstyIe",Beautiful,,,,,[],https://twitter.com/shoaibalibhati/status/1346185267716222977
Shoaib Ali Bhatti,@shoaibalibhati,2021-01-29T15:22:53.000Z,"Replying to 
@MIrfanMalick
 and 
@ImranRiazFan","Yes, brother. I fully support our dearest PM 
@ImranKhanPTI
. He is doing his very best to make our beloved country successful and beautiful. We love our PM.",,,,1,[],https://twitter.com/shoaibalibhati/status/1355174582748065792
Shoaib Ali Bhatti,@shoaibalibhati,2021-01-11T08:47:14.000Z,"Replying to 
@MIrfanMalick
 and 
@Shiffa_ZY",I have reported the tweet.,,,,1,[],https://twitter.com/shoaibalibhati/status/1348552033599684608
Shoaib Ali Bhatti,@shoaibalibhati,2021-01-30T17:01:21.000Z,"Replying to 
@mshaanshahid",Inna Lillahi Wa Inna Elaehi Rajioon.,,,,,[],https://twitter.com/shoaibalibhati/status/1355561750876315658
Shoaib Ali Bhatti,@shoaibalibhati,2021-01-11T08:39:38.000Z,"Replying to 
@MIrfanMalick
 and 
@umarsaif",In'Sha'Allah,,,,,[],https://twitter.com/shoaibalibhati/status/1348550122347626497
Shoaib Ali Bhatti,@shoaibalibhati,2021-01-29T10:05:42.000Z,"Replying to 
@Asad_Umar",@MIrfanMalick,,,,,[],https://twitter.com/shoaibalibhati/status/1355094762508967940
𝐊𝐚𝐮𝐬𝐚𝐫 𝐊𝐡𝐚𝐧 𝐏𝐀𝐒,@Kausarcsp,2021-02-26T09:42:36.000Z,"Assumed the charge of Director General Local Government Punjab. 
Alhamdolillah.
#Punjabgovt
#DGLGCD",,,733,217,4.7K,"['https://pbs.twimg.com/media/EvJKuGIWQAAFZQ7?format=jpg&name=small', 'https://pbs.twimg.com/media/EvJKui_XcAEzrMO?format=jpg&name=360x360']",https://twitter.com/Kausarcsp/status/1365235810061213696
Shoaib Ali Bhatti,@shoaibalibhati,2021-02-26T16:46:02.000Z,"Congratulations, Ms. 
@Kausarcsp",,,,,,[],https://twitter.com/shoaibalibhati/status/1365342368279445504
Jawed Hassan,@JawedHassan24,2021-02-27T04:33:15.000Z,"Replying to 
@NawazSharifMNS
 and 
@MaryamNSharif",Manhoos chehra. A nasli ghidhar. Roundu. Always on the run. Stinks both inside & outside. Topi drama about Vote chori. How about the Qoumi Daulat chori? Baysharam Bayhaya.,😍,1,,1,[],https://twitter.com/JawedHassan24/status/1365520346905006080
Shoaib Ali Bhatti,@shoaibalibhati,2021-02-27T16:49:49.000Z,"Well written, sir. Jazak Allah.",,,,,,[],https://twitter.com/shoaibalibhati/status/1365705708101074944
Shaan Shahid,@mshaanshahid,2021-02-26T14:59:43.000Z,"Well done    Thankyou 
@ImranKhanPTI",,,183,1.5K,11K,['https://pbs.twimg.com/media/EvKTT39XAAQqv_X?format=jpg&name=small'],https://twitter.com/mshaanshahid/status/1365315616119414784
Shoaib Ali Bhatti,@shoaibalibhati,2021-02-26T16:16:45.000Z,"That's great, thanks.",,,,,1,[],https://twitter.com/shoaibalibhati/status/1365335000342818820
