UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
LoveMyStros,@spruett123,2021-01-30T20:19:53.000Z,"Replying to 
@BoredSirge",Sorry girl I’m here if you need to talk,💜 💜,,,,[],https://twitter.com/spruett123/status/1355611715715653633
LoveMyStros,@spruett123,2021-01-29T12:34:01.000Z,"Replying to 
@JamesB_65",Wow! Thanks,💜 💜,,,,[],https://twitter.com/spruett123/status/1355132089012801538
yobies,@yobies,2021-01-29T15:52:04.000Z,"Good Friday Morning Twitter Peeps, The weekend is once again upon us, Have a safe and fantastic day",GIF,,1,1,2,['https://pbs.twimg.com/tweet_video_thumb/Es6Sxw5VkBEwGHX.jpg'],https://twitter.com/yobies/status/1355181927695749120
LoveMyStros,@spruett123,2021-01-29T15:58:53.000Z,Good Morning!,,💜 💜 🥰,,,,[],https://twitter.com/spruett123/status/1355183642855747584
James B,@JamesB_65,2021-01-29T21:45:34.000Z,Whitney Houston tomorrow!,GIF,🎹,70,23,297,['https://pbs.twimg.com/tweet_video_thumb/Es7jr8IWMAc9eGS.jpg'],https://twitter.com/JamesB_65/status/1355270889089224708
LoveMyStros,@spruett123,2021-01-30T01:27:32.000Z,Can’t wait!!,,💜 💜,,,,[],https://twitter.com/spruett123/status/1355326750893469700
It's pronounced Dream Vegas,@Xdreamxv3gas,2021-01-30T22:11:53.000Z,"I'm just gonna say this dude is a scammer

Please be aware and report",,♠ ♥ ♣ ♦ 🎮,4,2,8,"['https://pbs.twimg.com/media/EtAzS_SXUAEE2Aj?format=jpg&name=small', 'https://pbs.twimg.com/media/EtAzTVgXYAc01m_?format=jpg&name=small', 'https://pbs.twimg.com/media/EtAzTLjWMAIfQNv?format=jpg&name=small', 'https://pbs.twimg.com/media/EtAzTfaXcAUk3zf?format=jpg&name=360x360']",https://twitter.com/Xdreamxv3gas/status/1355639899651780612
LoveMyStros,@spruett123,2021-01-30T22:52:13.000Z,Yes it’s annoying,,💜 💜,,,1,[],https://twitter.com/spruett123/status/1355650052128178179
LoveMyStros,@spruett123,2021-01-30T00:45:40.000Z,"Replying to 
@BoredSirge
 and 
@PinataSmash",Done,💜 💜,,,,[],https://twitter.com/spruett123/status/1355316211811184643
God is love,@IamJohnGodson,2021-01-29T19:09:14.000Z,"Let's make someone Friday Bubble too. #positivevibes #goodvibesonly #FridayVibes
$50 for one positive mind following me and must have 
@venmo
 #GodisGreat #Godislove #Grateful #TGIF",,🌍 🗨,69,45,89,[],https://twitter.com/IamJohnGodson/status/1355231545842421763
LoveMyStros,@spruett123,2021-01-29T20:09:55.000Z,Everyday you wake up is a good day and a blessing !,,💜 💜,,,,[],https://twitter.com/spruett123/status/1355246817747759105
James B,@JamesB_65,2021-01-30T20:29:16.000Z,"It’s turned into diva week, after Christina Aguilera and Whitney Houston we have another tomorrow",GIF,🎹,47,29,291,[],https://twitter.com/JamesB_65/status/1355614077318533125
LoveMyStros,@spruett123,2021-01-30T20:30:35.000Z,Can’t wait!,,💜 💜,,,,[],https://twitter.com/spruett123/status/1355614407909322756
♡ Texas Gamer Chick ♡ WHOOP,@TxGamerChick,2021-01-30T04:02:33.000Z,"Are you following 
@madre_lovee
, 
@PinataSmash
 & 
@wBaxterLee
? Well then you are in LUCK! We want to give $200 to u & your tag or TAGS! All you have to do is RT & tag friends to split it with! You ALL could win!  Drop a weekend GIF/MEME! Good luck friends!   ENDS IN 48hrs",GIF,🎉 🎉,1.2K,702,598,['https://pbs.twimg.com/tweet_video_thumb/Es85-PSXMAw50Pd.jpg'],https://twitter.com/TxGamerChick/status/1355365760156237825
