UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Apple___Juice,@subtoskeppy1,2021-01-15T00:29:31.000Z,"Wait holy crap I’m close to 2,000",,💎 🌻 ☀,2,3,5,[],https://twitter.com/subtoskeppy1/status/1349876332885282818
Apple___Juice,@subtoskeppy1,2021-01-15T23:05:21.000Z,why havent i got my twitch top watched channels email yet rip,,💎 🌻 ☀,1,,7,[],https://twitter.com/subtoskeppy1/status/1350217536235716608
Apple___Juice,@subtoskeppy1,2021-01-15T07:21:58.000Z,Guys I should be responsible and sleep before 1am but that probably won’t happen,,💎 🌻 ☀,,,6,[],https://twitter.com/subtoskeppy1/status/1349980126977527809
Apple___Juice,@subtoskeppy1,2021-01-15T00:52:52.000Z,Did skeppy dip already,,💎 🌻 ☀,2,,17,[],https://twitter.com/subtoskeppy1/status/1349882209126150145
Apple___Juice,@subtoskeppy1,2021-01-15T01:54:41.000Z,"sooo I posted my first youtube video! and i finally told the story of meeting 
@Skeppy
 because people have been asking me for literally over a year lol. 

If it weren’t for skeppy i probably would’ve never posted, his videos inspired me so much :)

https://youtu.be/kLiPkJSlA1A",,💎 🌻 ☀,1,3,24,[],https://twitter.com/subtoskeppy1/status/1349897765522821120
Apple___Juice,@subtoskeppy1,2021-01-15T07:18:41.000Z,Why did Twitter decide to not notify me about skeppys two tweets? They weren’t even in my notifications tab thingy on twt,,💎 🌻 ☀,4,,16,[],https://twitter.com/subtoskeppy1/status/1349979302184407046
Apple___Juice,@subtoskeppy1,2021-01-15T23:47:22.000Z,"pls im very stupid, does anyone know if/what the difference between these two are? Im new to yt and don;t fully know what I'm doing",,💎 🌻 ☀,4,,3,"['https://pbs.twimg.com/media/Erz43F3UcAAFR7X?format=png&name=360x360', 'https://pbs.twimg.com/media/Erz5CwjVQAARWYp?format=png&name=360x360']",https://twitter.com/subtoskeppy1/status/1350228110176780289
Apple___Juice,@subtoskeppy1,2021-01-15T02:22:53.000Z,"2,000 followers thank youu omgg <3",,💎 🌻 ☀,6,,9,[],https://twitter.com/subtoskeppy1/status/1349904860192276480
minz,@minzskep,2021-01-14T23:56:28.000Z,"Replying to 
@minzskep
 @skepexe
 and 18 others",damn,🔰 ❤,5,,3,[],https://twitter.com/minzskep/status/1349868014590636032
Apple___Juice,@subtoskeppy1,2021-01-14T23:57:35.000Z,"@wilburlvr
 is alive yes",,💎 🌻 ☀,,,1,[],https://twitter.com/subtoskeppy1/status/1349868295550164993
