UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Christian McQuilkin,@supermcquilkin7,2021-08-08T01:50:58.000Z,Me as a kid,,,,,2,['https://pbs.twimg.com/media/E8O57nAVIAMJOqM?format=jpg&name=small'],https://twitter.com/supermcquilkin7/status/1424186342733336581
Christian McQuilkin,@supermcquilkin7,2021-08-08T00:29:13.000Z,The Bella Twins,,,,,1,['https://pbs.twimg.com/media/E8OnN46VgA0uuqc?format=jpg&name=small'],https://twitter.com/supermcquilkin7/status/1424165766459400195
Christian McQuilkin,@supermcquilkin7,2021-08-05T22:49:56.000Z,I got new glasses,,,,,2,['https://pbs.twimg.com/media/E8D9Ty9VUAECw6y?format=jpg&name=small'],https://twitter.com/supermcquilkin7/status/1423416005708025857
Christian McQuilkin,@supermcquilkin7,2021-08-13T04:12:08.000Z,Rick Grimes,,,1,,1,['https://pbs.twimg.com/media/E8pKL4hVkAk7nj4?format=jpg&name=medium'],https://twitter.com/supermcquilkin7/status/1426033804691447808
Christian McQuilkin,@supermcquilkin7,2021-08-07T22:05:59.000Z,I'm A Strong Man,,,,,1,[],https://twitter.com/supermcquilkin7/status/1424129723727114240
Christian McQuilkin,@supermcquilkin7,2021-08-04T05:30:05.000Z,I'm Mr. Money in The Bank on WWE 2k20,,,,,3,['https://pbs.twimg.com/media/E77Ft4NVgAEklUn?format=jpg&name=medium'],https://twitter.com/supermcquilkin7/status/1422791930287509515
Christian McQuilkin,@supermcquilkin7,2021-08-04T21:19:13.000Z,,,,,,4,['https://pbs.twimg.com/media/E7-e8UNVIAIlWzD?format=jpg&name=small'],https://twitter.com/supermcquilkin7/status/1423030787801108480
Christian McQuilkin,@supermcquilkin7,2021-08-07T22:07:25.000Z,Asuka,,,,,1,['https://pbs.twimg.com/media/E8OGwdrVkAAjEqp?format=jpg&name=small'],https://twitter.com/supermcquilkin7/status/1424130081274744838
Christian McQuilkin,@supermcquilkin7,2021-08-08T06:12:31.000Z,Nikki Bella,,,,,1,['https://pbs.twimg.com/media/E8P1y1mVIAgQS4S?format=jpg&name=small'],https://twitter.com/supermcquilkin7/status/1424252162830262275
Christian McQuilkin,@supermcquilkin7,2021-08-13T04:13:07.000Z,Negan,,,,,1,['https://pbs.twimg.com/media/E8pKac2VkAIrTAt?format=jpg&name=medium'],https://twitter.com/supermcquilkin7/status/1426034055561191425
Christian McQuilkin,@supermcquilkin7,2021-08-13T23:13:50.000Z,"Replying to 
@rubby_bonney",Yes,,,,1,[],https://twitter.com/supermcquilkin7/status/1426321125257089028
Christian McQuilkin,@supermcquilkin7,2021-08-27T03:42:00.000Z,My New Cup,,,,,2,['https://pbs.twimg.com/media/E9xJjNgVEAQ3NsR?format=jpg&name=medium'],https://twitter.com/supermcquilkin7/status/1431099653144014850
Christian McQuilkin,@supermcquilkin7,2021-08-25T17:32:45.000Z,Today's vibes,,,1,,4,['https://pbs.twimg.com/media/E9p0g6DVEAQstjz?format=jpg&name=small'],https://twitter.com/supermcquilkin7/status/1430583942260805637
Christian McQuilkin,@supermcquilkin7,2021-08-27T03:43:49.000Z,My To-DoList,GIF,,,,1,['https://pbs.twimg.com/tweet_video_thumb/E9xJ9mwUYAQBCvX.jpg'],https://twitter.com/supermcquilkin7/status/1431100112315424771
Christian McQuilkin,@supermcquilkin7,2021-08-26T20:13:03.000Z,I'm The New Christian James Eli McQuilkin,,,,,2,[],https://twitter.com/supermcquilkin7/status/1430986669251956739
Christian McQuilkin,@supermcquilkin7,2021-08-25T19:27:00.000Z,Astra McQuilkin,,,,,1,['https://pbs.twimg.com/media/E9qOqidUUAE5ERh?format=jpg&name=small'],https://twitter.com/supermcquilkin7/status/1430612695892381697
Christian McQuilkin,@supermcquilkin7,2021-08-26T04:03:09.000Z,Sasha Banks is so hot ,GIF,❤,,,1,['https://pbs.twimg.com/tweet_video_thumb/E9sEypTUcAAEuww.jpg'],https://twitter.com/supermcquilkin7/status/1430742586877046784
Christian McQuilkin,@supermcquilkin7,2021-08-23T01:06:13.000Z,Who also excited that they won?,GIF,,,,1,['https://pbs.twimg.com/tweet_video_thumb/E9b_hzuVIAMxvzU.jpg'],https://twitter.com/supermcquilkin7/status/1429610896872001537
Christian McQuilkin,@supermcquilkin7,2021-08-20T00:47:01.000Z,I'm Super McQuilkin,,,,,2,[],https://twitter.com/supermcquilkin7/status/1428518903848706051
Christian McQuilkin,@supermcquilkin7,2021-08-20T21:13:29.000Z,My Current Mood is Happy,,,,,2,[],https://twitter.com/supermcquilkin7/status/1428827551695208449
Christian McQuilkin,@supermcquilkin7,2021-08-26T04:05:52.000Z,I  The Walking Dead,GIF,❤,,,1,['https://pbs.twimg.com/tweet_video_thumb/E9sFa4xUcAMPtin.jpg'],https://twitter.com/supermcquilkin7/status/1430743272545083392
