UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Twitter,@Twitter,2021-02-08T19:30:27.000Z,memes have expiration dates,,,13.2K,32.2K,264.1K,[],https://twitter.com/Twitter/status/1358860764732350465
JEFFREY WEIN,@therealJeffWein,2021-02-09T12:03:27.000Z,Memes never expire,,,,,,[],https://twitter.com/therealJeffWein/status/1359110661075263489
JEFFREY WEIN,@therealJeffWein,2021-02-09T12:08:30.000Z,"Replying to 
@iamcardib",What the fuck lol,,,,,[],https://twitter.com/therealJeffWein/status/1359111932242976769
XXL Magazine,@XXL,2021-02-08T16:09:21.000Z,Which rapper picks the best beats?,,,2.2K,1.4K,6.5K,[],https://twitter.com/XXL/status/1358810156843335688
JEFFREY WEIN,@therealJeffWein,2021-02-09T12:17:00.000Z,"@MerkulesMusic
 been doing his thing",,,,,,[],https://twitter.com/therealJeffWein/status/1359114071954579456
JEFFREY WEIN,@therealJeffWein,2021-03-23T20:08:01.000Z,$jaydub0325 #CMBYN,"MONTERO
@LilNasX
 · Mar 23
MONTERO (CMBYN) OUT THIS FRIDAY!!! I’m giving out $100,000 worth of Bitcoin !!! Quote this with your $cashtag and #CMBYN and I might give you some #partner 
Show this thread",🦋 🏹 🤍,,,,"['https://pbs.twimg.com/profile_images/1430901239110258696/1P0QZ5_7_mini.jpg', 'https://pbs.twimg.com/media/ExLYSFvVgAEFavj?format=jpg&name=small']",https://twitter.com/therealJeffWein/status/1374452898067705864
Ben Landis,@benlandis,2021-03-26T02:28:42.000Z,What’s the minimum acceptable amount of RAM in a new computer?,,,205,25,169,[],https://twitter.com/benlandis/status/1375273473770094592
JEFFREY WEIN,@therealJeffWein,2021-03-26T21:45:21.000Z,8min 16 preferred,,,,,,[],https://twitter.com/therealJeffWein/status/1375564553937911811
kristie,@Kristieonair,2021-03-29T14:10:48.000Z,GENUINE QUESTION: Do you guys tip when you get a to-go order??,,,30,,23,[],https://twitter.com/Kristieonair/status/1376537327938498565
JEFFREY WEIN,@therealJeffWein,2021-03-30T13:04:22.000Z,Only the delivery driver.,,,,,,[],https://twitter.com/therealJeffWein/status/1376882997970997249
Sax,@SaxtonDigital,2021-03-29T14:49:49.000Z,Y’all think it’s fair to charge a 13 year old as an adult?,,💻,29,261,10,[],https://twitter.com/SaxtonDigital/status/1376547146892214278
JEFFREY WEIN,@therealJeffWein,2021-03-29T16:15:23.000Z,Depends on what they did,,,,,,[],https://twitter.com/therealJeffWein/status/1376568682206355465
Cash App,@CashApp,2021-04-30T19:00:11.000Z,Raise your balance. Drop your $cashtag,"0:01
365.3K views",,50.3K,8.1K,13.9K,[],https://twitter.com/CashApp/status/1388206566239838211
JEFFREY WEIN,@therealJeffWein,2021-04-30T20:53:24.000Z,$jaydub0325 let's go,,,,,,[],https://twitter.com/therealJeffWein/status/1388235057488347141
Cordae',@cordae,2021-04-28T15:21:54.000Z,My felony finally got expunged today S/O to my lawyer ,,,106,1K,22.7K,[],https://twitter.com/cordae/status/1387426856475926529
JEFFREY WEIN,@therealJeffWein,2021-04-28T19:21:56.000Z,Go get a gun lol,,,,,,[],https://twitter.com/therealJeffWein/status/1387487264557748224
JEFFREY WEIN,@therealJeffWein,2021-04-06T12:17:40.000Z,"Replying to 
@Dylan_Bostic",Hi,,,,,[],https://twitter.com/therealJeffWein/status/1379407958463942658
Cash App,@CashApp,2021-04-30T19:00:11.000Z,Raise your balance. Drop your $cashtag,"365.3K views
0:01 / 0:02",,50.3K,8.1K,13.9K,[],https://twitter.com/CashApp/status/1388206566239838211
JEFFREY WEIN,@therealJeffWein,2021-05-14T08:34:53.000Z,"Replying to 
@XXL",Listing too lol,,,,,[],https://twitter.com/therealJeffWein/status/1393122635437969409
JEFFREY WEIN,@therealJeffWein,2021-07-29T10:41:28.000Z,Kinda wonder how the Royal family feels about HBO’s The Prince ,,😂,,1,,[],https://twitter.com/therealJeffWein/status/1420695966496301060
juicy j,@therealjuicyj,2021-07-21T06:11:38.000Z,Get ready for the 2nd world wide shut down due to covid   Get your pounds of weed ready it’s gonna be a shit show,,,90,717,3K,[],https://twitter.com/therealjuicyj/status/1417728957684719623
JEFFREY WEIN,@therealJeffWein,2021-07-21T07:29:15.000Z,This man says grab pounds. #nextlevel,,,,,,[],https://twitter.com/therealJeffWein/status/1417748492148256768
JEFFREY WEIN,@therealJeffWein,2021-07-05T00:21:16.000Z,"@Verizon
 wtf like all service out. Smh regularly trash service anymore",,,1,,,[],https://twitter.com/therealJeffWein/status/1411842580208402434
JEFFREY WEIN,@therealJeffWein,2021-08-25T16:35:34.000Z,"@SamsClub
 thanks for finally restocking 
@PureLeaf
 it was a long 6 weeks.",,,1,,,[],https://twitter.com/therealJeffWein/status/1430569552815996934
Box Store Diaries,@FreeSamplesFTW,2021-08-25T17:28:37.000Z,"@therealJeffWein
 We try our best!",,,1,,1,[],https://twitter.com/FreeSamplesFTW/status/1430582904225255426
JEFFREY WEIN,@therealJeffWein,2021-08-26T12:39:31.000Z,Not sure what this page does but making fun of Sams clubs response is a win in my book lol.,,,,,,[],https://twitter.com/therealJeffWein/status/1430872536942850048
