UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
frog ☂︎,@yellowbraces,2021-01-12T18:09:42.000Z,Tall women r so hot ,,😔 😔 😔 😔,,,2,[],https://twitter.com/yellowbraces/status/1349055972388589569
frog ☂︎,@yellowbraces,2021-01-01T20:00:33.000Z,U guys should not have casted Jenna Coleman as a murderer like we all know who's side I'm gonna be on fuck ,,😭 😭,,,3,[],https://twitter.com/yellowbraces/status/1345097602925285376
frog ☂︎,@yellowbraces,2021-01-15T22:22:24.000Z,Just remembered beach bunny dropped some new music today  one sec,,😳 😳 😳,,,2,[],https://twitter.com/yellowbraces/status/1350206730312036354
frog ☂︎,@yellowbraces,2021-01-03T19:55:00.000Z,U lot think I'm messing around have u seen the abs on these video game women,,,,,,[],https://twitter.com/yellowbraces/status/1345820979403124746
frog ☂︎,@yellowbraces,2021-01-04T20:46:14.000Z,Holy shit guys rip exams 2 years in a row,,,,,4,[],https://twitter.com/yellowbraces/status/1346196259808403457
frog ☂︎,@yellowbraces,2021-01-11T10:21:52.000Z,God in my next life please let me be a male praying mantis please for fucks sake it's literally all I ever wanted to be please,,😭 🙏 🙏 😭 😭 😭 🙏 🙏 🙏 😭 😭 😭,,,2,[],https://twitter.com/yellowbraces/status/1348575848857817088
frog ☂︎,@yellowbraces,2021-01-12T18:09:18.000Z,Every time I see women talking abt how they don't like being tall cos their boyfriends don't like it I start frothing at the mouth fuck the patriarchy,,,,,3,[],https://twitter.com/yellowbraces/status/1349055869565218816
frog ☂︎,@yellowbraces,2021-01-12T23:13:59.000Z,I'm sorry did I just see on the tl that the biggest fucking fanfiction website has crashed because you freaks can't stop writing Minecraft youtuber porn  what,,😃 😃 😃 😃,,,3,[],https://twitter.com/yellowbraces/status/1349132545598828546
frog ☂︎,@yellowbraces,2021-01-12T19:00:12.000Z,God Taylor swift had the whole fuckin industry in a chokehold when reputation came out I swear I've never been more alive,,,,,,[],https://twitter.com/yellowbraces/status/1349068681964302339
frog ☂︎,@yellowbraces,2021-01-02T23:25:36.000Z,Please tell me the love of my life ethics teacher did not quote Jordan fucking Peterson word for word as a 'gotcha' argument I am beyond distraught,,,1,,,[],https://twitter.com/yellowbraces/status/1345511591240990722
frog ☂︎,@yellowbraces,2021-01-01T20:23:30.000Z,Miss piggy from the Muppets is kind of hot idk ,,🙄 🙄 🙄 🙄,,,,[],https://twitter.com/yellowbraces/status/1345103377689161728
frog ☂︎,@yellowbraces,2021-01-15T13:29:10.000Z,I JUST SAW THE DRESS AS BLACK AND BLUE FOR THE FIRST TIME IN MY LIFE LETS GOOOOOO,,,1,,1,[],https://twitter.com/yellowbraces/status/1350072537791787011
frog ☂︎,@yellowbraces,2021-01-10T14:27:38.000Z,"When nobody else is there for me, I know dailymotion will be <3",,,,,1,[],https://twitter.com/yellowbraces/status/1348275309129453579
frog ☂︎,@yellowbraces,2021-01-12T18:12:56.000Z,Short women r also hot ,,😁,,,3,[],https://twitter.com/yellowbraces/status/1349056783386607616
frog ☂︎,@yellowbraces,2021-01-09T18:41:04.000Z,Hayley Williams stop retweeting videos of urself challenge pls this woman is so attractive ,,😭 😭 😭 😭,,,1,[],https://twitter.com/yellowbraces/status/1347976702337626113
frog ☂︎,@yellowbraces,2021-01-13T18:55:21.000Z,god picture to burn by taylor swift is literally one of the best songs ever invented i SWEAR,,,,,,[],https://twitter.com/yellowbraces/status/1349429847852986370
frog ☂︎,@yellowbraces,2021-01-03T19:46:11.000Z,where is gerudo town irl i am not joking bitchhhh ,,😭 😭 😭 😭,1,,,[],https://twitter.com/yellowbraces/status/1345818759890612225
frog ☂︎,@yellowbraces,2021-01-06T19:26:23.000Z,Fuck it Spotify listening activity on blast idc,,,,,2,[],https://twitter.com/yellowbraces/status/1346900941803548672
